Timestamp,['1cc9732a-9931d59d 0051-STERLING SILL CNTR Power Meter Power Factor']
2017-10-05T00:00:00-06:00,-51.84052085876465 _unknown
2017-10-06T00:00:00-06:00,-41.406667153040566 _unknown
2017-10-07T00:00:00-06:00,-34.97937512397766 _unknown
2017-10-08T00:00:00-06:00,-10.374375263849894 _unknown
2017-10-09T00:00:00-06:00,-26.972916841506958 _unknown
2017-10-10T00:00:00-06:00,-28.94322959582011 _unknown
2017-10-11T00:00:00-06:00,-47.63437525431315 _unknown
2017-10-12T00:00:00-06:00,-41.49885416030884 _unknown
2017-10-13T00:00:00-06:00,-33.120208422342934 _unknown
2017-10-14T00:00:00-06:00,-56.17312479019165 _unknown
2017-10-15T00:00:00-06:00,-56.07416661580404 _unknown
2017-10-16T00:00:00-06:00,-45.67635385195414 _unknown
2017-10-17T00:00:00-06:00,-49.806979497273765 _unknown
2017-10-18T00:00:00-06:00,-37.26927081743876 _unknown
2017-10-19T00:00:00-06:00,-28.937083562215168 _unknown
2017-10-20T00:00:00-06:00,-24.85729193687439 _unknown
2017-10-21T00:00:00-06:00,-45.75 _unknown
2017-10-22T00:00:00-06:00,-37.09687519073486 _unknown
2017-10-23T00:00:00-06:00,-58.100520849227905 _unknown
2017-10-24T00:00:00-06:00,-74.805104414622 _unknown
2017-10-25T00:00:00-06:00,-49.78812527656555 _unknown
2017-10-26T00:00:00-06:00,-35.21041679382324 _unknown
2017-10-27T00:00:00-06:00,-68.47208364804585 _unknown
2017-10-28T00:00:00-06:00,-99.21520868937175 _unknown
2017-10-29T00:00:00-06:00,-99.13447976112366 _unknown
2017-10-30T00:00:00-06:00,-70.59260439872742 _unknown
2017-10-31T00:00:00-06:00,-18.18552080790202 _unknown
2017-11-01T00:00:00-06:00,3.473228851954142 _unknown
2017-11-02T00:00:00-06:00,-4.0406248569488525 _unknown
2017-11-03T00:00:00-06:00,-22.348020871480305 _unknown
2017-11-04T00:00:00-06:00,62.98406251271566 _unknown
2017-11-05T00:00:00-06:00,41.62759994506836 _unknown
2017-11-06T00:00:00-07:00,33.790937423706055 _unknown
2017-11-07T00:00:00-07:00,26.233749787012737 _unknown
2017-11-08T00:00:00-07:00,21.895833492279053 _unknown
2017-11-09T00:00:00-07:00,12.895103851954142 _unknown
2017-11-10T00:00:00-07:00,29.223333438237507 _unknown
2017-11-11T00:00:00-07:00,28.552708466847736 _unknown
2017-11-12T00:00:00-07:00,32.76197942097982 _unknown
2017-11-13T00:00:00-07:00,8.553125063578287 _unknown
2017-11-14T00:00:00-07:00,16.981770515441895 _unknown
2017-11-15T00:00:00-07:00,10.9790620803833 _unknown
2017-11-16T00:00:00-07:00,-19.006875038146973 _unknown
2017-11-17T00:00:00-07:00,34.118749936421715 _unknown
2017-11-18T00:00:00-07:00,31.304583231608074 _unknown
2017-11-19T00:00:00-07:00,25.04270839691162 _unknown
2017-11-20T00:00:00-07:00,21.438228925069172 _unknown
2017-11-21T00:00:00-07:00,6.843124945958455 _unknown
2017-11-22T00:00:00-07:00,6.960312207539876 _unknown
2017-11-23T00:00:00-07:00,6.828854084014893 _unknown
2017-11-24T00:00:00-07:00,22.549270788828533 _unknown
2017-11-25T00:00:00-07:00,39.22864572207133 _unknown
2017-11-26T00:00:00-07:00,38.73739608128866 _unknown
2017-11-27T00:00:00-07:00,19.871562242507935 _unknown
2017-11-28T00:00:00-07:00,40.602499882380165 _unknown
2017-11-29T00:00:00-07:00,31.436770757039387 _unknown
2017-11-30T00:00:00-07:00,29.317395846048992 _unknown
2017-12-01T00:00:00-07:00,30.647395372390747 _unknown
2017-12-02T00:00:00-07:00,44.95010423660278 _unknown
2017-12-03T00:00:00-07:00,68.41406218210857 _unknown
2017-12-04T00:00:00-07:00,44.845000425974526 _unknown
2017-12-05T00:00:00-07:00,26.92260416348775 _unknown
2017-12-06T00:00:00-07:00,27.750832955042522 _unknown
2017-12-07T00:00:00-07:00,46.23645814259847 _unknown
2017-12-08T00:00:00-07:00,49.970520893732704 _unknown
2017-12-09T00:00:00-07:00,59.99177106221517 _unknown
2017-12-10T00:00:00-07:00,60.057916720708214 _unknown
2017-12-11T00:00:00-07:00,51.87812463442484 _unknown
2017-12-12T00:00:00-07:00,54.15822927157084 _unknown
2017-12-13T00:00:00-07:00,85.49770800272624 _unknown
2017-12-14T00:00:00-07:00,31.20229148864746 _unknown
2017-12-15T00:00:00-07:00,45.26437481244405 _unknown
2017-12-16T00:00:00-07:00,92.01135436693828 _unknown
2017-12-17T00:00:00-07:00,85.69937523206075 _unknown
2017-12-18T00:00:00-07:00,26.6792472921392 _unknown
2017-12-19T00:00:00-07:00,45.69093759854635 _unknown
2017-12-20T00:00:00-07:00,37.13562488555908 _unknown
2017-12-21T00:00:00-07:00,47.346666971842446 _unknown
2017-12-22T00:00:00-07:00,61.877395947774254 _unknown
2017-12-23T00:00:00-07:00,91.98229185740153 _unknown
2017-12-24T00:00:00-07:00,95.76281229654948 _unknown
2017-12-25T00:00:00-07:00,96.12260405222575 _unknown
2017-12-26T00:00:00-07:00,78.16947881380717 _unknown
2017-12-27T00:00:00-07:00,55.214687744776406 _unknown
2017-12-28T00:00:00-07:00,32.80333344141642 _unknown
2017-12-29T00:00:00-07:00,51.29770795504252 _unknown
2017-12-30T00:00:00-07:00,68.50697906812032 _unknown
2017-12-31T00:00:00-07:00,66.59270866711934 _unknown
