Timestamp,['1f000c03-b91ba8c8 0067-UNIVERSITY CAMPUS STORE Power Meter Energy Consumption']
2017-05-15T00:00:00-06:00,2927 kWh
2017-05-16T00:00:00-06:00,2876 kWh
2017-05-17T00:00:00-06:00,1705 kWh
2017-05-18T00:00:00-06:00,1666 kWh
2017-05-19T00:00:00-06:00,2395 kWh
2017-05-20T00:00:00-06:00,2341 kWh
2017-05-21T00:00:00-06:00,2377 kWh
2017-05-22T00:00:00-06:00,2945 kWh
2017-05-23T00:00:00-06:00,2960 kWh
2017-05-24T00:00:00-06:00,2973 kWh
2017-05-25T00:00:00-06:00,2963 kWh
2017-05-26T00:00:00-06:00,2997 kWh
2017-05-27T00:00:00-06:00,2358 kWh
2017-05-28T00:00:00-06:00,2402 kWh
2017-05-29T00:00:00-06:00,2425 kWh
2017-05-30T00:00:00-06:00,2966 kWh
2017-05-31T00:00:00-06:00,2967 kWh
2017-06-01T00:00:00-06:00,2942 kWh
2017-06-02T00:00:00-06:00,3031 kWh
2017-06-03T00:00:00-06:00,2653 kWh
2017-06-04T00:00:00-06:00,2465 kWh
2017-06-05T00:00:00-06:00,2995 kWh
2017-06-06T00:00:00-06:00,3038 kWh
2017-06-07T00:00:00-06:00,3072 kWh
2017-06-08T00:00:00-06:00,2987 kWh
2017-06-09T00:00:00-06:00,2819 kWh
2017-06-10T00:00:00-06:00,2066 kWh
2017-06-11T00:00:00-06:00,2082 kWh
2017-06-12T00:00:00-06:00,2609 kWh
2017-06-13T00:00:00-06:00,2164 kWh
2017-06-14T00:00:00-06:00,2320 kWh
2017-06-15T00:00:00-06:00,2756 kWh
2017-06-16T00:00:00-06:00,2990 kWh
2017-06-17T00:00:00-06:00,2357 kWh
2017-06-18T00:00:00-06:00,2412 kWh
2017-06-19T00:00:00-06:00,3003 kWh
2017-06-20T00:00:00-06:00,3138 kWh
2017-06-21T00:00:00-06:00,3191 kWh
2017-06-22T00:00:00-06:00,3033 kWh
2017-06-23T00:00:00-06:00,3010 kWh
2017-06-24T00:00:00-06:00,2594 kWh
2017-06-25T00:00:00-06:00,2563 kWh
2017-06-26T00:00:00-06:00,3111 kWh
2017-06-27T00:00:00-06:00,3096 kWh
2017-06-28T00:00:00-06:00,2987 kWh
2017-06-29T00:00:00-06:00,3009 kWh
2017-06-30T00:00:00-06:00,2963 kWh
2017-07-01T00:00:00-06:00,2461 kWh
2017-07-02T00:00:00-06:00,2498 kWh
2017-07-03T00:00:00-06:00,3056 kWh
2017-07-04T00:00:00-06:00,2721 kWh
2017-07-05T00:00:00-06:00,3199 kWh
2017-07-06T00:00:00-06:00,3122 kWh
2017-07-07T00:00:00-06:00,3145 kWh
2017-07-08T00:00:00-06:00,2616 kWh
2017-07-09T00:00:00-06:00,2585 kWh
2017-07-10T00:00:00-06:00,3121 kWh
2017-07-11T00:00:00-06:00,3111 kWh
2017-07-12T00:00:00-06:00,3079 kWh
2017-07-13T00:00:00-06:00,3101 kWh
2017-07-14T00:00:00-06:00,3101 kWh
2017-07-15T00:00:00-06:00,2550 kWh
2017-07-16T00:00:00-06:00,2570 kWh
2017-07-17T00:00:00-06:00,3120 kWh
