Timestamp,"['203f26be-935f52aa 0097-DUMKE GYMNASTICS CNTR Power Meter W-hours, Received']"
2017-06-22T00:00:00-06:00,1159.28125 kWh
2017-06-23T00:00:00-06:00,882.21875 kWh
2017-06-24T00:00:00-06:00,779.96875 kWh
2017-06-25T00:00:00-06:00,874.65625 kWh
2017-06-26T00:00:00-06:00,1161.90625 kWh
2017-06-27T00:00:00-06:00,998.65625 kWh
2017-06-28T00:00:00-06:00,852.6875 kWh
2017-06-29T00:00:00-06:00,855 kWh
2017-06-30T00:00:00-06:00,914.6875 kWh
2017-07-01T00:00:00-06:00,801.03125 kWh
2017-07-02T00:00:00-06:00,910.21875 kWh
2017-07-03T00:00:00-06:00,1239.40625 kWh
2017-07-04T00:00:00-06:00,1040.78125 kWh
2017-07-05T00:00:00-06:00,1303.125 kWh
2017-07-06T00:00:00-06:00,1336.25 kWh
2017-07-07T00:00:00-06:00,1286 kWh
2017-07-08T00:00:00-06:00,1085.125 kWh
2017-07-09T00:00:00-06:00,990.65625 kWh
2017-07-10T00:00:00-06:00,1146.53125 kWh
2017-07-11T00:00:00-06:00,1123.375 kWh
2017-07-12T00:00:00-06:00,1339.09375 kWh
2017-07-13T00:00:00-06:00,1138.125 kWh
2017-07-14T00:00:00-06:00,1140.875 kWh
2017-07-15T00:00:00-06:00,980.9375 kWh
2017-07-16T00:00:00-06:00,993.03125 kWh
2017-07-17T00:00:00-06:00,1173.0625 kWh
2017-07-18T00:00:00-06:00,1186.53125 kWh
2017-07-19T00:00:00-06:00,1144.65625 kWh
2017-07-20T00:00:00-06:00,1184.59375 kWh
2017-07-21T00:00:00-06:00,1143.78125 kWh
2017-07-22T00:00:00-06:00,916 kWh
2017-07-23T00:00:00-06:00,886.28125 kWh
2017-07-24T00:00:00-06:00,916.0625 kWh
2017-07-25T00:00:00-06:00,1136.40625 kWh
2017-07-26T00:00:00-06:00,1098.8125 kWh
2017-07-27T00:00:00-06:00,1052 kWh
2017-07-28T00:00:00-06:00,964 kWh
2017-07-29T00:00:00-06:00,899.78125 kWh
2017-07-30T00:00:00-06:00,945.9375 kWh
2017-07-31T00:00:00-06:00,1203.5625 kWh
2017-08-01T00:00:00-06:00,1257.4375 kWh
2017-08-02T00:00:00-06:00,1193.25 kWh
2017-08-03T00:00:00-06:00,1132.65625 kWh
2017-08-04T00:00:00-06:00,987.46875 kWh
2017-08-05T00:00:00-06:00,857.84375 kWh
2017-08-06T00:00:00-06:00,808.78125 kWh
2017-08-07T00:00:00-06:00,982.34375 kWh
2017-08-08T00:00:00-06:00,802.3125 kWh
2017-08-09T00:00:00-06:00,814.6875 kWh
2017-08-10T00:00:00-06:00,779.65625 kWh
2017-08-11T00:00:00-06:00,805.84375 kWh
2017-08-12T00:00:00-06:00,824.34375 kWh
2017-08-13T00:00:00-06:00,780.59375 kWh
2017-08-14T00:00:00-06:00,749.03125 kWh
2017-08-15T00:00:00-06:00,693.53125 kWh
2017-08-16T00:00:00-06:00,744.5 kWh
2017-08-17T00:00:00-06:00,768.84375 kWh
2017-08-18T00:00:00-06:00,811.90625 kWh
2017-08-19T00:00:00-06:00,800.46875 kWh
2017-08-20T00:00:00-06:00,768.84375 kWh
2017-08-21T00:00:00-06:00,776.78125 kWh
2017-08-22T00:00:00-06:00,878.3125 kWh
2017-08-23T00:00:00-06:00,710.15625 kWh
2017-08-24T00:00:00-06:00,863.28125 kWh
2017-08-25T00:00:00-06:00,855.34375 kWh
2017-08-26T00:00:00-06:00,840.53125 kWh
2017-08-27T00:00:00-06:00,791.65625 kWh
2017-08-28T00:00:00-06:00,964.21875 kWh
2017-08-29T00:00:00-06:00,969.65625 kWh
2017-08-30T00:00:00-06:00,968.46875 kWh
2017-08-31T00:00:00-06:00,832.21875 kWh
2017-09-01T00:00:00-06:00,809.25 kWh
2017-09-02T00:00:00-06:00,766.875 kWh
