Timestamp,['1cdb9aa9-e2eb0eb4 0086-MARRIOTT LIBRARY Power Meter 1 KWH Received']
2017-06-14T00:00:00-06:00,13346 kWh
2017-06-15T00:00:00-06:00,13510 kWh
2017-06-16T00:00:00-06:00,13186 kWh
2017-06-17T00:00:00-06:00,12116 kWh
2017-06-18T00:00:00-06:00,12052 kWh
2017-06-19T00:00:00-06:00,14488 kWh
2017-06-20T00:00:00-06:00,14808 kWh
2017-06-21T00:00:00-06:00,14900 kWh
2017-06-22T00:00:00-06:00,13946 kWh
2017-06-23T00:00:00-06:00,12562 kWh
2017-06-24T00:00:00-06:00,11694 kWh
2017-06-25T00:00:00-06:00,11930 kWh
2017-06-26T00:00:00-06:00,14540 kWh
2017-06-27T00:00:00-06:00,14524 kWh
2017-06-28T00:00:00-06:00,14268 kWh
2017-06-29T00:00:00-06:00,13492 kWh
2017-06-30T00:00:00-06:00,12834 kWh
2017-07-01T00:00:00-06:00,12358 kWh
2017-07-02T00:00:00-06:00,12480 kWh
2017-07-03T00:00:00-06:00,14322 kWh
2017-07-04T00:00:00-06:00,12146 kWh
2017-07-05T00:00:00-06:00,15312 kWh
2017-07-06T00:00:00-06:00,14992 kWh
2017-07-07T00:00:00-06:00,14394 kWh
2017-07-08T00:00:00-06:00,13474 kWh
2017-07-09T00:00:00-06:00,12956 kWh
2017-07-10T00:00:00-06:00,15256 kWh
2017-07-11T00:00:00-06:00,15432 kWh
2017-07-12T00:00:00-06:00,15008 kWh
2017-07-13T00:00:00-06:00,14496 kWh
2017-07-14T00:00:00-06:00,13546 kWh
2017-07-15T00:00:00-06:00,12318 kWh
2017-07-16T00:00:00-06:00,11948 kWh
2017-07-17T00:00:00-06:00,14696 kWh
2017-07-18T00:00:00-06:00,15084 kWh
2017-07-19T00:00:00-06:00,15028 kWh
2017-07-20T00:00:00-06:00,14812 kWh
2017-07-21T00:00:00-06:00,13892 kWh
2017-07-22T00:00:00-06:00,12380 kWh
2017-07-23T00:00:00-06:00,10848 kWh
2017-07-24T00:00:00-06:00,11336 kWh
2017-07-25T00:00:00-06:00,14408 kWh
2017-07-26T00:00:00-06:00,14936 kWh
2017-07-27T00:00:00-06:00,14084 kWh
2017-07-28T00:00:00-06:00,13248 kWh
2017-07-29T00:00:00-06:00,11912 kWh
2017-07-30T00:00:00-06:00,11646 kWh
2017-07-31T00:00:00-06:00,14446 kWh
2017-08-01T00:00:00-06:00,14618 kWh
2017-08-02T00:00:00-06:00,14354 kWh
2017-08-03T00:00:00-06:00,14164 kWh
2017-08-04T00:00:00-06:00,13346 kWh
2017-08-05T00:00:00-06:00,11438 kWh
2017-08-06T00:00:00-06:00,10268 kWh
2017-08-07T00:00:00-06:00,12944 kWh
2017-08-08T00:00:00-06:00,13052 kWh
2017-08-09T00:00:00-06:00,12952 kWh
2017-08-10T00:00:00-06:00,12784 kWh
2017-08-11T00:00:00-06:00,12734 kWh
2017-08-12T00:00:00-06:00,11250 kWh
2017-08-13T00:00:00-06:00,10322 kWh
2017-08-14T00:00:00-06:00,12714 kWh
2017-08-15T00:00:00-06:00,12256 kWh
