Timestamp,"['1fa6236b-02e60f90 0003-GARDNER HALL Power Meter (300015) W-hours, Received']"
2017-04-10T00:00:00-06:00,834.25 kWh
2017-04-11T00:00:00-06:00,789.75 kWh
2017-04-12T00:00:00-06:00,950.73046875 kWh
2017-04-13T00:00:00-06:00,986.25 kWh
2017-04-14T00:00:00-06:00,976.76953125 kWh
2017-04-15T00:00:00-06:00,859.12109375 kWh
2017-04-16T00:00:00-06:00,513.8671875 kWh
2017-04-17T00:00:00-06:00,1019.62109375 kWh
2017-04-18T00:00:00-06:00,960.01953125 kWh
2017-04-19T00:00:00-06:00,992.2421875 kWh
2017-04-20T00:00:00-06:00,909.55859375 kWh
2017-04-21T00:00:00-06:00,867.4609375 kWh
2017-04-22T00:00:00-06:00,955.83984375 kWh
2017-04-23T00:00:00-06:00,787.73046875 kWh
2017-04-24T00:00:00-06:00,934.55859375 kWh
2017-04-25T00:00:00-06:00,970.921875 kWh
2017-04-26T00:00:00-06:00,700.5 kWh
2017-04-27T00:00:00-06:00,764.875 kWh
2017-04-28T00:00:00-06:00,808.1171875 kWh
2017-04-29T00:00:00-06:00,712.5 kWh
2017-04-30T00:00:00-06:00,661.375 kWh
2017-05-01T00:00:00-06:00,904.9296875 kWh
2017-05-02T00:00:00-06:00,893.984375 kWh
2017-05-03T00:00:00-06:00,756.1953125 kWh
2017-05-04T00:00:00-06:00,726.8359375 kWh
2017-05-05T00:00:00-06:00,689.109375 kWh
2017-05-06T00:00:00-06:00,734.21875 kWh
2017-05-07T00:00:00-06:00,533.5 kWh
2017-05-08T00:00:00-06:00,861.734375 kWh
2017-05-09T00:00:00-06:00,712.8125 kWh
2017-05-10T00:00:00-06:00,747.328125 kWh
2017-05-11T00:00:00-06:00,657.1640625 kWh
2017-05-12T00:00:00-06:00,955.6953125 kWh
2017-05-13T00:00:00-06:00,773.9140625 kWh
2017-05-14T00:00:00-06:00,428.203125 kWh
2017-05-15T00:00:00-06:00,574.296875 kWh
2017-05-16T00:00:00-06:00,676.2265625 kWh
2017-05-17T00:00:00-06:00,622.2265625 kWh
2017-05-18T00:00:00-06:00,706.09375 kWh
2017-05-19T00:00:00-06:00,753 kWh
2017-05-20T00:00:00-06:00,653.2421875 kWh
2017-05-21T00:00:00-06:00,588.5625 kWh
2017-05-22T00:00:00-06:00,680.9375 kWh
2017-05-23T00:00:00-06:00,746.21875 kWh
2017-05-24T00:00:00-06:00,848.390625 kWh
2017-05-25T00:00:00-06:00,840.5234375 kWh
2017-05-26T00:00:00-06:00,628.9140625 kWh
2017-05-27T00:00:00-06:00,518.671875 kWh
2017-05-28T00:00:00-06:00,464.2734375 kWh
2017-05-29T00:00:00-06:00,395.2265625 kWh
2017-05-30T00:00:00-06:00,616.3046875 kWh
2017-05-31T00:00:00-06:00,666.5703125 kWh
2017-06-01T00:00:00-06:00,644.59375 kWh
2017-06-02T00:00:00-06:00,725.875 kWh
2017-06-03T00:00:00-06:00,651.375 kWh
2017-06-04T00:00:00-06:00,489.5546875 kWh
2017-06-05T00:00:00-06:00,660.578125 kWh
2017-06-06T00:00:00-06:00,593.6015625 kWh
2017-06-07T00:00:00-06:00,604.640625 kWh
2017-06-08T00:00:00-06:00,807.625 kWh
2017-06-09T00:00:00-06:00,584.109375 kWh
2017-06-10T00:00:00-06:00,487.3828125 kWh
2017-06-11T00:00:00-06:00,427.3515625 kWh
2017-06-12T00:00:00-06:00,572.7421875 kWh
2017-06-13T00:00:00-06:00,656.9296875 kWh
2017-06-14T00:00:00-06:00,616.3359375 kWh
2017-06-15T00:00:00-06:00,646.9609375 kWh
2017-06-16T00:00:00-06:00,514.3203125 kWh
2017-06-17T00:00:00-06:00,574.6875 kWh
2017-06-18T00:00:00-06:00,631.4296875 kWh
2017-06-19T00:00:00-06:00,981.90625 kWh
2017-06-20T00:00:00-06:00,996.375 kWh
2017-06-21T00:00:00-06:00,1023.9609375 kWh
2017-06-22T00:00:00-06:00,858.4921875 kWh
2017-06-23T00:00:00-06:00,681.9609375 kWh
2017-06-24T00:00:00-06:00,518.390625 kWh
2017-06-25T00:00:00-06:00,443.46875 kWh
2017-06-26T00:00:00-06:00,596.265625 kWh
2017-06-27T00:00:00-06:00,600.9921875 kWh
2017-06-28T00:00:00-06:00,512.609375 kWh
2017-06-29T00:00:00-06:00,654.4609375 kWh
2017-06-30T00:00:00-06:00,627.5234375 kWh
2017-07-01T00:00:00-06:00,517.6640625 kWh
2017-07-02T00:00:00-06:00,474.75 kWh
2017-07-03T00:00:00-06:00,531.59375 kWh
2017-07-04T00:00:00-06:00,424.328125 kWh
2017-07-05T00:00:00-06:00,637.6015625 kWh
2017-07-06T00:00:00-06:00,704.3828125 kWh
2017-07-07T00:00:00-06:00,656.65625 kWh
2017-07-08T00:00:00-06:00,687.03125 kWh
2017-07-09T00:00:00-06:00,544.71875 kWh
2017-07-10T00:00:00-06:00,670.2265625 kWh
2017-07-11T00:00:00-06:00,572.171875 kWh
2017-07-12T00:00:00-06:00,757.078125 kWh
2017-07-13T00:00:00-06:00,642.40625 kWh
2017-07-14T00:00:00-06:00,622.859375 kWh
2017-07-15T00:00:00-06:00,498.265625 kWh
2017-07-16T00:00:00-06:00,517.265625 kWh
2017-07-17T00:00:00-06:00,781.359375 kWh
2017-07-18T00:00:00-06:00,755.4609375 kWh
2017-07-19T00:00:00-06:00,669.8359375 kWh
2017-07-20T00:00:00-06:00,743.734375 kWh
2017-07-21T00:00:00-06:00,686.34375 kWh
2017-07-22T00:00:00-06:00,577.3046875 kWh
2017-07-23T00:00:00-06:00,438.546875 kWh
2017-07-24T00:00:00-06:00,500.6171875 kWh
2017-07-25T00:00:00-06:00,590.0546875 kWh
2017-07-26T00:00:00-06:00,637.578125 kWh
2017-07-27T00:00:00-06:00,599.28125 kWh
2017-07-28T00:00:00-06:00,577.5078125 kWh
2017-07-29T00:00:00-06:00,498.5546875 kWh
2017-07-30T00:00:00-06:00,434.15625 kWh
2017-07-31T00:00:00-06:00,773.171875 kWh
2017-08-01T00:00:00-06:00,601.4375 kWh
2017-08-02T00:00:00-06:00,521.6015625 kWh
2017-08-03T00:00:00-06:00,762.359375 kWh
2017-08-04T00:00:00-06:00,601.984375 kWh
2017-08-05T00:00:00-06:00,415.53125 kWh
2017-08-06T00:00:00-06:00,373.890625 kWh
2017-08-07T00:00:00-06:00,618.625 kWh
2017-08-08T00:00:00-06:00,585.296875 kWh
2017-08-09T00:00:00-06:00,664.4375 kWh
2017-08-10T00:00:00-06:00,775.515625 kWh
2017-08-11T00:00:00-06:00,736.296875 kWh
2017-08-12T00:00:00-06:00,718.6875 kWh
2017-08-13T00:00:00-06:00,560.1875 kWh
2017-08-14T00:00:00-06:00,643.109375 kWh
2017-08-15T00:00:00-06:00,526.734375 kWh
2017-08-16T00:00:00-06:00,604.546875 kWh
2017-08-17T00:00:00-06:00,607.09375 kWh
2017-08-18T00:00:00-06:00,591.046875 kWh
2017-08-19T00:00:00-06:00,724.953125 kWh
2017-08-20T00:00:00-06:00,538.265625 kWh
2017-08-21T00:00:00-06:00,719.640625 kWh
2017-08-22T00:00:00-06:00,735.890625 kWh
2017-08-23T00:00:00-06:00,771.03125 kWh
2017-08-24T00:00:00-06:00,732.5625 kWh
2017-08-25T00:00:00-06:00,694.828125 kWh
2017-08-26T00:00:00-06:00,576.84375 kWh
2017-08-27T00:00:00-06:00,544.203125 kWh
2017-08-28T00:00:00-06:00,757.75 kWh
2017-08-29T00:00:00-06:00,715.953125 kWh
2017-08-30T00:00:00-06:00,868.921875 kWh
2017-08-31T00:00:00-06:00,823.578125 kWh
2017-09-01T00:00:00-06:00,831.65625 kWh
2017-09-02T00:00:00-06:00,609.5 kWh
2017-09-03T00:00:00-06:00,625.53125 kWh
2017-09-04T00:00:00-06:00,640 kWh
2017-09-05T00:00:00-06:00,774.6875 kWh
2017-09-06T00:00:00-06:00,818.765625 kWh
2017-09-07T00:00:00-06:00,966.109375 kWh
2017-09-08T00:00:00-06:00,952.171875 kWh
2017-09-09T00:00:00-06:00,781.125 kWh
2017-09-10T00:00:00-06:00,671.984375 kWh
2017-09-11T00:00:00-06:00,952.65625 kWh
2017-09-12T00:00:00-06:00,974.640625 kWh
2017-09-13T00:00:00-06:00,767.59375 kWh
2017-09-14T00:00:00-06:00,862.765625 kWh
2017-09-15T00:00:00-06:00,878.59375 kWh
2017-09-16T00:00:00-06:00,803.515625 kWh
