Timestamp,"['1fa2475d-a528bc63 0002-VOICE & OPERA CNTR Power Meter (301411) W-hours, Received']"
2017-05-03T00:00:00-06:00,24.28125 kWh
2017-05-04T00:00:00-06:00,24.9140625 kWh
2017-05-05T00:00:00-06:00,31.4765625 kWh
2017-05-06T00:00:00-06:00,8.3984375 kWh
2017-05-07T00:00:00-06:00,8.4296875 kWh
2017-05-08T00:00:00-06:00,22.4921875 kWh
2017-05-09T00:00:00-06:00,24.828125 kWh
2017-05-10T00:00:00-06:00,24.484375 kWh
2017-05-11T00:00:00-06:00,29.4296875 kWh
2017-05-12T00:00:00-06:00,31.859375 kWh
2017-05-13T00:00:00-06:00,9.4765625 kWh
2017-05-14T00:00:00-06:00,8.3203125 kWh
2017-05-15T00:00:00-06:00,21.953125 kWh
2017-05-16T00:00:00-06:00,21.9296875 kWh
2017-05-17T00:00:00-06:00,22.7109375 kWh
2017-05-18T00:00:00-06:00,23.8671875 kWh
2017-05-19T00:00:00-06:00,24.3203125 kWh
2017-05-20T00:00:00-06:00,7.5078125 kWh
2017-05-21T00:00:00-06:00,7.5 kWh
2017-05-22T00:00:00-06:00,24.203125 kWh
2017-05-23T00:00:00-06:00,29.3125 kWh
2017-05-24T00:00:00-06:00,27.8046875 kWh
2017-05-25T00:00:00-06:00,22.796875 kWh
2017-05-26T00:00:00-06:00,22.0078125 kWh
2017-05-27T00:00:00-06:00,7.5703125 kWh
2017-05-28T00:00:00-06:00,7.5546875 kWh
2017-05-29T00:00:00-06:00,28.78125 kWh
2017-05-30T00:00:00-06:00,32.8125 kWh
2017-05-31T00:00:00-06:00,37.2578125 kWh
2017-06-01T00:00:00-06:00,31.140625 kWh
2017-06-02T00:00:00-06:00,32.78125 kWh
2017-06-03T00:00:00-06:00,10.4921875 kWh
2017-06-04T00:00:00-06:00,10.796875 kWh
2017-06-05T00:00:00-06:00,40.6171875 kWh
2017-06-06T00:00:00-06:00,42.921875 kWh
2017-06-07T00:00:00-06:00,47.2109375 kWh
2017-06-08T00:00:00-06:00,42.2578125 kWh
2017-06-09T00:00:00-06:00,38.796875 kWh
2017-06-10T00:00:00-06:00,7.953125 kWh
2017-06-11T00:00:00-06:00,7.9609375 kWh
2017-06-12T00:00:00-06:00,24.09375 kWh
2017-06-13T00:00:00-06:00,22.53125 kWh
2017-06-14T00:00:00-06:00,27.5 kWh
2017-06-15T00:00:00-06:00,33.9765625 kWh
2017-06-16T00:00:00-06:00,37.4140625 kWh
2017-06-17T00:00:00-06:00,7.0234375 kWh
2017-06-18T00:00:00-06:00,7.6953125 kWh
2017-06-19T00:00:00-06:00,41.2890625 kWh
2017-06-20T00:00:00-06:00,45.375 kWh
2017-06-21T00:00:00-06:00,45.8671875 kWh
2017-06-22T00:00:00-06:00,37.953125 kWh
2017-06-23T00:00:00-06:00,35 kWh
2017-06-24T00:00:00-06:00,17.484375 kWh
2017-06-25T00:00:00-06:00,15.796875 kWh
2017-06-26T00:00:00-06:00,52.28125 kWh
2017-06-27T00:00:00-06:00,48.078125 kWh
2017-06-28T00:00:00-06:00,41.6640625 kWh
2017-06-29T00:00:00-06:00,36.03125 kWh
2017-06-30T00:00:00-06:00,35.5703125 kWh
2017-07-01T00:00:00-06:00,9.59375 kWh
2017-07-02T00:00:00-06:00,16.65625 kWh
2017-07-03T00:00:00-06:00,55.140625 kWh
2017-07-04T00:00:00-06:00,57.75 kWh
2017-07-05T00:00:00-06:00,58.8671875 kWh
2017-07-06T00:00:00-06:00,58.6484375 kWh
2017-07-07T00:00:00-06:00,59.640625 kWh
2017-07-08T00:00:00-06:00,34.0390625 kWh
2017-07-09T00:00:00-06:00,34.6875 kWh
2017-07-10T00:00:00-06:00,55.0234375 kWh
2017-07-11T00:00:00-06:00,52.46875 kWh
2017-07-12T00:00:00-06:00,55.578125 kWh
2017-07-13T00:00:00-06:00,52.296875 kWh
2017-07-14T00:00:00-06:00,51.109375 kWh
2017-07-15T00:00:00-06:00,29 kWh
2017-07-16T00:00:00-06:00,33 kWh
2017-07-17T00:00:00-06:00,55.546875 kWh
2017-07-18T00:00:00-06:00,56.8125 kWh
2017-07-19T00:00:00-06:00,54.5078125 kWh
2017-07-20T00:00:00-06:00,49.25 kWh
2017-07-21T00:00:00-06:00,58.3125 kWh
2017-07-22T00:00:00-06:00,33.6875 kWh
2017-07-23T00:00:00-06:00,29.9375 kWh
2017-07-24T00:00:00-06:00,53.6328125 kWh
2017-07-25T00:00:00-06:00,41.296875 kWh
2017-07-26T00:00:00-06:00,39.953125 kWh
2017-07-27T00:00:00-06:00,42.9375 kWh
2017-07-28T00:00:00-06:00,41.5 kWh
2017-07-29T00:00:00-06:00,20.2890625 kWh
2017-07-30T00:00:00-06:00,21.53125 kWh
2017-07-31T00:00:00-06:00,50.59375 kWh
2017-08-01T00:00:00-06:00,52.8515625 kWh
2017-08-02T00:00:00-06:00,51.5859375 kWh
2017-08-03T00:00:00-06:00,91.390625 kWh
2017-08-04T00:00:00-06:00,110.828125 kWh
2017-08-05T00:00:00-06:00,58.71875 kWh
2017-08-06T00:00:00-06:00,44.0546875 kWh
2017-08-07T00:00:00-06:00,85.6015625 kWh
2017-08-08T00:00:00-06:00,73.203125 kWh
2017-08-09T00:00:00-06:00,72.3125 kWh
2017-08-10T00:00:00-06:00,74.2734375 kWh
2017-08-11T00:00:00-06:00,85.7578125 kWh
2017-08-12T00:00:00-06:00,25.75 kWh
2017-08-13T00:00:00-06:00,35.9765625 kWh
2017-08-14T00:00:00-06:00,71.625 kWh
2017-08-15T00:00:00-06:00,60.8515625 kWh
2017-08-16T00:00:00-06:00,67.15625 kWh
2017-08-17T00:00:00-06:00,72.0234375 kWh
2017-08-18T00:00:00-06:00,77.8984375 kWh
2017-08-19T00:00:00-06:00,16.375 kWh
2017-08-20T00:00:00-06:00,32.8359375 kWh
2017-08-21T00:00:00-06:00,98.1484375 kWh
2017-08-22T00:00:00-06:00,73.265625 kWh
2017-08-23T00:00:00-06:00,74.046875 kWh
2017-08-24T00:00:00-06:00,70.6875 kWh
2017-08-25T00:00:00-06:00,83.3125 kWh
2017-08-26T00:00:00-06:00,17.6953125 kWh
2017-08-27T00:00:00-06:00,28.1796875 kWh
2017-08-28T00:00:00-06:00,116.625 kWh
2017-08-29T00:00:00-06:00,103.515625 kWh
2017-08-30T00:00:00-06:00,97.0546875 kWh
2017-08-31T00:00:00-06:00,67.3359375 kWh
2017-09-01T00:00:00-06:00,72.96875 kWh
2017-09-02T00:00:00-06:00,6.8046875 kWh
2017-09-03T00:00:00-06:00,18.8984375 kWh
2017-09-04T00:00:00-06:00,79.609375 kWh
2017-09-05T00:00:00-06:00,87.71875 kWh
2017-09-06T00:00:00-06:00,84.609375 kWh
2017-09-07T00:00:00-06:00,66.1015625 kWh
2017-09-08T00:00:00-06:00,71.9921875 kWh
2017-09-09T00:00:00-06:00,10.1953125 kWh
2017-09-10T00:00:00-06:00,4.953125 kWh
2017-09-11T00:00:00-06:00,83.7421875 kWh
2017-09-12T00:00:00-06:00,78.34375 kWh
2017-09-13T00:00:00-06:00,57.875 kWh
2017-09-14T00:00:00-06:00,43.65625 kWh
2017-09-15T00:00:00-06:00,52.7890625 kWh
2017-09-16T00:00:00-06:00,9.1640625 kWh
2017-09-17T00:00:00-06:00,8.4296875 kWh
2017-09-18T00:00:00-06:00,58.2109375 kWh
2017-09-19T00:00:00-06:00,55.3984375 kWh
