Timestamp,['1cd3e13e-4af7f2c0 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Volts BN']
2017-10-20T00:00:00-06:00,280.1927143732707 V
2017-10-21T00:00:00-06:00,280.5010471343994 V
2017-10-22T00:00:00-06:00,280.27500438690186 V
2017-10-23T00:00:00-06:00,280.58334000905353 V
2017-10-24T00:00:00-06:00,280.3927141825358 V
2017-10-25T00:00:00-06:00,280.51579461348683 V
2017-10-26T00:00:00-06:00,280.2906319300334 V
2017-10-27T00:00:00-06:00,280.4270887374878 V
2017-10-28T00:00:00-06:00,280.32396507263184 V
2017-10-29T00:00:00-06:00,280.1458377838135 V
2017-10-30T00:00:00-06:00,280.564590771993 V
2017-10-31T00:00:00-06:00,280.68021329243976 V
2017-11-01T00:00:00-06:00,280.0635461807251 V
2017-11-02T00:00:00-06:00,280.43438180287677 V
2017-11-03T00:00:00-06:00,280.58959070841473 V
2017-11-04T00:00:00-06:00,280.4541727701823 V
2017-11-05T00:00:00-06:00,280.6170071411133 V
2017-11-06T00:00:00-07:00,280.7614625295003 V
2017-11-07T00:00:00-07:00,280.8583396275838 V
2017-11-08T00:00:00-07:00,280.3104241689046 V
2017-11-09T00:00:00-07:00,280.182297706604 V
2017-11-10T00:00:00-07:00,280.59167257944745 V
2017-11-11T00:00:00-07:00,280.55938084920246 V
2017-11-12T00:00:00-07:00,280.60625584920246 V
2017-11-13T00:00:00-07:00,280.2656310399373 V
2017-11-14T00:00:00-07:00,280.72188059488934 V
2017-11-15T00:00:00-07:00,280.32500680287677 V
2017-11-16T00:00:00-07:00,280.00729846954346 V
2017-11-17T00:00:00-07:00,279.93958950042725 V
2017-11-18T00:00:00-07:00,280.5312560399373 V
2017-11-19T00:00:00-07:00,280.65312989552814 V
2017-11-20T00:00:00-07:00,280.43334007263184 V
2017-11-21T00:00:00-07:00,280.6083386739095 V
2017-11-22T00:00:00-07:00,280.37917200724286 V
2017-11-23T00:00:00-07:00,280.46042283376056 V
2017-11-24T00:00:00-07:00,280.55834039052326 V
2017-11-25T00:00:00-07:00,280.3229230244954 V
2017-11-26T00:00:00-07:00,280.5520887374878 V
2017-11-27T00:00:00-07:00,280.4687573115031 V
2017-11-28T00:00:00-07:00,280.54167397816974 V
2017-11-29T00:00:00-07:00,280.30729548136395 V
2017-11-30T00:00:00-07:00,280.5947987238566 V
2017-12-01T00:00:00-07:00,280.1697991689046 V
2017-12-02T00:00:00-07:00,280.2447983423869 V
2017-12-03T00:00:00-07:00,280.5208393732707 V
2017-12-04T00:00:00-07:00,280.3427149454753 V
2017-12-05T00:00:00-07:00,280.4458392461141 V
2017-12-06T00:00:00-07:00,280.4062582651774 V
2017-12-07T00:00:00-07:00,280.41354688008624 V
2017-12-08T00:00:00-07:00,280.170841217041 V
2017-12-09T00:00:00-07:00,280.28021399180096 V
2017-12-10T00:00:00-07:00,280.4114643732707 V
2017-12-11T00:00:00-07:00,280.6145884195964 V
2017-12-12T00:00:00-07:00,280.15521399180096 V
2017-12-13T00:00:00-07:00,280.64271481831867 V
2017-12-14T00:00:00-07:00,280.6812562942505 V
2017-12-15T00:00:00-07:00,280.63438002268475 V
2017-12-16T00:00:00-07:00,280.41458797454834 V
2017-12-17T00:00:00-07:00,280.13333956400555 V
2017-12-18T00:00:00-07:00,280.0366726345486 V
2017-12-19T00:00:00-07:00,280.43542226155597 V
2017-12-20T00:00:00-07:00,280.49063046773273 V
