Timestamp,['1cbacc0f-fe63d7e3 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt C-N']
2017-10-20T00:00:00-06:00,121.97407992680867 V
2017-10-21T00:00:00-06:00,122.06505600611369 V
2017-10-22T00:00:00-06:00,121.96693960825603 V
2017-10-23T00:00:00-06:00,122.09356999397278 V
2017-10-24T00:00:00-06:00,122.00195980072021 V
2017-10-25T00:00:00-06:00,122.03718717892964 V
2017-10-26T00:00:00-06:00,121.9372882048289 V
2017-10-27T00:00:00-06:00,122.02534937858582 V
2017-10-28T00:00:00-06:00,122.01248447100322 V
2017-10-29T00:00:00-06:00,121.93587843577068 V
2017-10-30T00:00:00-06:00,122.0402585665385 V
2017-10-31T00:00:00-06:00,122.12951564788818 V
2017-11-01T00:00:00-06:00,121.85266176859538 V
2017-11-02T00:00:00-06:00,122.030748685201 V
2017-11-03T00:00:00-06:00,122.10924824078877 V
2017-11-04T00:00:00-06:00,122.09975115458171 V
2017-11-05T00:00:00-06:00,122.13339599609375 V
2017-11-06T00:00:00-07:00,122.1493734518687 V
2017-11-07T00:00:00-07:00,122.19254279136658 V
2017-11-08T00:00:00-07:00,121.98543405532837 V
2017-11-09T00:00:00-07:00,121.89159361521403 V
2017-11-10T00:00:00-07:00,122.03841964403789 V
2017-11-11T00:00:00-07:00,121.95495335261027 V
2017-11-12T00:00:00-07:00,122.0284427801768 V
2017-11-13T00:00:00-07:00,122.01523145039876 V
2017-11-14T00:00:00-07:00,121.93016250928243 V
2017-11-15T00:00:00-07:00,121.73269255956014 V
2017-11-16T00:00:00-07:00,122.14200599988301 V
2017-11-17T00:00:00-07:00,121.98798791567485 V
2017-11-18T00:00:00-07:00,122.22651235262553 V
2017-11-19T00:00:00-07:00,122.35900115966797 V
2017-11-20T00:00:00-07:00,122.13901360829671 V
2017-11-21T00:00:00-07:00,121.86882742245992 V
2017-11-22T00:00:00-07:00,122.05660343170166 V
2017-11-23T00:00:00-07:00,122.11857994397481 V
2017-11-24T00:00:00-07:00,122.14573001861572 V
2017-11-25T00:00:00-07:00,122.07662717501323 V
2017-11-26T00:00:00-07:00,122.08819659550984 V
2017-11-27T00:00:00-07:00,122.09553734461467 V
2017-11-28T00:00:00-07:00,122.0360661347707 V
2017-11-29T00:00:00-07:00,121.99105993906657 V
2017-11-30T00:00:00-07:00,121.95088926951091 V
2017-12-01T00:00:00-07:00,122.04201706250508 V
2017-12-02T00:00:00-07:00,122.00370248158772 V
2017-12-03T00:00:00-07:00,121.985991080602 V
2017-12-04T00:00:00-07:00,121.89255944887798 V
2017-12-05T00:00:00-07:00,122.01578680674235 V
2017-12-06T00:00:00-07:00,122.06103467941284 V
2017-12-07T00:00:00-07:00,122.13709688186646 V
2017-12-08T00:00:00-07:00,122.20825258890788 V
2017-12-09T00:00:00-07:00,122.29119451840718 V
2017-12-10T00:00:00-07:00,122.19532982508342 V
2017-12-11T00:00:00-07:00,122.06784256299336 V
2017-12-12T00:00:00-07:00,121.93409490585327 V
2017-12-13T00:00:00-07:00,122.03778346379598 V
2017-12-14T00:00:00-07:00,122.16074244181316 V
2017-12-15T00:00:00-07:00,122.06860494613647 V
2017-12-16T00:00:00-07:00,122.14705499013265 V
2017-12-17T00:00:00-07:00,121.96353189150493 V
2017-12-18T00:00:00-07:00,122.02734834404401 V
2017-12-19T00:00:00-07:00,121.92254201571147 V
2017-12-20T00:00:00-07:00,122.09283169110616 V
2017-12-21T00:00:00-07:00,121.95488699277242 V
2017-12-22T00:00:00-07:00,122.04662307103474 V
2017-12-23T00:00:00-07:00,122.01885763804118 V
2017-12-24T00:00:00-07:00,122.05399322509766 V
2017-12-25T00:00:00-07:00,122.17775376637776 V
2017-12-26T00:00:00-07:00,122.1970869700114 V
2017-12-27T00:00:00-07:00,121.90567708015442 V
2017-12-28T00:00:00-07:00,122.19064871470134 V
2017-12-29T00:00:00-07:00,122.05543541908264 V
2017-12-30T00:00:00-07:00,121.93921152750652 V
2017-12-31T00:00:00-07:00,121.86940018335979 V
