Timestamp,['1f4f32ae-a049114c Power Meter (4160V) 316611 Current B']
2017-05-02T00:00:00-06:00,47.4 A
2017-05-03T00:00:00-06:00,21.72093023255814 A
2017-05-04T00:00:00-06:00,32.88157894736842 A
2017-05-05T00:00:00-06:00,41.365591397849464 A
2017-05-06T00:00:00-06:00,42.348314606741575 A
2017-05-07T00:00:00-06:00,43.12903225806452 A
2017-05-08T00:00:00-06:00,40.18478260869565 A
2017-05-09T00:00:00-06:00,41.67777777777778 A
2017-05-10T00:00:00-06:00,42.527472527472526 A
2017-05-11T00:00:00-06:00,45 A
2017-05-12T00:00:00-06:00,50.96551724137931 A
2017-05-13T00:00:00-06:00,27.315217391304348 A
2017-05-14T00:00:00-06:00,29.234567901234566 A
2017-05-15T00:00:00-06:00,47.36904761904762 A
2017-05-16T00:00:00-06:00,43.193548387096776 A
2017-05-17T00:00:00-06:00,5.616279069767442 A
2017-05-18T00:00:00-06:00,0 A
2017-05-19T00:00:00-06:00,4.8375 A
2017-05-20T00:00:00-06:00,16.88372093023256 A
2017-05-21T00:00:00-06:00,18.22093023255814 A
2017-05-22T00:00:00-06:00,23.45977011494253 A
2017-05-23T00:00:00-06:00,39.97727272727273 A
2017-05-24T00:00:00-06:00,40.6 A
2017-05-25T00:00:00-06:00,29.546666666666667 A
2017-05-26T00:00:00-06:00,18.790697674418606 A
2017-05-27T00:00:00-06:00,19.67032967032967 A
2017-05-28T00:00:00-06:00,31.719101123595507 A
2017-05-29T00:00:00-06:00,0.8522727272727273 A
2017-05-30T00:00:00-06:00,27.122222222222224 A
2017-05-31T00:00:00-06:00,45.81333333333333 A
2017-06-01T00:00:00-06:00,45.62068965517241 A
2017-06-02T00:00:00-06:00,32.3 A
2017-06-03T00:00:00-06:00,44.55555555555556 A
2017-06-04T00:00:00-06:00,45.28125 A
2017-06-05T00:00:00-06:00,50.714285714285715 A
2017-06-06T00:00:00-06:00,53.02272727272727 A
2017-06-07T00:00:00-06:00,54.94252873563219 A
2017-06-08T00:00:00-06:00,51.65555555555556 A
2017-06-09T00:00:00-06:00,42.8625 A
2017-06-10T00:00:00-06:00,39.627906976744185 A
2017-06-11T00:00:00-06:00,42.735632183908045 A
2017-06-12T00:00:00-06:00,34.30681818181818 A
2017-06-13T00:00:00-06:00,16.114942528735632 A
2017-06-14T00:00:00-06:00,31.11111111111111 A
2017-06-15T00:00:00-06:00,45.17741935483871 A
2017-06-16T00:00:00-06:00,49.3974358974359 A
2017-06-17T00:00:00-06:00,43.7906976744186 A
2017-06-18T00:00:00-06:00,45.888888888888886 A
2017-06-19T00:00:00-06:00,63.733333333333334 A
2017-06-20T00:00:00-06:00,77.70731707317073 A
2017-06-21T00:00:00-06:00,74.76543209876543 A
2017-06-22T00:00:00-06:00,58.38095238095238 A
2017-06-23T00:00:00-06:00,54.16867469879518 A
2017-06-24T00:00:00-06:00,48.97727272727273 A
2017-06-25T00:00:00-06:00,64.5223880597015 A
2017-06-26T00:00:00-06:00,74.76190476190476 A
2017-06-27T00:00:00-06:00,68.51351351351352 A
2017-06-28T00:00:00-06:00,57.640449438202246 A
2017-06-29T00:00:00-06:00,54.05813953488372 A
2017-06-30T00:00:00-06:00,53.449438202247194 A
2017-07-01T00:00:00-06:00,55.45161290322581 A
2017-07-02T00:00:00-06:00,62 A
2017-07-03T00:00:00-06:00,75.98591549295774 A
2017-07-04T00:00:00-06:00,73.65957446808511 A
2017-07-05T00:00:00-06:00,79.52173913043478 A
2017-07-06T00:00:00-06:00,71.2 A
2017-07-07T00:00:00-06:00,95.33333333333333 A
2017-07-08T00:00:00-06:00,79.71428571428571 A
2017-07-09T00:00:00-06:00,80 A
2017-07-10T00:00:00-06:00,93.66666666666667 A
2017-07-11T00:00:00-06:00,70.54545454545455 A
2017-07-12T00:00:00-06:00,63.2 A
2017-07-14T00:00:00-06:00,87.66666666666667 A
2017-07-15T00:00:00-06:00,67.52941176470588 A
2017-07-16T00:00:00-06:00,98.55555555555556 A
2017-07-17T00:00:00-06:00,80.5 A
2017-07-18T00:00:00-06:00,80.8 A
2017-07-19T00:00:00-06:00,85 A
2017-07-20T00:00:00-06:00,92.45454545454545 A
2017-07-21T00:00:00-06:00,76.70588235294117 A
2017-07-22T00:00:00-06:00,74.92105263157895 A
2017-07-23T00:00:00-06:00,73.11111111111111 A
2017-07-24T00:00:00-06:00,76.14285714285714 A
2017-07-25T00:00:00-06:00,82 A
2017-07-26T00:00:00-06:00,77.5 A
2017-07-27T00:00:00-06:00,61.714285714285715 A
2017-07-28T00:00:00-06:00,47.42857142857143 A
2017-07-29T00:00:00-06:00,51.55555555555556 A
2017-07-30T00:00:00-06:00,70 A
2017-07-31T00:00:00-06:00,80.125 A
2017-08-01T00:00:00-06:00,86.76666666666667 A
2017-08-02T00:00:00-06:00,75.85714285714286 A
2017-08-03T00:00:00-06:00,65.5 A
2017-08-04T00:00:00-06:00,66.57142857142857 A
2017-08-05T00:00:00-06:00,69.88888888888889 A
2017-08-06T00:00:00-06:00,61.55555555555556 A
2017-08-07T00:00:00-06:00,71.5 A
2017-08-08T00:00:00-06:00,76 A
2017-08-09T00:00:00-06:00,52.285714285714285 A
2017-08-10T00:00:00-06:00,76.71428571428571 A
2017-08-11T00:00:00-06:00,56.5 A
2017-08-12T00:00:00-06:00,66.58823529411765 A
2017-08-13T00:00:00-06:00,58.142857142857146 A
2017-08-14T00:00:00-06:00,57.5 A
2017-08-15T00:00:00-06:00,35.6 A
2017-08-16T00:00:00-06:00,62.625 A
2017-08-17T00:00:00-06:00,76.66666666666667 A
2017-08-18T00:00:00-06:00,29.666666666666668 A
2017-08-19T00:00:00-06:00,74.33333333333333 A
2017-08-20T00:00:00-06:00,53.9375 A
2017-08-21T00:00:00-06:00,63.833333333333336 A
2017-08-22T00:00:00-06:00,82.66666666666667 A
2017-08-23T00:00:00-06:00,66 A
2017-08-24T00:00:00-06:00,68.3 A
2017-08-25T00:00:00-06:00,63.4 A
2017-08-26T00:00:00-06:00,50.666666666666664 A
2017-08-27T00:00:00-06:00,69 A
2017-08-28T00:00:00-06:00,65.7 A
2017-08-29T00:00:00-06:00,74.81818181818181 A
2017-08-30T00:00:00-06:00,72.57142857142857 A
2017-08-31T00:00:00-06:00,66 A
2017-09-01T00:00:00-06:00,51.22222222222222 A
2017-09-02T00:00:00-06:00,52.25 A
2017-09-03T00:00:00-06:00,57.72727272727273 A
2017-09-04T00:00:00-06:00,58.93333333333333 A
2017-09-05T00:00:00-06:00,73.23809523809524 A
2017-09-06T00:00:00-06:00,71.33333333333333 A
2017-09-07T00:00:00-06:00,59.6 A
2017-09-08T00:00:00-06:00,48.875 A
2017-09-09T00:00:00-06:00,49.888888888888886 A
2017-09-10T00:00:00-06:00,37.285714285714285 A
2017-09-11T00:00:00-06:00,40.75 A
2017-09-12T00:00:00-06:00,64.3 A
2017-09-13T00:00:00-06:00,54.76470588235294 A
2017-09-14T00:00:00-06:00,49 A
2017-09-15T00:00:00-06:00,32.666666666666664 A
2017-09-16T00:00:00-06:00,26.818181818181817 A
2017-09-17T00:00:00-06:00,35.27272727272727 A
2017-09-18T00:00:00-06:00,47.714285714285715 A
