Timestamp,"['1ee9aa5e-61cafb5e 0053-OLPIN UNION Power Meter (53-2) 300116 W-hours, Received']"
2017-04-29T00:00:00-06:00,1808.921875 kWh
2017-04-30T00:00:00-06:00,1741.1875 kWh
2017-05-01T00:00:00-06:00,2235.171875 kWh
2017-05-02T00:00:00-06:00,2364.609375 kWh
2017-05-03T00:00:00-06:00,2324.125 kWh
2017-05-04T00:00:00-06:00,2233.15625 kWh
2017-05-05T00:00:00-06:00,2188.671875 kWh
2017-05-06T00:00:00-06:00,1719.53125 kWh
2017-05-07T00:00:00-06:00,1593.375 kWh
2017-05-08T00:00:00-06:00,1964.1875 kWh
2017-05-09T00:00:00-06:00,2010.234375 kWh
2017-05-10T00:00:00-06:00,1936.6875 kWh
2017-05-11T00:00:00-06:00,1950.953125 kWh
2017-05-12T00:00:00-06:00,2011.9375 kWh
2017-05-13T00:00:00-06:00,1723.359375 kWh
2017-05-14T00:00:00-06:00,1590.4375 kWh
2017-05-15T00:00:00-06:00,2038.234375 kWh
2017-05-16T00:00:00-06:00,1983.953125 kWh
2017-05-17T00:00:00-06:00,2070.40625 kWh
2017-05-18T00:00:00-06:00,2091.140625 kWh
2017-05-19T00:00:00-06:00,1968.640625 kWh
2017-05-20T00:00:00-06:00,1648.796875 kWh
2017-05-21T00:00:00-06:00,1533.859375 kWh
2017-05-22T00:00:00-06:00,2119.25 kWh
2017-05-23T00:00:00-06:00,2127.875 kWh
2017-05-24T00:00:00-06:00,2079.421875 kWh
2017-05-25T00:00:00-06:00,2085.609375 kWh
2017-05-26T00:00:00-06:00,2011.828125 kWh
2017-05-27T00:00:00-06:00,1670.703125 kWh
2017-05-28T00:00:00-06:00,1701.984375 kWh
2017-05-29T00:00:00-06:00,1734.171875 kWh
2017-05-30T00:00:00-06:00,1925.078125 kWh
2017-05-31T00:00:00-06:00,1967.3125 kWh
2017-06-01T00:00:00-06:00,2151.328125 kWh
2017-06-02T00:00:00-06:00,2063.625 kWh
2017-06-03T00:00:00-06:00,1664.5 kWh
2017-06-04T00:00:00-06:00,1554.8125 kWh
2017-06-05T00:00:00-06:00,2037.8125 kWh
2017-06-06T00:00:00-06:00,2101.6875 kWh
2017-06-07T00:00:00-06:00,2071.125 kWh
2017-06-08T00:00:00-06:00,2103.90625 kWh
2017-06-09T00:00:00-06:00,2140.59375 kWh
2017-06-10T00:00:00-06:00,1674.875 kWh
2017-06-11T00:00:00-06:00,1584.5 kWh
2017-06-12T00:00:00-06:00,1903.28125 kWh
2017-06-13T00:00:00-06:00,1925.96875 kWh
2017-06-14T00:00:00-06:00,2061.90625 kWh
2017-06-15T00:00:00-06:00,2204.75 kWh
2017-06-16T00:00:00-06:00,2169.25 kWh
2017-06-17T00:00:00-06:00,1719.21875 kWh
2017-06-18T00:00:00-06:00,1609.34375 kWh
2017-06-19T00:00:00-06:00,2113 kWh
2017-06-20T00:00:00-06:00,2200.375 kWh
2017-06-21T00:00:00-06:00,2230.75 kWh
2017-06-22T00:00:00-06:00,2185.84375 kWh
2017-06-23T00:00:00-06:00,2102.375 kWh
2017-06-24T00:00:00-06:00,1636.34375 kWh
2017-06-25T00:00:00-06:00,1582.84375 kWh
2017-06-26T00:00:00-06:00,2118.90625 kWh
2017-06-27T00:00:00-06:00,2146.21875 kWh
2017-06-28T00:00:00-06:00,2116.78125 kWh
2017-06-29T00:00:00-06:00,2141.3125 kWh
2017-06-30T00:00:00-06:00,2023.65625 kWh
2017-07-01T00:00:00-06:00,1638.375 kWh
2017-07-02T00:00:00-06:00,1557.84375 kWh
2017-07-03T00:00:00-06:00,1944.125 kWh
2017-07-04T00:00:00-06:00,1548.75 kWh
2017-07-05T00:00:00-06:00,2048.25 kWh
2017-07-06T00:00:00-06:00,2049.5625 kWh
2017-07-07T00:00:00-06:00,2021.15625 kWh
2017-07-08T00:00:00-06:00,1701.0625 kWh
2017-07-09T00:00:00-06:00,1594.21875 kWh
2017-07-10T00:00:00-06:00,2123.84375 kWh
2017-07-11T00:00:00-06:00,2161.8125 kWh
2017-07-12T00:00:00-06:00,2161.4375 kWh
2017-07-13T00:00:00-06:00,2157.28125 kWh
2017-07-14T00:00:00-06:00,2162.25 kWh
2017-07-15T00:00:00-06:00,1792.65625 kWh
2017-07-16T00:00:00-06:00,1608.125 kWh
2017-07-17T00:00:00-06:00,2103.3125 kWh
2017-07-18T00:00:00-06:00,2191.84375 kWh
2017-07-19T00:00:00-06:00,2201.75 kWh
2017-07-20T00:00:00-06:00,2215.65625 kWh
2017-07-21T00:00:00-06:00,2189.6875 kWh
2017-07-22T00:00:00-06:00,1596.15625 kWh
2017-07-23T00:00:00-06:00,1536.625 kWh
2017-07-24T00:00:00-06:00,1549.9375 kWh
2017-07-25T00:00:00-06:00,2110.34375 kWh
2017-07-26T00:00:00-06:00,2213.5 kWh
2017-07-27T00:00:00-06:00,2290.875 kWh
2017-07-28T00:00:00-06:00,2261.5 kWh
2017-07-29T00:00:00-06:00,2011.40625 kWh
2017-07-30T00:00:00-06:00,1579.40625 kWh
