Timestamp,"['1edb212c-f4ed225c 0053-OLPIN UNION Power Meter (53-1) W-hours, Received']"
2017-05-04T00:00:00-06:00,1082 kWh
2017-05-05T00:00:00-06:00,1796.0625 kWh
2017-05-06T00:00:00-06:00,1043.8125 kWh
2017-05-07T00:00:00-06:00,917.375 kWh
2017-05-08T00:00:00-06:00,1586.6875 kWh
2017-05-09T00:00:00-06:00,1652.625 kWh
2017-05-10T00:00:00-06:00,1110.6875 kWh
2017-05-11T00:00:00-06:00,1592.6875 kWh
2017-05-12T00:00:00-06:00,1019.5625 kWh
2017-05-13T00:00:00-06:00,877.75 kWh
2017-05-14T00:00:00-06:00,833.25 kWh
2017-05-15T00:00:00-06:00,956.4375 kWh
2017-05-16T00:00:00-06:00,983.25 kWh
2017-05-17T00:00:00-06:00,1047.9375 kWh
2017-05-18T00:00:00-06:00,1037.6875 kWh
2017-05-19T00:00:00-06:00,1033.25 kWh
2017-05-20T00:00:00-06:00,927.0625 kWh
2017-05-21T00:00:00-06:00,855.6875 kWh
2017-05-22T00:00:00-06:00,1007.8125 kWh
2017-05-23T00:00:00-06:00,1510.875 kWh
2017-05-24T00:00:00-06:00,1721.8125 kWh
2017-05-25T00:00:00-06:00,1678.75 kWh
2017-05-26T00:00:00-06:00,1046.9375 kWh
2017-05-27T00:00:00-06:00,879.5625 kWh
2017-05-28T00:00:00-06:00,897.0625 kWh
2017-05-29T00:00:00-06:00,929 kWh
2017-05-30T00:00:00-06:00,1791.9375 kWh
2017-05-31T00:00:00-06:00,1808.9375 kWh
2017-06-01T00:00:00-06:00,1790.5 kWh
2017-06-02T00:00:00-06:00,1766.125 kWh
2017-06-03T00:00:00-06:00,1656.3125 kWh
2017-06-04T00:00:00-06:00,1625.0625 kWh
2017-06-05T00:00:00-06:00,1757.75 kWh
2017-06-06T00:00:00-06:00,1822.0625 kWh
2017-06-07T00:00:00-06:00,1864.5 kWh
2017-06-08T00:00:00-06:00,1870.875 kWh
2017-06-09T00:00:00-06:00,1801.9375 kWh
2017-06-10T00:00:00-06:00,1640.8125 kWh
2017-06-11T00:00:00-06:00,1613.25 kWh
2017-06-12T00:00:00-06:00,1296.75 kWh
2017-06-13T00:00:00-06:00,1065.8125 kWh
2017-06-14T00:00:00-06:00,1556.6875 kWh
2017-06-15T00:00:00-06:00,1782.875 kWh
2017-06-16T00:00:00-06:00,1811.875 kWh
2017-06-17T00:00:00-06:00,1663.8125 kWh
2017-06-18T00:00:00-06:00,1551.875 kWh
2017-06-19T00:00:00-06:00,1720.625 kWh
2017-06-20T00:00:00-06:00,1878.9375 kWh
2017-06-21T00:00:00-06:00,1879.9375 kWh
2017-06-22T00:00:00-06:00,1846.5 kWh
2017-06-23T00:00:00-06:00,1813.8125 kWh
2017-06-24T00:00:00-06:00,1688.6875 kWh
2017-06-25T00:00:00-06:00,1595.75 kWh
2017-06-26T00:00:00-06:00,1830.625 kWh
2017-06-27T00:00:00-06:00,1860.0625 kWh
2017-06-28T00:00:00-06:00,1847.5 kWh
2017-06-29T00:00:00-06:00,1799.5 kWh
2017-06-30T00:00:00-06:00,1783.25 kWh
2017-07-01T00:00:00-06:00,1651.0625 kWh
2017-07-02T00:00:00-06:00,1620.125 kWh
2017-07-03T00:00:00-06:00,1838.8125 kWh
2017-07-04T00:00:00-06:00,1706.125 kWh
2017-07-05T00:00:00-06:00,1922.4375 kWh
2017-07-06T00:00:00-06:00,1940.25 kWh
2017-07-07T00:00:00-06:00,1970.1875 kWh
2017-07-08T00:00:00-06:00,1831.9375 kWh
2017-07-09T00:00:00-06:00,1742.4375 kWh
2017-07-10T00:00:00-06:00,1942.3125 kWh
2017-07-11T00:00:00-06:00,1937.875 kWh
2017-07-12T00:00:00-06:00,1915.5 kWh
2017-07-13T00:00:00-06:00,1945.75 kWh
2017-07-14T00:00:00-06:00,1916.5625 kWh
2017-07-15T00:00:00-06:00,1818.875 kWh
2017-07-16T00:00:00-06:00,1730.125 kWh
2017-07-17T00:00:00-06:00,1943.4375 kWh
2017-07-18T00:00:00-06:00,1961 kWh
2017-07-19T00:00:00-06:00,1977.0625 kWh
2017-07-20T00:00:00-06:00,1919.375 kWh
2017-07-21T00:00:00-06:00,1939.875 kWh
2017-07-22T00:00:00-06:00,1723.75 kWh
2017-07-23T00:00:00-06:00,1681.4800109863281 kWh
2017-07-24T00:00:00-06:00,1714.8799743652344 kWh
2017-07-25T00:00:00-06:00,1905.1900634765625 kWh
2017-07-26T00:00:00-06:00,1906.119873046875 kWh
2017-07-27T00:00:00-06:00,1871.669921875 kWh
2017-07-28T00:00:00-06:00,1889.7900390625 kWh
2017-07-29T00:00:00-06:00,1814.2802734375 kWh
2017-07-30T00:00:00-06:00,1730.2998046875 kWh
2017-07-31T00:00:00-06:00,1921.240234375 kWh
2017-08-01T00:00:00-06:00,1941.4404296875 kWh
2017-08-02T00:00:00-06:00,1918.638671875 kWh
2017-08-03T00:00:00-06:00,1939.701171875 kWh
2017-08-04T00:00:00-06:00,1928.279296875 kWh
2017-08-05T00:00:00-06:00,1760.880859375 kWh
2017-08-06T00:00:00-06:00,1695.75 kWh
2017-08-07T00:00:00-06:00,1775.478515625 kWh
2017-08-08T00:00:00-06:00,1774.271484375 kWh
2017-08-09T00:00:00-06:00,1785.939453125 kWh
2017-08-10T00:00:00-06:00,1827.521484375 kWh
2017-08-11T00:00:00-06:00,1791.70703125 kWh
2017-08-12T00:00:00-06:00,1702.98046875 kWh
2017-08-13T00:00:00-06:00,1654.51953125 kWh
2017-08-14T00:00:00-06:00,1790.25 kWh
2017-08-15T00:00:00-06:00,1768.90234375 kWh
2017-08-16T00:00:00-06:00,1724.48046875 kWh
2017-08-17T00:00:00-06:00,1815.66015625 kWh
2017-08-18T00:00:00-06:00,1854.0703125 kWh
2017-08-19T00:00:00-06:00,1709.63671875 kWh
2017-08-20T00:00:00-06:00,1677.41015625 kWh
2017-08-21T00:00:00-06:00,1858.953125 kWh
2017-08-22T00:00:00-06:00,1832.27734375 kWh
2017-08-23T00:00:00-06:00,1859.12109375 kWh
2017-08-24T00:00:00-06:00,1787.0078125 kWh
2017-08-25T00:00:00-06:00,1895.26171875 kWh
2017-08-26T00:00:00-06:00,1811.75 kWh
2017-08-27T00:00:00-06:00,1734.48828125 kWh
2017-08-28T00:00:00-06:00,1941.71875 kWh
2017-08-29T00:00:00-06:00,1923.515625 kWh
2017-08-30T00:00:00-06:00,1978.7109375 kWh
2017-08-31T00:00:00-06:00,1694.9453125 kWh
2017-09-01T00:00:00-06:00,1332.0625 kWh
2017-09-02T00:00:00-06:00,1014.296875 kWh
2017-09-03T00:00:00-06:00,1025.9296875 kWh
2017-09-04T00:00:00-06:00,1068.3046875 kWh
2017-09-05T00:00:00-06:00,1520.1171875 kWh
2017-09-06T00:00:00-06:00,1435.6171875 kWh
2017-09-07T00:00:00-06:00,1322.5234375 kWh
2017-09-08T00:00:00-06:00,1299.3203125 kWh
2017-09-09T00:00:00-06:00,1072.0859375 kWh
2017-09-10T00:00:00-06:00,978.421875 kWh
2017-09-11T00:00:00-06:00,1426.875 kWh
2017-09-12T00:00:00-06:00,1466.9453125 kWh
2017-09-13T00:00:00-06:00,1723.234375 kWh
2017-09-14T00:00:00-06:00,1232.9453125 kWh
2017-09-15T00:00:00-06:00,1124.625 kWh
2017-09-16T00:00:00-06:00,959.3828125 kWh
2017-09-17T00:00:00-06:00,901.65625 kWh
2017-09-18T00:00:00-06:00,1085.6640625 kWh
2017-09-19T00:00:00-06:00,1073.3828125 kWh
2017-09-20T00:00:00-06:00,1094.984375 kWh
2017-09-21T00:00:00-06:00,1087.046875 kWh
2017-09-22T00:00:00-06:00,1056.1328125 kWh
2017-09-23T00:00:00-06:00,936.015625 kWh
2017-09-24T00:00:00-06:00,912.34375 kWh
2017-09-25T00:00:00-06:00,1060.96875 kWh
2017-09-26T00:00:00-06:00,1110.9921875 kWh
2017-09-27T00:00:00-06:00,1093.1953125 kWh
2017-09-28T00:00:00-06:00,1076.171875 kWh
2017-09-29T00:00:00-06:00,1085.859375 kWh
2017-09-30T00:00:00-06:00,952.1484375 kWh
2017-10-01T00:00:00-06:00,903.9609375 kWh
2017-10-02T00:00:00-06:00,1090.609375 kWh
2017-10-03T00:00:00-06:00,1131.484375 kWh
2017-10-04T00:00:00-06:00,1161.6171875 kWh
2017-10-05T00:00:00-06:00,1135.4375 kWh
2017-10-06T00:00:00-06:00,1097.46875 kWh
2017-10-07T00:00:00-06:00,1044.359375 kWh
2017-10-08T00:00:00-06:00,894.046875 kWh
2017-10-09T00:00:00-06:00,1021.21875 kWh
2017-10-10T00:00:00-06:00,1023.6171875 kWh
2017-10-11T00:00:00-06:00,1019.703125 kWh
2017-10-12T00:00:00-06:00,1020.8671875 kWh
2017-10-13T00:00:00-06:00,1040.421875 kWh
2017-10-14T00:00:00-06:00,956.5390625 kWh
2017-10-15T00:00:00-06:00,886.3359375 kWh
2017-10-16T00:00:00-06:00,1082.8359375 kWh
2017-10-17T00:00:00-06:00,1088.609375 kWh
2017-10-18T00:00:00-06:00,1109.296875 kWh
2017-10-19T00:00:00-06:00,1108.828125 kWh
2017-10-20T00:00:00-06:00,1104.296875 kWh
2017-10-21T00:00:00-06:00,1000.546875 kWh
2017-10-22T00:00:00-06:00,957.5703125 kWh
2017-10-23T00:00:00-06:00,1101.4921875 kWh
2017-10-24T00:00:00-06:00,1093.390625 kWh
2017-10-25T00:00:00-06:00,1105.0703125 kWh
2017-10-26T00:00:00-06:00,1118.953125 kWh
2017-10-27T00:00:00-06:00,1139.328125 kWh
2017-10-28T00:00:00-06:00,996.171875 kWh
2017-10-29T00:00:00-06:00,895.265625 kWh
2017-10-30T00:00:00-06:00,1073.03125 kWh
2017-10-31T00:00:00-06:00,1067.140625 kWh
2017-11-01T00:00:00-06:00,1089.125 kWh
2017-11-02T00:00:00-06:00,1051.1875 kWh
2017-11-03T00:00:00-06:00,1061.046875 kWh
2017-11-04T00:00:00-06:00,963.0625 kWh
2017-11-05T00:00:00-06:00,969.9375 kWh
2017-11-06T00:00:00-07:00,1081.78125 kWh
2017-11-07T00:00:00-07:00,1081.515625 kWh
2017-11-08T00:00:00-07:00,1076.09375 kWh
2017-11-09T00:00:00-07:00,1072.296875 kWh
2017-11-10T00:00:00-07:00,1093.96875 kWh
2017-11-11T00:00:00-07:00,981.71875 kWh
2017-11-12T00:00:00-07:00,889.96875 kWh
2017-11-13T00:00:00-07:00,1077.640625 kWh
2017-11-14T00:00:00-07:00,1088.125 kWh
2017-11-15T00:00:00-07:00,1098.8125 kWh
2017-11-16T00:00:00-07:00,1067.671875 kWh
2017-11-17T00:00:00-07:00,1088.265625 kWh
2017-11-18T00:00:00-07:00,967.8125 kWh
2017-11-19T00:00:00-07:00,909.90625 kWh
2017-11-20T00:00:00-07:00,1075.734375 kWh
2017-11-21T00:00:00-07:00,1097.71875 kWh
2017-11-22T00:00:00-07:00,1094.421875 kWh
2017-11-23T00:00:00-07:00,841.140625 kWh
2017-11-24T00:00:00-07:00,890.25 kWh
2017-11-25T00:00:00-07:00,874.46875 kWh
2017-11-26T00:00:00-07:00,841.75 kWh
2017-11-27T00:00:00-07:00,1056.5 kWh
2017-11-28T00:00:00-07:00,1082.953125 kWh
2017-11-29T00:00:00-07:00,1092.09375 kWh
2017-11-30T00:00:00-07:00,1060.25 kWh
2017-12-01T00:00:00-07:00,1050.296875 kWh
2017-12-02T00:00:00-07:00,952.515625 kWh
2017-12-03T00:00:00-07:00,911.671875 kWh
2017-12-04T00:00:00-07:00,1066.265625 kWh
2017-12-05T00:00:00-07:00,1075.453125 kWh
2017-12-06T00:00:00-07:00,1086.421875 kWh
2017-12-07T00:00:00-07:00,1075.40625 kWh
2017-12-08T00:00:00-07:00,1084.703125 kWh
2017-12-09T00:00:00-07:00,978.75 kWh
2017-12-10T00:00:00-07:00,931.125 kWh
2017-12-11T00:00:00-07:00,1058.5625 kWh
2017-12-12T00:00:00-07:00,1058.8125 kWh
2017-12-13T00:00:00-07:00,1058.015625 kWh
2017-12-14T00:00:00-07:00,1082.84375 kWh
2017-12-15T00:00:00-07:00,1020 kWh
2017-12-16T00:00:00-07:00,949.015625 kWh
2017-12-17T00:00:00-07:00,853.828125 kWh
2017-12-18T00:00:00-07:00,1021.28125 kWh
2017-12-19T00:00:00-07:00,1051.703125 kWh
2017-12-20T00:00:00-07:00,1046.546875 kWh
2017-12-21T00:00:00-07:00,989.171875 kWh
