Timestamp,['203a2650-caf523f9 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Volts A-N']
2017-06-13T00:00:00-06:00,122.45082171758015 V
2017-06-14T00:00:00-06:00,122.23422614733379 V
2017-06-15T00:00:00-06:00,122.15172052383423 V
2017-06-16T00:00:00-06:00,121.99583840370178 V
2017-06-17T00:00:00-06:00,122.21124696731567 V
2017-06-18T00:00:00-06:00,122.37003914515178 V
2017-06-19T00:00:00-06:00,122.12425708770752 V
2017-06-20T00:00:00-06:00,121.980566183726 V
2017-06-21T00:00:00-06:00,121.947039047877 V
2017-06-22T00:00:00-06:00,122.15862250328064 V
2017-06-23T00:00:00-06:00,122.18793002764384 V
2017-06-24T00:00:00-06:00,122.25845718383789 V
2017-06-25T00:00:00-06:00,122.31687394777934 V
2017-06-26T00:00:00-06:00,121.96918249130249 V
2017-06-27T00:00:00-06:00,122.1189288298289 V
2017-06-28T00:00:00-06:00,122.08904933929443 V
2017-06-29T00:00:00-06:00,122.14364624023438 V
2017-06-30T00:00:00-06:00,122.08988420168559 V
2017-07-01T00:00:00-06:00,122.1167934735616 V
2017-07-02T00:00:00-06:00,122.19974565505981 V
2017-07-03T00:00:00-06:00,121.88528561592102 V
2017-07-04T00:00:00-06:00,122.20044255256653 V
2017-07-05T00:00:00-06:00,122.02560226122539 V
2017-07-06T00:00:00-06:00,122.04008865356445 V
2017-07-07T00:00:00-06:00,122.01442790031433 V
2017-07-08T00:00:00-06:00,122.09127163887024 V
2017-07-09T00:00:00-06:00,122.16852641105652 V
2017-07-10T00:00:00-06:00,122.04636867841084 V
2017-07-11T00:00:00-06:00,122.08704495429993 V
2017-07-12T00:00:00-06:00,122.0894083182017 V
2017-07-13T00:00:00-06:00,122.16268396377563 V
2017-07-14T00:00:00-06:00,122.06047797203064 V
2017-07-15T00:00:00-06:00,122.20911741256714 V
2017-07-16T00:00:00-06:00,122.2305789788564 V
2017-07-17T00:00:00-06:00,122.05236419041951 V
2017-07-18T00:00:00-06:00,122.01116061210632 V
2017-07-19T00:00:00-06:00,122.16000040372212 V
