Timestamp,['1d0a19bd-4a3488f7 0084-BIOLOGY BLDG Power Meter 316500 KW Total']
2017-06-02T00:00:00-06:00,147.08311462402344 kW
2017-06-03T00:00:00-06:00,140.98365783691406 kW
2017-06-07T00:00:00-06:00,179.649169921875 kW
2017-06-08T00:00:00-06:00,178.74293518066406 kW
2017-06-09T00:00:00-06:00,176.91925048828125 kW
2017-06-10T00:00:00-06:00,159.51866149902344 kW
2017-06-11T00:00:00-06:00,153.83721923828125 kW
2017-06-12T00:00:00-06:00,179.42697143554688 kW
2017-06-13T00:00:00-06:00,179.82057189941406 kW
2017-06-14T00:00:00-06:00,167.98471069335938 kW
2017-06-15T00:00:00-06:00,180.05711364746094 kW
2017-06-16T00:00:00-06:00,176.05010986328125 kW
2017-06-17T00:00:00-06:00,207.64077758789062 kW
2017-06-18T00:00:00-06:00,159.96780395507812 kW
2017-06-19T00:00:00-06:00,208.00746154785156 kW
2017-06-20T00:00:00-06:00,174.97874450683594 kW
2017-06-21T00:00:00-06:00,182.1434783935547 kW
2017-06-22T00:00:00-06:00,179.00253295898438 kW
2017-06-23T00:00:00-06:00,182.16876220703125 kW
2017-06-24T00:00:00-06:00,159.31964111328125 kW
2017-06-25T00:00:00-06:00,153.4763641357422 kW
2017-06-26T00:00:00-06:00,198.81961059570312 kW
2017-06-27T00:00:00-06:00,189.8077392578125 kW
2017-06-28T00:00:00-06:00,191.6527862548828 kW
2017-06-29T00:00:00-06:00,188.580078125 kW
2017-06-30T00:00:00-06:00,185.73709106445312 kW
2017-07-01T00:00:00-06:00,169.71429443359375 kW
2017-07-02T00:00:00-06:00,180.12022399902344 kW
2017-07-03T00:00:00-06:00,185.64712524414062 kW
2017-07-04T00:00:00-06:00,167.4973602294922 kW
2017-07-05T00:00:00-06:00,182.03530883789062 kW
2017-07-06T00:00:00-06:00,187.30484008789062 kW
2017-07-07T00:00:00-06:00,194.0349578857422 kW
2017-07-08T00:00:00-06:00,164.54696655273438 kW
2017-07-09T00:00:00-06:00,169.34718322753906 kW
2017-07-10T00:00:00-06:00,192.0469970703125 kW
2017-07-11T00:00:00-06:00,188.57713317871094 kW
2017-07-12T00:00:00-06:00,186.8286895751953 kW
2017-07-13T00:00:00-06:00,187.47787475585938 kW
2017-07-14T00:00:00-06:00,189.19259643554688 kW
2017-07-15T00:00:00-06:00,164.00257873535156 kW
2017-07-16T00:00:00-06:00,162.73040771484375 kW
2017-07-17T00:00:00-06:00,182.38278198242188 kW
2017-07-18T00:00:00-06:00,184.8739471435547 kW
2017-07-19T00:00:00-06:00,212.78179931640625 kW
2017-07-20T00:00:00-06:00,183.49343872070312 kW
2017-07-21T00:00:00-06:00,171.1119842529297 kW
2017-07-22T00:00:00-06:00,164.22848510742188 kW
2017-07-23T00:00:00-06:00,154.56634521484375 kW
2017-07-24T00:00:00-06:00,169.51712036132812 kW
2017-07-25T00:00:00-06:00,180.60081481933594 kW
2017-07-26T00:00:00-06:00,221.4585723876953 kW
2017-07-27T00:00:00-06:00,184.9287872314453 kW
2017-07-28T00:00:00-06:00,186.5197296142578 kW
2017-07-29T00:00:00-06:00,209.83644104003906 kW
2017-07-30T00:00:00-06:00,159.9724884033203 kW
2017-07-31T00:00:00-06:00,183.5347137451172 kW
2017-08-01T00:00:00-06:00,185.39889526367188 kW
2017-08-02T00:00:00-06:00,180.28546142578125 kW
2017-08-03T00:00:00-06:00,196.7930450439453 kW
2017-08-04T00:00:00-06:00,182.69557189941406 kW
2017-08-05T00:00:00-06:00,167.03646850585938 kW
2017-08-06T00:00:00-06:00,165.3462677001953 kW
2017-08-07T00:00:00-06:00,184.08116149902344 kW
2017-08-08T00:00:00-06:00,185.4553680419922 kW
2017-08-09T00:00:00-06:00,174.93173217773438 kW
2017-08-10T00:00:00-06:00,181.3656005859375 kW
2017-08-11T00:00:00-06:00,183.9868927001953 kW
2017-08-12T00:00:00-06:00,165.95635986328125 kW
2017-08-13T00:00:00-06:00,164.16358947753906 kW
2017-08-14T00:00:00-06:00,178.57977294921875 kW
2017-08-15T00:00:00-06:00,193.4225616455078 kW
2017-08-16T00:00:00-06:00,191.5011749267578 kW
2017-08-17T00:00:00-06:00,190.538330078125 kW
2017-08-18T00:00:00-06:00,178.01260375976562 kW
2017-08-19T00:00:00-06:00,165.0336151123047 kW
2017-08-20T00:00:00-06:00,162.8791961669922 kW
2017-08-21T00:00:00-06:00,177.37692260742188 kW
2017-08-22T00:00:00-06:00,185.02777099609375 kW
2017-08-23T00:00:00-06:00,184.4670867919922 kW
2017-08-24T00:00:00-06:00,189.42141723632812 kW
2017-08-25T00:00:00-06:00,174.51483154296875 kW
2017-08-26T00:00:00-06:00,164.98414611816406 kW
2017-08-27T00:00:00-06:00,156.91647338867188 kW
2017-08-28T00:00:00-06:00,181.97039794921875 kW
2017-08-29T00:00:00-06:00,211.66990661621094 kW
2017-08-30T00:00:00-06:00,225.28334045410156 kW
2017-08-31T00:00:00-06:00,176.34176635742188 kW
2017-09-01T00:00:00-06:00,176.9010467529297 kW
2017-09-02T00:00:00-06:00,161.26693725585938 kW
2017-09-03T00:00:00-06:00,170.97427368164062 kW
2017-09-04T00:00:00-06:00,163.62811279296875 kW
2017-09-05T00:00:00-06:00,179.1028289794922 kW
2017-09-06T00:00:00-06:00,175.4774932861328 kW
2017-09-07T00:00:00-06:00,172.47120666503906 kW
2017-09-08T00:00:00-06:00,174.8819580078125 kW
2017-09-09T00:00:00-06:00,158.26620483398438 kW
2017-09-10T00:00:00-06:00,155.31655883789062 kW
2017-09-11T00:00:00-06:00,178.64930725097656 kW
2017-09-12T00:00:00-06:00,173.66831970214844 kW
2017-09-13T00:00:00-06:00,183.79034423828125 kW
2017-09-14T00:00:00-06:00,187.44102478027344 kW
2017-09-15T00:00:00-06:00,204.1989288330078 kW
2017-09-16T00:00:00-06:00,152.82359313964844 kW
2017-09-17T00:00:00-06:00,153.5401611328125 kW
2017-09-18T00:00:00-06:00,166.71763610839844 kW
2017-09-19T00:00:00-06:00,183.13616943359375 kW
2017-09-20T00:00:00-06:00,171.64181518554688 kW
2017-09-21T00:00:00-06:00,176.78048706054688 kW
2017-09-22T00:00:00-06:00,166.07496643066406 kW
2017-09-23T00:00:00-06:00,147.0623779296875 kW
2017-09-24T00:00:00-06:00,143.2759246826172 kW
2017-09-25T00:00:00-06:00,169.5380401611328 kW
2017-09-26T00:00:00-06:00,180.02813720703125 kW
2017-09-27T00:00:00-06:00,192.644287109375 kW
2017-09-28T00:00:00-06:00,171.1749725341797 kW
2017-09-29T00:00:00-06:00,172.03636169433594 kW
2017-09-30T00:00:00-06:00,156.6370849609375 kW
2017-10-01T00:00:00-06:00,149.56439208984375 kW
2017-10-02T00:00:00-06:00,164.83023071289062 kW
2017-10-03T00:00:00-06:00,177.148681640625 kW
2017-10-04T00:00:00-06:00,179.8177490234375 kW
2017-10-05T00:00:00-06:00,185.0601806640625 kW
2017-10-06T00:00:00-06:00,167.40756225585938 kW
2017-10-07T00:00:00-06:00,155.46690368652344 kW
2017-10-08T00:00:00-06:00,151.47903442382812 kW
2017-10-09T00:00:00-06:00,164.668212890625 kW
2017-10-10T00:00:00-06:00,168.41416931152344 kW
2017-10-11T00:00:00-06:00,178.36471557617188 kW
2017-10-12T00:00:00-06:00,212.9097900390625 kW
2017-10-13T00:00:00-06:00,172.88079833984375 kW
2017-10-14T00:00:00-06:00,147.18141174316406 kW
2017-10-15T00:00:00-06:00,143.94175720214844 kW
2017-10-16T00:00:00-06:00,164.5133819580078 kW
2017-10-17T00:00:00-06:00,179.41571044921875 kW
2017-10-18T00:00:00-06:00,193.94166564941406 kW
2017-10-19T00:00:00-06:00,173.82557678222656 kW
2017-10-20T00:00:00-06:00,174.20751953125 kW
2017-10-21T00:00:00-06:00,147.8765869140625 kW
2017-10-22T00:00:00-06:00,157.42556762695312 kW
2017-10-23T00:00:00-06:00,177.93995666503906 kW
2017-10-24T00:00:00-06:00,182.44888305664062 kW
2017-10-25T00:00:00-06:00,182.10516357421875 kW
2017-10-26T00:00:00-06:00,177.49342346191406 kW
