Timestamp,['1da98322-927bf059 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current C']
2017-04-30T00:00:00-06:00,122.87327313423157 A
2017-05-01T00:00:00-06:00,123.25292054812114 A
2017-05-02T00:00:00-06:00,123.62489636739095 A
2017-05-03T00:00:00-06:00,124.71054728825887 A
2017-05-04T00:00:00-06:00,125.85861784282484 A
2017-05-05T00:00:00-06:00,128.3861450354258 A
2017-05-06T00:00:00-06:00,130.86555989583334 A
2017-05-07T00:00:00-06:00,127.753408908844 A
2017-05-08T00:00:00-06:00,126.90496063232422 A
2017-05-09T00:00:00-06:00,126.66381105121813 A
2017-05-10T00:00:00-06:00,126.6922238667806 A
2017-05-11T00:00:00-06:00,129.31304017702737 A
2017-05-12T00:00:00-06:00,128.65124702453613 A
2017-05-13T00:00:00-06:00,128.36867849032083 A
2017-05-14T00:00:00-06:00,123.59808890024821 A
2017-05-15T00:00:00-06:00,125.70320097605388 A
2017-05-16T00:00:00-06:00,125.41172838712994 A
2017-05-17T00:00:00-06:00,123.8203223546346 A
2017-05-18T00:00:00-06:00,122.25397411982219 A
2017-05-19T00:00:00-06:00,122.56450152397156 A
2017-05-20T00:00:00-06:00,126.62376141548157 A
2017-05-21T00:00:00-06:00,123.98518713315327 A
2017-05-22T00:00:00-06:00,126.12083976499495 A
2017-05-23T00:00:00-06:00,127.7589750289917 A
2017-05-24T00:00:00-06:00,129.0933264096578 A
2017-05-25T00:00:00-06:00,127.32815448443095 A
2017-05-26T00:00:00-06:00,126.92631268501282 A
2017-05-27T00:00:00-06:00,127.99162427584331 A
2017-05-28T00:00:00-06:00,126.99627629915874 A
2017-05-29T00:00:00-06:00,128.05259474118552 A
2017-05-30T00:00:00-06:00,130.41092729568481 A
2017-05-31T00:00:00-06:00,130.3481500943502 A
2017-06-01T00:00:00-06:00,127.33841013908386 A
2017-06-02T00:00:00-06:00,126.49051955373663 A
2017-06-03T00:00:00-06:00,129.8370726108551 A
2017-06-04T00:00:00-06:00,129.54270442326865 A
2017-06-05T00:00:00-06:00,128.76243487993875 A
2017-06-06T00:00:00-06:00,129.4726389249166 A
2017-06-07T00:00:00-06:00,131.194357474645 A
2017-06-08T00:00:00-06:00,132.02338989575705 A
2017-06-09T00:00:00-06:00,129.0806529521942 A
2017-06-10T00:00:00-06:00,128.47724183400473 A
2017-06-11T00:00:00-06:00,128.42973812421164 A
2017-06-12T00:00:00-06:00,133.9296301205953 A
2017-06-13T00:00:00-06:00,158.19338099161783 A
2017-06-14T00:00:00-06:00,186.93193046251932 A
2017-06-15T00:00:00-06:00,182.92456817626953 A
2017-06-16T00:00:00-06:00,195.47782929738364 A
2017-06-17T00:00:00-06:00,199.29445362091064 A
2017-06-18T00:00:00-06:00,251.16195185979208 A
2017-06-19T00:00:00-06:00,166.46802552541098 A
2017-06-20T00:00:00-06:00,173.53609840075174 A
2017-06-21T00:00:00-06:00,185.54278548558554 A
2017-06-22T00:00:00-06:00,201.54478319485983 A
