Timestamp,['1cdbb5eb-842c4b19 0087-THATCHER BLDG Power Meter (301205) Current A']
2017-10-08T00:00:00-06:00,331.2801882425944 A
2017-10-09T00:00:00-06:00,340.58400535583496 A
2017-10-10T00:00:00-06:00,341.88288911183673 A
2017-10-11T00:00:00-06:00,323.4999834543251 A
2017-10-12T00:00:00-06:00,308.726510440602 A
2017-10-13T00:00:00-06:00,315.7069406609786 A
2017-10-14T00:00:00-06:00,271.4876537322998 A
2017-10-15T00:00:00-06:00,268.0768400828044 A
2017-10-16T00:00:00-06:00,280.8561741511027 A
2017-10-17T00:00:00-06:00,296.1327927907308 A
2017-10-18T00:00:00-06:00,334.34730434417725 A
2017-10-19T00:00:00-06:00,343.3213701248169 A
2017-10-20T00:00:00-06:00,341.613520304362 A
2017-10-21T00:00:00-06:00,333.5417477289836 A
2017-10-22T00:00:00-06:00,332.88099575042725 A
2017-10-23T00:00:00-06:00,347.3305212656657 A
2017-10-24T00:00:00-06:00,340.4641688664754 A
2017-10-25T00:00:00-06:00,340.8578357696533 A
2017-10-26T00:00:00-06:00,340.2071450551351 A
2017-10-27T00:00:00-06:00,336.5216407775879 A
2017-10-28T00:00:00-06:00,325.9247538248698 A
2017-10-29T00:00:00-06:00,323.1268351872762 A
2017-10-30T00:00:00-06:00,335.58511956532794 A
2017-10-31T00:00:00-06:00,335.00596714019775 A
2017-11-01T00:00:00-06:00,340.7339868545532 A
2017-11-02T00:00:00-06:00,339.8631703058879 A
2017-11-03T00:00:00-06:00,334.3327263365401 A
2017-11-04T00:00:00-06:00,327.70150853207235 A
2017-11-05T00:00:00-06:00,328.484416809082 A
2017-11-06T00:00:00-07:00,337.2673848470052 A
2017-11-07T00:00:00-07:00,337.54669698079425 A
2017-11-08T00:00:00-07:00,337.9680367327751 A
2017-11-09T00:00:00-07:00,338.68835194905597 A
2017-11-10T00:00:00-07:00,343.5184694925944 A
2017-11-11T00:00:00-07:00,338.10975011189777 A
2017-11-12T00:00:00-07:00,334.2673905222039 A
2017-11-13T00:00:00-07:00,345.8352343241374 A
2017-11-14T00:00:00-07:00,345.78351402282715 A
2017-11-15T00:00:00-07:00,340.88257122039795 A
2017-11-16T00:00:00-07:00,346.290683110555 A
2017-11-17T00:00:00-07:00,347.09317938486737 A
2017-11-18T00:00:00-07:00,334.6102056503296 A
2017-11-19T00:00:00-07:00,327.1434799830119 A
2017-11-20T00:00:00-07:00,333.5749050776164 A
2017-11-21T00:00:00-07:00,338.55641714731854 A
2017-11-22T00:00:00-07:00,337.9639952977498 A
2017-11-23T00:00:00-07:00,337.2172632217407 A
2017-11-24T00:00:00-07:00,339.5923220316569 A
2017-11-25T00:00:00-07:00,336.1481736501058 A
2017-11-26T00:00:00-07:00,338.2380854288737 A
2017-11-27T00:00:00-07:00,344.92141310373944 A
2017-11-28T00:00:00-07:00,348.3254159291585 A
2017-11-29T00:00:00-07:00,347.0902573267619 A
2017-11-30T00:00:00-07:00,348.03722953796387 A
2017-12-01T00:00:00-07:00,346.21479479471844 A
2017-12-02T00:00:00-07:00,335.87906583150226 A
2017-12-03T00:00:00-07:00,336.4463809331258 A
2017-12-04T00:00:00-07:00,349.8077100118001 A
2017-12-05T00:00:00-07:00,352.200143178304 A
2017-12-06T00:00:00-07:00,346.83927726745605 A
2017-12-07T00:00:00-07:00,349.6494420369466 A
2017-12-08T00:00:00-07:00,346.45903364817303 A
2017-12-09T00:00:00-07:00,339.94661076863605 A
2017-12-10T00:00:00-07:00,338.47557163238525 A
2017-12-11T00:00:00-07:00,349.9797299702962 A
2017-12-12T00:00:00-07:00,351.60016536712646 A
2017-12-13T00:00:00-07:00,349.62199274698895 A
2017-12-14T00:00:00-07:00,348.4457953202097 A
2017-12-15T00:00:00-07:00,344.8797438939412 A
2017-12-16T00:00:00-07:00,337.94437567392987 A
2017-12-17T00:00:00-07:00,339.97767480214435 A
2017-12-18T00:00:00-07:00,349.07413055084567 A
2017-12-19T00:00:00-07:00,346.6663932800293 A
2017-12-20T00:00:00-07:00,345.3853871027629 A
2017-12-21T00:00:00-07:00,347.67964935302734 A
2017-12-22T00:00:00-07:00,345.3360290527344 A
2017-12-23T00:00:00-07:00,336.14301013946533 A
2017-12-24T00:00:00-07:00,337.4145746231079 A
2017-12-25T00:00:00-07:00,338.6946013768514 A
2017-12-26T00:00:00-07:00,341.5669018427531 A
2017-12-27T00:00:00-07:00,341.7294095357259 A
2017-12-28T00:00:00-07:00,341.65924008687335 A
2017-12-29T00:00:00-07:00,340.3724250793457 A
2017-12-30T00:00:00-07:00,338.3389186859131 A
2017-12-31T00:00:00-07:00,335.08908526102704 A
