Timestamp,['1ef4684e-3b513c82 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current B']
2017-04-30T00:00:00-06:00,41.84819515546163 A
2017-05-01T00:00:00-06:00,50.56308400630951 A
2017-05-02T00:00:00-06:00,50.27782414356867 A
2017-05-03T00:00:00-06:00,44.648831725120544 A
2017-05-04T00:00:00-06:00,43.915614207585655 A
2017-05-05T00:00:00-06:00,43.23284969727198 A
2017-05-06T00:00:00-06:00,37.275804390509926 A
2017-05-07T00:00:00-06:00,36.146831065416336 A
2017-05-08T00:00:00-06:00,43.70922346909841 A
2017-05-09T00:00:00-06:00,43.952374358971916 A
2017-05-10T00:00:00-06:00,45.89968401193619 A
2017-05-11T00:00:00-06:00,43.47496259212494 A
2017-05-12T00:00:00-06:00,41.835245291392006 A
2017-05-13T00:00:00-06:00,37.779629876216255 A
2017-05-14T00:00:00-06:00,39.44046226143837 A
2017-05-15T00:00:00-06:00,43.28244729836782 A
2017-05-16T00:00:00-06:00,47.91946595907211 A
2017-05-17T00:00:00-06:00,50.88330248991648 A
2017-05-18T00:00:00-06:00,51.374845107396446 A
2017-05-19T00:00:00-06:00,44.27598534027735 A
2017-05-20T00:00:00-06:00,37.44125773509344 A
2017-05-21T00:00:00-06:00,31.098015656073887 A
2017-05-22T00:00:00-06:00,45.84605485200882 A
2017-05-23T00:00:00-06:00,42.78349463144938 A
2017-05-24T00:00:00-06:00,48.63566360870997 A
2017-05-25T00:00:00-06:00,44.455405275026955 A
2017-05-26T00:00:00-06:00,43.74976907173792 A
2017-05-27T00:00:00-06:00,37.494578351577125 A
2017-05-28T00:00:00-06:00,37.53346518466347 A
2017-05-29T00:00:00-06:00,40.46584530880577 A
2017-05-30T00:00:00-06:00,42.953056375185646 A
2017-05-31T00:00:00-06:00,41.41776714722315 A
2017-06-01T00:00:00-06:00,45.18103140592575 A
2017-06-02T00:00:00-06:00,38.692880153656006 A
2017-06-03T00:00:00-06:00,35.3584996064504 A
2017-06-04T00:00:00-06:00,34.786929696798325 A
2017-06-05T00:00:00-06:00,39.87088785568873 A
2017-06-06T00:00:00-06:00,38.01953534285227 A
2017-06-07T00:00:00-06:00,38.93081019322077 A
2017-06-08T00:00:00-06:00,40.87619678179423 A
2017-06-09T00:00:00-06:00,41.68842474619547 A
2017-06-10T00:00:00-06:00,36.14660041530927 A
2017-06-11T00:00:00-06:00,35.95874079068502 A
2017-06-12T00:00:00-06:00,49.08980653683344 A
2017-06-13T00:00:00-06:00,51.991516629854836 A
2017-06-14T00:00:00-06:00,43.0913436015447 A
2017-06-15T00:00:00-06:00,40.6459729274114 A
2017-06-16T00:00:00-06:00,38.79935451348623 A
2017-06-17T00:00:00-06:00,35.654974361260734 A
2017-06-18T00:00:00-06:00,37.21898850798607 A
2017-06-19T00:00:00-06:00,41.12317621707916 A
2017-06-20T00:00:00-06:00,42.98220133781433 A
2017-06-21T00:00:00-06:00,41.16597988208135 A
2017-06-22T00:00:00-06:00,41.917048374811806 A
2017-06-23T00:00:00-06:00,40.86439538002014 A
2017-06-24T00:00:00-06:00,37.530628283818565 A
2017-06-25T00:00:00-06:00,36.27554512023926 A
2017-06-26T00:00:00-06:00,41.783562421798706 A
