Timestamp,['1cc40185-b1530da9 0008-EMERY BLDG Power Meter 300026 Current C']
2017-10-23T00:00:00-06:00,90.5703125 A
2017-10-24T00:00:00-06:00,87.34765625 A
2017-10-25T00:00:00-06:00,87.18294270833333 A
2017-10-26T00:00:00-06:00,81.73990885416667 A
2017-10-27T00:00:00-06:00,82.57356770833333 A
2017-10-28T00:00:00-06:00,66.6865234375 A
2017-10-29T00:00:00-06:00,73.673828125 A
2017-10-30T00:00:00-06:00,89.1376953125 A
2017-10-31T00:00:00-06:00,83.2392578125 A
2017-11-01T00:00:00-06:00,87.36686197916667 A
2017-11-02T00:00:00-06:00,90.80696614583333 A
2017-11-03T00:00:00-06:00,93.35319010416667 A
2017-11-04T00:00:00-06:00,71.39713541666667 A
2017-11-05T00:00:00-06:00,64.6340625 A
2017-11-06T00:00:00-07:00,85.72102864583333 A
2017-11-07T00:00:00-07:00,94.685546875 A
2017-11-08T00:00:00-07:00,95.861328125 A
2017-11-09T00:00:00-07:00,98.91145833333333 A
2017-11-10T00:00:00-07:00,96.88704427083333 A
2017-11-11T00:00:00-07:00,93.84798177083333 A
2017-11-12T00:00:00-07:00,95.68619791666667 A
2017-11-13T00:00:00-07:00,104.376953125 A
2017-11-14T00:00:00-07:00,99.138671875 A
2017-11-15T00:00:00-07:00,99.34342447916667 A
2017-11-16T00:00:00-07:00,101.89778645833333 A
2017-11-17T00:00:00-07:00,101.72688802083333 A
2017-11-18T00:00:00-07:00,74.61946614583333 A
2017-11-19T00:00:00-07:00,75.47395833333333 A
2017-11-20T00:00:00-07:00,91.171875 A
2017-11-21T00:00:00-07:00,96.43359375 A
2017-11-22T00:00:00-07:00,90.99544270833333 A
2017-11-23T00:00:00-07:00,74.29361979166667 A
2017-11-24T00:00:00-07:00,77.19791666666667 A
2017-11-25T00:00:00-07:00,70.76106770833333 A
2017-11-26T00:00:00-07:00,73.55305989583333 A
2017-11-27T00:00:00-07:00,102.52180989583333 A
2017-11-28T00:00:00-07:00,94.80729166666667 A
2017-11-29T00:00:00-07:00,92.07975260416667 A
2017-11-30T00:00:00-07:00,93.57486979166667 A
2017-12-01T00:00:00-07:00,85.6572265625 A
2017-12-02T00:00:00-07:00,72.53385416666667 A
2017-12-03T00:00:00-07:00,75.5078125 A
2017-12-04T00:00:00-07:00,97.13606770833333 A
2017-12-05T00:00:00-07:00,93.65950520833333 A
2017-12-06T00:00:00-07:00,99.2353515625 A
2017-12-07T00:00:00-07:00,96.87858072916667 A
2017-12-08T00:00:00-07:00,93.69173177083333 A
2017-12-09T00:00:00-07:00,78.50520833333333 A
2017-12-10T00:00:00-07:00,79.462890625 A
2017-12-11T00:00:00-07:00,88.48697916666667 A
2017-12-12T00:00:00-07:00,88.63411458333333 A
2017-12-13T00:00:00-07:00,92.3544921875 A
2017-12-14T00:00:00-07:00,87.4541015625 A
2017-12-15T00:00:00-07:00,83.24934895833333 A
2017-12-16T00:00:00-07:00,74.0048828125 A
2017-12-17T00:00:00-07:00,73.74869791666667 A
2017-12-18T00:00:00-07:00,83.1008064516129 A
2017-12-19T00:00:00-07:00,81.92350260416667 A
2017-12-20T00:00:00-07:00,81.3740234375 A
2017-12-21T00:00:00-07:00,85.84798177083333 A
2017-12-22T00:00:00-07:00,85.65950520833333 A
2017-12-23T00:00:00-07:00,85.92447916666667 A
2017-12-24T00:00:00-07:00,83.23980263157895 A
2017-12-25T00:00:00-07:00,84.14876302083333 A
2017-12-26T00:00:00-07:00,79.33528645833333 A
2017-12-27T00:00:00-07:00,81.74609375 A
2017-12-28T00:00:00-07:00,82.05013020833333 A
2017-12-29T00:00:00-07:00,77.32649739583333 A
2017-12-30T00:00:00-07:00,70.12923177083333 A
2017-12-31T00:00:00-07:00,69.1748046875 A
