Timestamp,['1daaa925-690a5ef8 0037-ARCHITECTURE BLDG Power Meter (301159) Volts B-N']
2017-08-06T00:00:00-06:00,122.19093465805054 V
2017-08-07T00:00:00-06:00,122.05180231730144 V
2017-08-08T00:00:00-06:00,121.98250794410706 V
2017-08-09T00:00:00-06:00,122.09499343236287 V
2017-08-10T00:00:00-06:00,122.10652931876804 V
2017-08-11T00:00:00-06:00,122.09948070844014 V
2017-08-12T00:00:00-06:00,122.18083914120992 V
2017-08-13T00:00:00-06:00,122.15801350275676 V
2017-08-14T00:00:00-06:00,122.10357904434204 V
2017-08-15T00:00:00-06:00,122.07344675064087 V
2017-08-16T00:00:00-06:00,122.1040301322937 V
2017-08-17T00:00:00-06:00,122.13387378056844 V
2017-08-18T00:00:00-06:00,122.11460590362549 V
2017-08-19T00:00:00-06:00,122.09513926506042 V
2017-08-20T00:00:00-06:00,122.1829137802124 V
2017-08-21T00:00:00-06:00,122.07162205378215 V
2017-08-22T00:00:00-06:00,122.12975867589314 V
2017-08-23T00:00:00-06:00,122.09938391049702 V
2017-08-24T00:00:00-06:00,122.10893138249715 V
2017-08-25T00:00:00-06:00,122.04080128669739 V
2017-08-26T00:00:00-06:00,122.07002711296082 V
2017-08-27T00:00:00-06:00,122.02891945838928 V
2017-08-28T00:00:00-06:00,122.08621447273855 V
2017-08-29T00:00:00-06:00,122.07751871191937 V
2017-08-30T00:00:00-06:00,122.0822245279948 V
2017-08-31T00:00:00-06:00,122.07049751281738 V
2017-09-01T00:00:00-06:00,122.11070330937703 V
2017-09-02T00:00:00-06:00,122.08174029986064 V
2017-09-03T00:00:00-06:00,122.17472799619038 V
2017-09-04T00:00:00-06:00,121.99423933029175 V
2017-09-05T00:00:00-06:00,122.1163288752238 V
2017-09-06T00:00:00-06:00,122.07726367314656 V
2017-09-07T00:00:00-06:00,122.00230995814006 V
2017-09-08T00:00:00-06:00,122.16296509773501 V
2017-09-09T00:00:00-06:00,122.17147000630696 V
2017-09-10T00:00:00-06:00,122.146147330602 V
2017-09-11T00:00:00-06:00,122.0293931166331 V
2017-09-12T00:00:00-06:00,122.05504711469014 V
2017-09-13T00:00:00-06:00,122.11184692382812 V
2017-09-14T00:00:00-06:00,122.22219793001811 V
2017-09-15T00:00:00-06:00,122.21528673171997 V
2017-09-16T00:00:00-06:00,122.3028609752655 V
2017-09-17T00:00:00-06:00,122.14164384206136 V
2017-09-18T00:00:00-06:00,122.13595636685689 V
2017-09-19T00:00:00-06:00,122.12763977050781 V
2017-09-20T00:00:00-06:00,122.17941331863403 V
2017-09-21T00:00:00-06:00,122.2179942925771 V
2017-09-22T00:00:00-06:00,122.36009454727173 V
2017-09-23T00:00:00-06:00,122.01553988456726 V
2017-09-24T00:00:00-06:00,122.20020524660747 V
2017-09-25T00:00:00-06:00,122.20918011665344 V
2017-09-26T00:00:00-06:00,122.11200316747029 V
2017-09-27T00:00:00-06:00,122.19635359446208 V
2017-09-28T00:00:00-06:00,122.18762175242107 V
2017-09-29T00:00:00-06:00,122.15570457776387 V
2017-09-30T00:00:00-06:00,122.01792565981548 V
2017-10-01T00:00:00-06:00,121.96567169825236 V
2017-10-02T00:00:00-06:00,122.14465045928955 V
2017-10-03T00:00:00-06:00,121.97153639793396 V
2017-10-04T00:00:00-06:00,122.16885526974995 V
2017-10-05T00:00:00-06:00,122.13261675834656 V
2017-10-06T00:00:00-06:00,122.0951600074768 V
2017-10-07T00:00:00-06:00,122.25774733225505 V
2017-10-08T00:00:00-06:00,122.23375964164734 V
2017-10-09T00:00:00-06:00,122.2077169418335 V
2017-10-10T00:00:00-06:00,122.0549012819926 V
2017-10-11T00:00:00-06:00,122.1250027815501 V
2017-10-12T00:00:00-06:00,122.20939143498738 V
2017-10-13T00:00:00-06:00,122.15848660469055 V
2017-10-14T00:00:00-06:00,122.13725225130717 V
2017-10-15T00:00:00-06:00,122.12261748313904 V
2017-10-16T00:00:00-06:00,122.20067938168843 V
2017-10-17T00:00:00-06:00,122.05823985735576 V
2017-10-18T00:00:00-06:00,122.23720423380534 V
2017-10-19T00:00:00-06:00,122.3026978969574 V
2017-10-20T00:00:00-06:00,122.10324215888977 V
2017-10-21T00:00:00-06:00,122.18608252207439 V
2017-10-22T00:00:00-06:00,122.08995827039082 V
2017-10-23T00:00:00-06:00,122.23514119784038 V
2017-10-24T00:00:00-06:00,122.09645287195842 V
2017-10-25T00:00:00-06:00,122.1698563893636 V
2017-10-26T00:00:00-06:00,122.08951743443806 V
2017-10-27T00:00:00-06:00,122.14372833569844 V
2017-10-28T00:00:00-06:00,122.08600841321443 V
2017-10-29T00:00:00-06:00,122.01965300242107 V
2017-10-30T00:00:00-06:00,122.16182152430217 V
2017-10-31T00:00:00-06:00,122.22361278533936 V
2017-11-01T00:00:00-06:00,121.96712263425191 V
2017-11-02T00:00:00-06:00,122.1434698899587 V
2017-11-03T00:00:00-06:00,122.18171501159668 V
2017-11-04T00:00:00-06:00,122.14461334546407 V
2017-11-05T00:00:00-06:00,122.2192025756836 V
2017-11-06T00:00:00-07:00,122.23874791463216 V
2017-11-07T00:00:00-07:00,122.25449442863464 V
2017-11-08T00:00:00-07:00,122.06012042363484 V
2017-11-09T00:00:00-07:00,121.98484921455383 V
2017-11-10T00:00:00-07:00,122.15029899279277 V
2017-11-11T00:00:00-07:00,122.05622331301372 V
2017-11-12T00:00:00-07:00,122.12442747751872 V
2017-11-13T00:00:00-07:00,122.14020252227783 V
2017-11-14T00:00:00-07:00,122.04622451464336 V
2017-11-15T00:00:00-07:00,121.86331486701965 V
2017-11-16T00:00:00-07:00,122.28858780860901 V
2017-11-17T00:00:00-07:00,122.0821631749471 V
2017-11-18T00:00:00-07:00,122.30440179506938 V
2017-11-19T00:00:00-07:00,122.43180632591248 V
2017-11-20T00:00:00-07:00,122.2337277730306 V
2017-11-21T00:00:00-07:00,122.02354629834493 V
2017-11-22T00:00:00-07:00,122.20304028193156 V
2017-11-23T00:00:00-07:00,122.19820141792297 V
2017-11-24T00:00:00-07:00,122.24771046638489 V
2017-11-25T00:00:00-07:00,122.17841752370198 V
2017-11-26T00:00:00-07:00,122.19217936197917 V
2017-11-27T00:00:00-07:00,122.2428735891978 V
2017-11-28T00:00:00-07:00,122.10756007830302 V
2017-11-29T00:00:00-07:00,122.06960574785869 V
2017-11-30T00:00:00-07:00,122.04731639226277 V
2017-12-01T00:00:00-07:00,122.1410247484843 V
2017-12-02T00:00:00-07:00,122.05953963597615 V
