Timestamp,['1cac2883-d67ad6ff 0077-CHRISTENSEN CNTR Power Meter (300172) Current C']
2017-03-01T00:00:00-07:00,91.98553977807363 A
2017-03-02T00:00:00-07:00,88.16121062437693 A
2017-03-03T00:00:00-07:00,80.37856099473106 A
2017-03-04T00:00:00-07:00,75.40565792322158 A
2017-03-05T00:00:00-07:00,66.60746207899517 A
2017-03-06T00:00:00-07:00,86.49604347281986 A
2017-03-07T00:00:00-07:00,90.20946468247308 A
2017-03-08T00:00:00-07:00,80.14401878913243 A
2017-03-09T00:00:00-07:00,85.82668974134657 A
2017-03-10T00:00:00-07:00,78.38306226200528 A
2017-03-11T00:00:00-07:00,69.19038195080228 A
2017-03-12T00:00:00-07:00,68.08641800811326 A
2017-03-13T00:00:00-06:00,75.69956031110551 A
2017-03-14T00:00:00-06:00,73.97700758510166 A
2017-03-15T00:00:00-06:00,73.60128666824765 A
2017-03-16T00:00:00-06:00,70.44584742387136 A
2017-03-17T00:00:00-06:00,74.92637187374963 A
2017-03-18T00:00:00-06:00,78.25861059029897 A
2017-03-19T00:00:00-06:00,69.90525793084839 A
2017-03-20T00:00:00-06:00,80.72033710572907 A
2017-03-21T00:00:00-06:00,87.45387913121118 A
2017-03-22T00:00:00-06:00,84.8075518631289 A
2017-03-23T00:00:00-06:00,85.52137555546231 A
2017-03-24T00:00:00-06:00,69.64216088983747 A
2017-03-25T00:00:00-06:00,55.94983987894383 A
2017-03-26T00:00:00-06:00,53.80640990871618 A
2017-03-27T00:00:00-06:00,70.62278871357317 A
2017-03-28T00:00:00-06:00,80.41935339365013 A
2017-03-29T00:00:00-06:00,83.22947090869758 A
2017-03-30T00:00:00-06:00,93.85128928290473 A
2017-03-31T00:00:00-06:00,76.62556639379925 A
2017-04-01T00:00:00-06:00,72.93793023692237 A
2017-04-02T00:00:00-06:00,64.73990547392103 A
2017-04-03T00:00:00-06:00,78.58092979192733 A
2017-04-04T00:00:00-06:00,80.92694603337182 A
2017-04-05T00:00:00-06:00,79.51786956787109 A
2017-04-06T00:00:00-06:00,78.43519546985627 A
2017-04-07T00:00:00-06:00,69.58515168031057 A
2017-04-08T00:00:00-06:00,67.94990603393978 A
2017-04-09T00:00:00-06:00,64.20076906813516 A
2017-04-10T00:00:00-06:00,81.49096397161483 A
2017-04-11T00:00:00-06:00,82.34440262582567 A
2017-04-12T00:00:00-06:00,84.99018286599053 A
2017-04-13T00:00:00-06:00,86.15615820619794 A
2017-04-14T00:00:00-06:00,77.61948660877016 A
2017-04-15T00:00:00-06:00,65.78457378943762 A
2017-04-16T00:00:00-06:00,66.21055645442324 A
2017-04-17T00:00:00-06:00,82.14753135808574 A
2017-04-18T00:00:00-06:00,86.3274553351932 A
2017-04-19T00:00:00-06:00,85.95066593488058 A
2017-04-20T00:00:00-06:00,84.67811448044247 A
2017-04-21T00:00:00-06:00,71.37124540476107 A
2017-04-22T00:00:00-06:00,69.0566338857015 A
2017-04-23T00:00:00-06:00,68.93678193622165 A
2017-04-24T00:00:00-06:00,85.2824524614546 A
2017-04-25T00:00:00-06:00,82.12615144120322 A
2017-04-26T00:00:00-06:00,79.32051638497246 A
2017-04-27T00:00:00-06:00,80.8345274951723 A
2017-04-28T00:00:00-06:00,71.9482209722201 A
2017-04-29T00:00:00-06:00,61.1277384850714 A
2017-04-30T00:00:00-06:00,56.69981323613061 A
2017-05-01T00:00:00-06:00,73.92054527335696 A
2017-05-02T00:00:00-06:00,72.43821734322442 A
2017-05-03T00:00:00-06:00,77.79005400737127 A
2017-05-04T00:00:00-06:00,78.72966852585475 A
2017-05-05T00:00:00-06:00,73.91686135133108 A
2017-05-06T00:00:00-06:00,73.24695742925009 A
2017-05-07T00:00:00-06:00,73.80465495851305 A
2017-05-08T00:00:00-06:00,76.27838689582043 A
2017-05-09T00:00:00-06:00,72.16070510811277 A
2017-05-10T00:00:00-06:00,72.94318252404531 A
2017-05-11T00:00:00-06:00,80.30388743347592 A
2017-05-12T00:00:00-06:00,80.78901322417789 A
2017-05-13T00:00:00-06:00,80.15212557580736 A
2017-05-14T00:00:00-06:00,80.65747892591688 A
2017-05-15T00:00:00-06:00,78.49606331719292 A
2017-05-16T00:00:00-06:00,79.84307259056303 A
2017-05-17T00:00:00-06:00,76.96972639284007 A
2017-05-18T00:00:00-06:00,80.47087754408518 A
2017-05-19T00:00:00-06:00,72.11820879247453 A
2017-05-20T00:00:00-06:00,67.26935900144066 A
2017-05-21T00:00:00-06:00,69.59950505933304 A
2017-05-22T00:00:00-06:00,85.54744856622484 A
2017-05-23T00:00:00-06:00,88.35945313506656 A
2017-05-24T00:00:00-06:00,84.73122465875414 A
2017-05-25T00:00:00-06:00,82.0502709892061 A
2017-05-26T00:00:00-06:00,79.3394221994612 A
2017-05-27T00:00:00-06:00,74.9654846098688 A
2017-05-28T00:00:00-06:00,64.11060457626978 A
2017-05-29T00:00:00-06:00,65.38015669054455 A
2017-05-30T00:00:00-06:00,84.90731896559397 A
2017-05-31T00:00:00-06:00,82.89422728220622 A
2017-06-01T00:00:00-06:00,83.28080625136694 A
2017-06-02T00:00:00-06:00,76.84945912258421 A
2017-06-03T00:00:00-06:00,69.7664210624165 A
2017-06-04T00:00:00-06:00,70.3507736245791 A
2017-06-05T00:00:00-06:00,85.78555282476133 A
2017-06-06T00:00:00-06:00,89.69726131227281 A
2017-06-07T00:00:00-06:00,86.89078248076969 A
2017-06-08T00:00:00-06:00,86.16909377023194 A
2017-06-09T00:00:00-06:00,88.52762048123527 A
2017-06-10T00:00:00-06:00,81.87225832276874 A
2017-06-11T00:00:00-06:00,69.21940399509478 A
2017-06-12T00:00:00-06:00,86.75457536909315 A
2017-06-13T00:00:00-06:00,87.71944746043947 A
2017-06-14T00:00:00-06:00,88.35649655395083 A
2017-06-15T00:00:00-06:00,90.12989867305158 A
2017-06-16T00:00:00-06:00,83.52371668815613 A
2017-06-17T00:00:00-06:00,80.06896714634365 A
2017-06-18T00:00:00-06:00,78.70828899542491 A
2017-06-19T00:00:00-06:00,89.57840283181932 A
2017-06-20T00:00:00-06:00,89.64653049045138 A
2017-06-21T00:00:00-06:00,89.99020059146841 A
2017-06-22T00:00:00-06:00,91.27752517064413 A
2017-06-23T00:00:00-06:00,85.63584600744188 A
2017-06-24T00:00:00-06:00,71.80235738224454 A
2017-06-25T00:00:00-06:00,66.3918355570899 A
2017-06-26T00:00:00-06:00,86.0744389924347 A
2017-06-27T00:00:00-06:00,90.28727265199025 A
2017-06-28T00:00:00-06:00,86.63383305867514 A
2017-06-29T00:00:00-06:00,89.65921529134114 A
2017-06-30T00:00:00-06:00,82.3802815940645 A
2017-07-01T00:00:00-06:00,79.4191522942649 A
2017-07-02T00:00:00-06:00,80.64257738722695 A
2017-07-03T00:00:00-06:00,82.60932922760645 A
2017-07-04T00:00:00-06:00,74.58046691285239 A
2017-07-05T00:00:00-06:00,84.31706445879406 A
2017-07-06T00:00:00-06:00,88.76998856862386 A
2017-07-07T00:00:00-06:00,81.2666116118431 A
2017-07-08T00:00:00-06:00,79.8560800658332 A
2017-07-09T00:00:00-06:00,72.42019691493795 A
2017-07-10T00:00:00-06:00,82.52183981471592 A
2017-07-11T00:00:00-06:00,90.57297056780921 A
2017-07-12T00:00:00-06:00,88.32732035054102 A
2017-07-13T00:00:00-06:00,91.37325457996792 A
2017-07-14T00:00:00-06:00,79.92827504078546 A
2017-07-15T00:00:00-06:00,74.27613034645717 A
2017-07-16T00:00:00-06:00,72.71818883948856 A
