Timestamp,"['1d942987-08457d8a 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) W-hours, Received']"
2017-05-05T00:00:00-06:00,711.625 kWh
2017-05-06T00:00:00-06:00,636.09375 kWh
2017-05-07T00:00:00-06:00,593.09375 kWh
2017-05-08T00:00:00-06:00,665.40625 kWh
2017-05-09T00:00:00-06:00,647.625 kWh
2017-05-10T00:00:00-06:00,632.8125 kWh
2017-05-11T00:00:00-06:00,657.75 kWh
2017-05-12T00:00:00-06:00,653.71875 kWh
2017-05-13T00:00:00-06:00,558.40625 kWh
2017-05-14T00:00:00-06:00,555.21875 kWh
2017-05-15T00:00:00-06:00,679.1875 kWh
2017-05-16T00:00:00-06:00,681.25 kWh
2017-05-17T00:00:00-06:00,655.21875 kWh
2017-05-18T00:00:00-06:00,644.3125 kWh
2017-05-19T00:00:00-06:00,650.125 kWh
2017-05-20T00:00:00-06:00,583.78125 kWh
2017-05-21T00:00:00-06:00,588.96875 kWh
2017-05-22T00:00:00-06:00,689.625 kWh
2017-05-23T00:00:00-06:00,716.6875 kWh
2017-05-24T00:00:00-06:00,706.8125 kWh
2017-05-25T00:00:00-06:00,644.84375 kWh
2017-05-26T00:00:00-06:00,653.0625 kWh
2017-05-27T00:00:00-06:00,583.125 kWh
2017-05-28T00:00:00-06:00,583.625 kWh
2017-05-29T00:00:00-06:00,576.6875 kWh
2017-05-30T00:00:00-06:00,709.96875 kWh
2017-05-31T00:00:00-06:00,664.28125 kWh
2017-06-01T00:00:00-06:00,666.9375 kWh
2017-06-02T00:00:00-06:00,641.09375 kWh
2017-06-03T00:00:00-06:00,580.15625 kWh
2017-06-04T00:00:00-06:00,576.03125 kWh
2017-06-05T00:00:00-06:00,658.9375 kWh
2017-06-06T00:00:00-06:00,690.25 kWh
2017-06-07T00:00:00-06:00,694.1875 kWh
2017-06-08T00:00:00-06:00,719.59375 kWh
2017-06-09T00:00:00-06:00,615.375 kWh
2017-06-10T00:00:00-06:00,624.65625 kWh
2017-06-11T00:00:00-06:00,601.4375 kWh
2017-06-12T00:00:00-06:00,629.75 kWh
2017-06-13T00:00:00-06:00,675.5625 kWh
2017-06-14T00:00:00-06:00,703 kWh
2017-06-15T00:00:00-06:00,702.3125 kWh
2017-06-16T00:00:00-06:00,663.59375 kWh
2017-06-17T00:00:00-06:00,606.4375 kWh
2017-06-18T00:00:00-06:00,582.625 kWh
2017-06-19T00:00:00-06:00,688.90625 kWh
2017-06-20T00:00:00-06:00,744.4375 kWh
2017-06-21T00:00:00-06:00,683.5 kWh
2017-06-22T00:00:00-06:00,697.125 kWh
2017-06-23T00:00:00-06:00,656.21875 kWh
2017-06-24T00:00:00-06:00,600.875 kWh
2017-06-25T00:00:00-06:00,570.6875 kWh
2017-06-26T00:00:00-06:00,671.65625 kWh
2017-06-27T00:00:00-06:00,700.3125 kWh
2017-06-28T00:00:00-06:00,694.09375 kWh
2017-06-29T00:00:00-06:00,646 kWh
2017-06-30T00:00:00-06:00,597.34375 kWh
2017-07-01T00:00:00-06:00,587.4375 kWh
2017-07-02T00:00:00-06:00,568.75 kWh
2017-07-03T00:00:00-06:00,625.40625 kWh
2017-07-04T00:00:00-06:00,592.84375 kWh
2017-07-05T00:00:00-06:00,620.5 kWh
2017-07-06T00:00:00-06:00,694.78125 kWh
2017-07-07T00:00:00-06:00,635 kWh
2017-07-08T00:00:00-06:00,580.03125 kWh
