Timestamp,"['1e68925a-9802c45d 0004-KINGSBURY HALL Power Meter 2 (301209) Watts, 3-Ph total']"
2017-04-26T00:00:00-06:00,51.554771423339844 kW
2017-04-27T00:00:00-06:00,84.80301666259766 kW
2017-04-28T00:00:00-06:00,98.67888641357422 kW
2017-04-29T00:00:00-06:00,107.23249816894531 kW
2017-04-30T00:00:00-06:00,24.727195739746094 kW
2017-05-01T00:00:00-06:00,48.40583419799805 kW
2017-05-02T00:00:00-06:00,49.6701774597168 kW
2017-05-03T00:00:00-06:00,44.69942855834961 kW
2017-05-04T00:00:00-06:00,80.1530532836914 kW
2017-05-05T00:00:00-06:00,92.79389190673828 kW
2017-05-06T00:00:00-06:00,10.30783748626709 kW
2017-05-07T00:00:00-06:00,9.494836807250977 kW
2017-05-08T00:00:00-06:00,36.66289138793945 kW
2017-05-09T00:00:00-06:00,117.22408294677734 kW
2017-05-10T00:00:00-06:00,113.4449462890625 kW
2017-05-11T00:00:00-06:00,39.39472198486328 kW
2017-05-12T00:00:00-06:00,110.43193817138672 kW
2017-05-13T00:00:00-06:00,125.20623016357422 kW
2017-05-14T00:00:00-06:00,9.840356826782227 kW
2017-05-15T00:00:00-06:00,101.95889282226562 kW
2017-05-16T00:00:00-06:00,89.99235534667969 kW
2017-05-17T00:00:00-06:00,102.20197296142578 kW
2017-05-18T00:00:00-06:00,37.37902069091797 kW
2017-05-19T00:00:00-06:00,74.26080322265625 kW
2017-05-20T00:00:00-06:00,105.0060806274414 kW
2017-05-21T00:00:00-06:00,9.613823890686035 kW
2017-05-22T00:00:00-06:00,120.41947174072266 kW
2017-05-23T00:00:00-06:00,54.822593688964844 kW
2017-05-24T00:00:00-06:00,64.30797576904297 kW
2017-05-25T00:00:00-06:00,112.43228912353516 kW
2017-05-26T00:00:00-06:00,43.383567810058594 kW
2017-05-27T00:00:00-06:00,102.62261199951172 kW
2017-05-28T00:00:00-06:00,10.060556411743164 kW
2017-05-29T00:00:00-06:00,10.26241397857666 kW
2017-05-30T00:00:00-06:00,57.19668960571289 kW
2017-05-31T00:00:00-06:00,107.39847564697266 kW
2017-06-01T00:00:00-06:00,99.09420013427734 kW
2017-06-02T00:00:00-06:00,57.704811096191406 kW
2017-06-03T00:00:00-06:00,9.559475898742676 kW
2017-06-04T00:00:00-06:00,10.236251831054688 kW
2017-06-05T00:00:00-06:00,79.22988891601562 kW
2017-06-06T00:00:00-06:00,90.49722290039062 kW
2017-06-07T00:00:00-06:00,48.49630355834961 kW
2017-06-08T00:00:00-06:00,100.03446960449219 kW
2017-06-09T00:00:00-06:00,112.26834869384766 kW
2017-06-10T00:00:00-06:00,102.0505142211914 kW
2017-06-11T00:00:00-06:00,10.882462501525879 kW
2017-06-12T00:00:00-06:00,44.509883880615234 kW
2017-06-13T00:00:00-06:00,83.18360137939453 kW
2017-06-14T00:00:00-06:00,40.09105682373047 kW
2017-06-15T00:00:00-06:00,54.93682861328125 kW
2017-06-16T00:00:00-06:00,24.20912742614746 kW
2017-06-17T00:00:00-06:00,11.229402542114258 kW
2017-06-18T00:00:00-06:00,10.328861236572266 kW
2017-06-19T00:00:00-06:00,125.38521575927734 kW
2017-06-20T00:00:00-06:00,70.75703430175781 kW
2017-06-21T00:00:00-06:00,99.13418579101562 kW
2017-06-22T00:00:00-06:00,76.82920837402344 kW
2017-06-23T00:00:00-06:00,76.49543762207031 kW
2017-06-24T00:00:00-06:00,13.355151176452637 kW
2017-06-25T00:00:00-06:00,12.716889381408691 kW
2017-06-26T00:00:00-06:00,36.78031921386719 kW
2017-06-27T00:00:00-06:00,38.60115051269531 kW
2017-06-28T00:00:00-06:00,87.27256774902344 kW
2017-06-29T00:00:00-06:00,66.4156494140625 kW
2017-06-30T00:00:00-06:00,110.50875091552734 kW
2017-07-01T00:00:00-06:00,11.436796188354492 kW
2017-07-02T00:00:00-06:00,11.781208992004395 kW
2017-07-03T00:00:00-06:00,36.770042419433594 kW
2017-07-04T00:00:00-06:00,11.223775863647461 kW
