Timestamp,['1f7d6c50-dfa56172 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current A']
2017-05-02T00:00:00-06:00,81.91796875 A
2017-05-03T00:00:00-06:00,81.61458333333333 A
2017-05-04T00:00:00-06:00,75.04947916666667 A
2017-05-05T00:00:00-06:00,73.7392578125 A
2017-05-06T00:00:00-06:00,68.19401041666667 A
2017-05-07T00:00:00-06:00,68.93326822916667 A
2017-05-08T00:00:00-06:00,75.69401041666667 A
2017-05-09T00:00:00-06:00,76.82291666666667 A
2017-05-10T00:00:00-06:00,76.19205729166667 A
2017-05-11T00:00:00-06:00,77.00260416666667 A
2017-05-12T00:00:00-06:00,75.63704427083333 A
2017-05-13T00:00:00-06:00,69.11165364583333 A
2017-05-14T00:00:00-06:00,72.04524739583333 A
2017-05-15T00:00:00-06:00,76.50748697916667 A
2017-05-16T00:00:00-06:00,78.015625 A
2017-05-17T00:00:00-06:00,83.56087239583333 A
2017-05-18T00:00:00-06:00,88.0869140625 A
2017-05-19T00:00:00-06:00,80.23990885416667 A
2017-05-20T00:00:00-06:00,71.01888020833333 A
2017-05-21T00:00:00-06:00,69.06803385416667 A
2017-05-22T00:00:00-06:00,76.77897135416667 A
2017-05-23T00:00:00-06:00,77.21158854166667 A
2017-05-24T00:00:00-06:00,78.271484375 A
2017-05-25T00:00:00-06:00,76.7490234375 A
2017-05-26T00:00:00-06:00,75.83723958333333 A
2017-05-27T00:00:00-06:00,69.5810546875 A
2017-05-28T00:00:00-06:00,70.08651315789474 A
2017-05-29T00:00:00-06:00,71.80208333333333 A
2017-05-30T00:00:00-06:00,78.1201171875 A
2017-05-31T00:00:00-06:00,77.7138671875 A
2017-06-01T00:00:00-06:00,78.25390625 A
2017-06-02T00:00:00-06:00,78.37337239583333 A
2017-06-03T00:00:00-06:00,70.564453125 A
2017-06-04T00:00:00-06:00,69.35872395833333 A
2017-06-05T00:00:00-06:00,77.56282552083333 A
2017-06-06T00:00:00-06:00,76.02473958333333 A
2017-06-07T00:00:00-06:00,75.76302083333333 A
2017-06-08T00:00:00-06:00,75.15983072916667 A
2017-06-09T00:00:00-06:00,76.0703125 A
2017-06-10T00:00:00-06:00,67.52018229166667 A
2017-06-11T00:00:00-06:00,69.1328125 A
2017-06-12T00:00:00-06:00,76.146484375 A
2017-06-13T00:00:00-06:00,76.92578125 A
2017-06-14T00:00:00-06:00,75.62630208333333 A
2017-06-15T00:00:00-06:00,76.40494791666667 A
2017-06-16T00:00:00-06:00,75.21875 A
2017-06-17T00:00:00-06:00,67.60579427083333 A
2017-06-18T00:00:00-06:00,68.2646484375 A
2017-06-19T00:00:00-06:00,74.361328125 A
2017-06-20T00:00:00-06:00,74.51595052083333 A
2017-06-21T00:00:00-06:00,74.01920572916667 A
2017-06-22T00:00:00-06:00,73.57552083333333 A
2017-06-23T00:00:00-06:00,73.39973958333333 A
2017-06-24T00:00:00-06:00,69.11458333333333 A
2017-06-25T00:00:00-06:00,69.7685546875 A
2017-06-26T00:00:00-06:00,74.93294270833333 A
2017-06-27T00:00:00-06:00,74.232421875 A
2017-06-28T00:00:00-06:00,73.54264322916667 A
2017-06-29T00:00:00-06:00,73.76399739583333 A
2017-06-30T00:00:00-06:00,71.34505208333333 A
2017-07-01T00:00:00-06:00,67.38541666666667 A
2017-07-02T00:00:00-06:00,68.1396484375 A
2017-07-03T00:00:00-06:00,73.08072916666667 A
2017-07-04T00:00:00-06:00,68.04817708333333 A
2017-07-05T00:00:00-06:00,73.60677083333333 A
2017-07-06T00:00:00-06:00,74.009765625 A
2017-07-07T00:00:00-06:00,75.21158854166667 A
2017-07-08T00:00:00-06:00,72.37467447916667 A
2017-07-09T00:00:00-06:00,71.12565104166667 A
2017-07-10T00:00:00-06:00,73.88606770833333 A
2017-07-11T00:00:00-06:00,73.57421875 A
2017-07-12T00:00:00-06:00,73.69205729166667 A
2017-07-13T00:00:00-06:00,71.46712239583333 A
2017-07-14T00:00:00-06:00,69.68489583333333 A
2017-07-15T00:00:00-06:00,63.834309895833336 A
2017-07-16T00:00:00-06:00,62.968098958333336 A
2017-07-17T00:00:00-06:00,71.78515625 A
2017-07-18T00:00:00-06:00,72.78971354166667 A
2017-07-19T00:00:00-06:00,72.38802083333333 A
2017-07-20T00:00:00-06:00,72.19661458333333 A
2017-07-21T00:00:00-06:00,72.52571614583333 A
2017-07-22T00:00:00-06:00,66.83268229166667 A
2017-07-23T00:00:00-06:00,66.96484375 A
2017-07-24T00:00:00-06:00,68.41015625 A
2017-07-25T00:00:00-06:00,74.0498046875 A
2017-07-26T00:00:00-06:00,71.87467447916667 A
2017-07-27T00:00:00-06:00,71.8203125 A
2017-07-28T00:00:00-06:00,72.90625 A
2017-07-29T00:00:00-06:00,68.234375 A
2017-07-30T00:00:00-06:00,68.90983072916667 A
2017-07-31T00:00:00-06:00,74.98177083333333 A
2017-08-01T00:00:00-06:00,74.02018229166667 A
2017-08-02T00:00:00-06:00,72.69466145833333 A
2017-08-03T00:00:00-06:00,71.68587239583333 A
2017-08-04T00:00:00-06:00,71.10679945054945 A
2017-08-05T00:00:00-06:00,64.28125 A
2017-08-06T00:00:00-06:00,65.4921875 A
2017-08-07T00:00:00-06:00,72.98209635416667 A
2017-08-08T00:00:00-06:00,74.17317708333333 A
2017-08-09T00:00:00-06:00,73.55631510416667 A
2017-08-10T00:00:00-06:00,74.05485372340425 A
2017-08-11T00:00:00-06:00,73.6907894736842 A
2017-08-12T00:00:00-06:00,66.40006510416667 A
2017-08-13T00:00:00-06:00,66.9638671875 A
2017-08-14T00:00:00-06:00,72.66373697916667 A
2017-08-15T00:00:00-06:00,72.583984375 A
2017-08-16T00:00:00-06:00,73.05208333333333 A
2017-08-17T00:00:00-06:00,71.41666666666667 A
2017-08-18T00:00:00-06:00,72.50325520833333 A
2017-08-19T00:00:00-06:00,68.25455729166667 A
2017-08-20T00:00:00-06:00,68.77115885416667 A
2017-08-21T00:00:00-06:00,75.19270833333333 A
2017-08-22T00:00:00-06:00,74.83268229166667 A
2017-08-23T00:00:00-06:00,74.99772135416667 A
2017-08-24T00:00:00-06:00,76.87272135416667 A
2017-08-25T00:00:00-06:00,76.06119791666667 A
2017-08-26T00:00:00-06:00,71.11458333333333 A
2017-08-27T00:00:00-06:00,70.46842447916667 A
2017-08-28T00:00:00-06:00,80.6008831521739 A
2017-08-29T00:00:00-06:00,77.4274193548387 A
2017-08-30T00:00:00-06:00,78.7958984375 A
2017-08-31T00:00:00-06:00,73.51888020833333 A
2017-09-01T00:00:00-06:00,72.9130859375 A
2017-09-02T00:00:00-06:00,62.708984375 A
2017-09-03T00:00:00-06:00,63.988606770833336 A
2017-09-04T00:00:00-06:00,66.16243489583333 A
2017-09-05T00:00:00-06:00,78.49641927083333 A
2017-09-06T00:00:00-06:00,79.544921875 A
2017-09-07T00:00:00-06:00,74.79264322916667 A
2017-09-08T00:00:00-06:00,76.99440789473684 A
2017-09-09T00:00:00-06:00,67.71451822916667 A
2017-09-10T00:00:00-06:00,68.82161458333333 A
2017-09-11T00:00:00-06:00,84.49153645833333 A
2017-09-12T00:00:00-06:00,82.61458333333333 A
2017-09-13T00:00:00-06:00,82.85319010416667 A
2017-09-14T00:00:00-06:00,84.08756510416667 A
2017-09-15T00:00:00-06:00,85.52962239583333 A
2017-09-16T00:00:00-06:00,67.92252604166667 A
2017-09-17T00:00:00-06:00,69.03157552083333 A
2017-09-18T00:00:00-06:00,79.18001302083333 A
2017-09-19T00:00:00-06:00,77.21940104166667 A
2017-09-20T00:00:00-06:00,85.2060546875 A
2017-09-21T00:00:00-06:00,77.87858072916667 A
2017-09-22T00:00:00-06:00,83.32649739583333 A
2017-09-23T00:00:00-06:00,77.22298177083333 A
2017-09-24T00:00:00-06:00,80.0966796875 A
2017-09-25T00:00:00-06:00,88.11848958333333 A
2017-09-26T00:00:00-06:00,85.03548177083333 A
2017-09-27T00:00:00-06:00,83.84212239583333 A
2017-09-28T00:00:00-06:00,77.31640625 A
2017-09-29T00:00:00-06:00,77.20345052083333 A
2017-09-30T00:00:00-06:00,68.72916666666667 A
2017-10-01T00:00:00-06:00,71.626953125 A
2017-10-02T00:00:00-06:00,92.76595052083333 A
2017-10-03T00:00:00-06:00,87.90983072916667 A
2017-10-04T00:00:00-06:00,82.90006510416667 A
2017-10-05T00:00:00-06:00,82.39713541666667 A
2017-10-06T00:00:00-06:00,80.91373697916667 A
2017-10-07T00:00:00-06:00,69.9580078125 A
2017-10-08T00:00:00-06:00,71.60091145833333 A
2017-10-09T00:00:00-06:00,86.244140625 A
2017-10-10T00:00:00-06:00,79.10611979166667 A
2017-10-11T00:00:00-06:00,79.171875 A
2017-10-12T00:00:00-06:00,75.9443359375 A
2017-10-13T00:00:00-06:00,76.27083333333333 A
2017-10-14T00:00:00-06:00,73.86328125 A
2017-10-15T00:00:00-06:00,75.67317708333333 A
2017-10-16T00:00:00-06:00,90.68001302083333 A
2017-10-17T00:00:00-06:00,90.19368489583333 A
2017-10-18T00:00:00-06:00,87.27701822916667 A
2017-10-19T00:00:00-06:00,88.07194010416667 A
2017-10-20T00:00:00-06:00,86.16438802083333 A
2017-10-21T00:00:00-06:00,80.4736328125 A
2017-10-22T00:00:00-06:00,80.06412760416667 A
2017-10-23T00:00:00-06:00,91.14973958333333 A
2017-10-24T00:00:00-06:00,92.66927083333333 A
2017-10-25T00:00:00-06:00,94.15625 A
2017-10-26T00:00:00-06:00,87.0966796875 A
2017-10-27T00:00:00-06:00,91.95345052083333 A
2017-10-28T00:00:00-06:00,74.84993489583333 A
2017-10-29T00:00:00-06:00,73.00553385416667 A
2017-10-30T00:00:00-06:00,89.3134765625 A
2017-10-31T00:00:00-06:00,81.63248697916667 A
2017-11-01T00:00:00-06:00,89.18489583333333 A
2017-11-02T00:00:00-06:00,83.6201171875 A
2017-11-03T00:00:00-06:00,84.84798177083333 A
2017-11-04T00:00:00-06:00,78.58919270833333 A
2017-11-05T00:00:00-06:00,82.4096875 A
2017-11-06T00:00:00-07:00,101.3232421875 A
2017-11-07T00:00:00-07:00,101.37044270833333 A
2017-11-08T00:00:00-07:00,96.12141927083333 A
2017-11-09T00:00:00-07:00,95.64388020833333 A
2017-11-10T00:00:00-07:00,92.43619791666667 A
2017-11-11T00:00:00-07:00,79.8623046875 A
2017-11-12T00:00:00-07:00,81.1630859375 A
2017-11-13T00:00:00-07:00,92.48828125 A
2017-11-14T00:00:00-07:00,91.701171875 A
2017-11-15T00:00:00-07:00,94.80533854166667 A
2017-11-16T00:00:00-07:00,92.1767578125 A
2017-11-17T00:00:00-07:00,98.40071614583333 A
2017-11-18T00:00:00-07:00,83.53580729166667 A
2017-11-19T00:00:00-07:00,84.32649739583333 A
2017-11-20T00:00:00-07:00,98.32161458333333 A
2017-11-21T00:00:00-07:00,88.57389322916667 A
2017-11-22T00:00:00-07:00,82.81575520833333 A
2017-11-23T00:00:00-07:00,74.11555989583333 A
2017-11-24T00:00:00-07:00,74.78026315789474 A
2017-11-25T00:00:00-07:00,77.06119791666667 A
2017-11-26T00:00:00-07:00,77.53873697916667 A
2017-11-27T00:00:00-07:00,91.783203125 A
2017-11-28T00:00:00-07:00,99.73828125 A
2017-11-29T00:00:00-07:00,99.830078125 A
2017-11-30T00:00:00-07:00,95.22526041666667 A
2017-12-01T00:00:00-07:00,94.0498046875 A
2017-12-02T00:00:00-07:00,80.0224609375 A
2017-12-03T00:00:00-07:00,80.09700520833333 A
2017-12-04T00:00:00-07:00,106.21451822916667 A
2017-12-05T00:00:00-07:00,102.90397135416667 A
2017-12-06T00:00:00-07:00,101.61881510416667 A
2017-12-07T00:00:00-07:00,108.01920572916667 A
2017-12-08T00:00:00-07:00,102.1875 A
2017-12-09T00:00:00-07:00,82.0341796875 A
2017-12-10T00:00:00-07:00,82.0830078125 A
2017-12-11T00:00:00-07:00,104.263671875 A
2017-12-12T00:00:00-07:00,103.13411458333333 A
2017-12-13T00:00:00-07:00,100.1474609375 A
2017-12-14T00:00:00-07:00,97.95865885416667 A
2017-12-15T00:00:00-07:00,96.375 A
2017-12-16T00:00:00-07:00,80.65657552083333 A
2017-12-17T00:00:00-07:00,81.32486979166667 A
2017-12-18T00:00:00-07:00,80.91372282608695 A
2017-12-19T00:00:00-07:00,78.15559895833333 A
2017-12-20T00:00:00-07:00,82.65397135416667 A
2017-12-21T00:00:00-07:00,83.51920572916667 A
2017-12-22T00:00:00-07:00,82.93359375 A
2017-12-23T00:00:00-07:00,78.2373046875 A
2017-12-24T00:00:00-07:00,79.87630208333333 A
2017-12-25T00:00:00-07:00,78.9326171875 A
2017-12-26T00:00:00-07:00,77.857421875 A
2017-12-27T00:00:00-07:00,79.23307291666667 A
2017-12-28T00:00:00-07:00,77.62858072916667 A
2017-12-29T00:00:00-07:00,74.74739583333333 A
2017-12-30T00:00:00-07:00,72.87662760416667 A
2017-12-31T00:00:00-07:00,75.49544270833333 A
