Timestamp,['1cf8d805-aacccc6b 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current B']
2017-05-06T00:00:00-06:00,150.02083333333334 A
2017-05-07T00:00:00-06:00,149.59375 A
2017-05-08T00:00:00-06:00,149.1595744680851 A
2017-05-09T00:00:00-06:00,149.35416666666666 A
2017-05-10T00:00:00-06:00,147.77083333333334 A
2017-05-11T00:00:00-06:00,147.13541666666666 A
2017-05-12T00:00:00-06:00,145.30208333333334 A
2017-05-13T00:00:00-06:00,146.6875 A
2017-05-14T00:00:00-06:00,148.84375 A
2017-05-15T00:00:00-06:00,150.11458333333334 A
2017-05-16T00:00:00-06:00,149.27083333333334 A
2017-05-17T00:00:00-06:00,148.28125 A
2017-05-18T00:00:00-06:00,149.91666666666666 A
2017-05-19T00:00:00-06:00,152.35416666666666 A
2017-05-20T00:00:00-06:00,152.39583333333334 A
2017-05-21T00:00:00-06:00,151.82291666666666 A
2017-05-22T00:00:00-06:00,152.13541666666666 A
2017-05-23T00:00:00-06:00,152.10416666666666 A
2017-05-24T00:00:00-06:00,151.96875 A
2017-05-25T00:00:00-06:00,151.19791666666666 A
2017-05-26T00:00:00-06:00,151.07291666666666 A
2017-05-27T00:00:00-06:00,149.64583333333334 A
2017-05-28T00:00:00-06:00,150.4375 A
2017-05-29T00:00:00-06:00,151.47916666666666 A
2017-05-30T00:00:00-06:00,151.66666666666666 A
2017-05-31T00:00:00-06:00,151.26041666666666 A
2017-06-01T00:00:00-06:00,150.73958333333334 A
2017-06-02T00:00:00-06:00,151.35416666666666 A
2017-06-03T00:00:00-06:00,150.86458333333334 A
2017-06-04T00:00:00-06:00,150.97916666666666 A
2017-06-05T00:00:00-06:00,150.28125 A
2017-06-06T00:00:00-06:00,154.88541666666666 A
2017-06-07T00:00:00-06:00,151.96875 A
2017-06-08T00:00:00-06:00,147.92708333333334 A
2017-06-09T00:00:00-06:00,147.82291666666666 A
2017-06-10T00:00:00-06:00,148.35416666666666 A
2017-06-11T00:00:00-06:00,149.33684210526314 A
2017-06-12T00:00:00-06:00,149.54166666666666 A
2017-06-13T00:00:00-06:00,149.05208333333334 A
2017-06-14T00:00:00-06:00,147.38541666666666 A
2017-06-15T00:00:00-06:00,149.05208333333334 A
2017-06-16T00:00:00-06:00,148.03125 A
2017-06-17T00:00:00-06:00,150.375 A
2017-06-18T00:00:00-06:00,149.90625 A
2017-06-19T00:00:00-06:00,147.65625 A
2017-06-20T00:00:00-06:00,146.69791666666666 A
2017-06-21T00:00:00-06:00,148.14583333333334 A
2017-06-22T00:00:00-06:00,147.54166666666666 A
2017-06-23T00:00:00-06:00,144.5625 A
2017-06-24T00:00:00-06:00,147 A
2017-06-25T00:00:00-06:00,146.96875 A
2017-06-26T00:00:00-06:00,146.44791666666666 A
2017-06-27T00:00:00-06:00,146.15625 A
2017-06-28T00:00:00-06:00,146.44791666666666 A
2017-06-29T00:00:00-06:00,147.70833333333334 A
2017-06-30T00:00:00-06:00,148.59375 A
2017-07-01T00:00:00-06:00,148.42708333333334 A
2017-07-02T00:00:00-06:00,149.51041666666666 A
2017-07-03T00:00:00-06:00,149.39583333333334 A
2017-07-04T00:00:00-06:00,147.90625 A
2017-07-05T00:00:00-06:00,147.70833333333334 A
2017-07-06T00:00:00-06:00,148.375 A
2017-07-07T00:00:00-06:00,147.6875 A
2017-07-08T00:00:00-06:00,148.22916666666666 A
2017-07-09T00:00:00-06:00,148.61458333333334 A
2017-07-10T00:00:00-06:00,147.94791666666666 A
2017-07-11T00:00:00-06:00,148.57291666666666 A
2017-07-12T00:00:00-06:00,147.14583333333334 A
2017-07-13T00:00:00-06:00,147.52083333333334 A
2017-07-14T00:00:00-06:00,148.46875 A
2017-07-15T00:00:00-06:00,147.51041666666666 A
2017-07-16T00:00:00-06:00,146.95833333333334 A
2017-07-17T00:00:00-06:00,146.90625 A
2017-07-18T00:00:00-06:00,146.25 A
2017-07-19T00:00:00-06:00,147.48958333333334 A
2017-07-20T00:00:00-06:00,148.14583333333334 A
2017-07-21T00:00:00-06:00,147.75 A
2017-07-22T00:00:00-06:00,148.26041666666666 A
2017-07-23T00:00:00-06:00,148.25 A
2017-07-24T00:00:00-06:00,146.98958333333334 A
2017-07-25T00:00:00-06:00,148.19791666666666 A
2017-07-26T00:00:00-06:00,148.80208333333334 A
2017-07-27T00:00:00-06:00,148.5 A
2017-07-28T00:00:00-06:00,148.5625 A
2017-07-29T00:00:00-06:00,149.76041666666666 A
2017-07-30T00:00:00-06:00,150.13541666666666 A
2017-07-31T00:00:00-06:00,150 A
2017-08-01T00:00:00-06:00,147.51041666666666 A
2017-08-02T00:00:00-06:00,147.15625 A
2017-08-03T00:00:00-06:00,146.4375 A
2017-08-04T00:00:00-06:00,147.27777777777777 A
2017-08-05T00:00:00-06:00,148.80208333333334 A
2017-08-06T00:00:00-06:00,148.57291666666666 A
2017-08-07T00:00:00-06:00,148.77083333333334 A
2017-08-08T00:00:00-06:00,147.11458333333334 A
2017-08-09T00:00:00-06:00,146.47916666666666 A
2017-08-10T00:00:00-06:00,147.05376344086022 A
2017-08-11T00:00:00-06:00,147.4375 A
2017-08-12T00:00:00-06:00,147.5 A
2017-08-13T00:00:00-06:00,148.07291666666666 A
2017-08-14T00:00:00-06:00,149.61458333333334 A
2017-08-15T00:00:00-06:00,147.8125 A
2017-08-16T00:00:00-06:00,147.91666666666666 A
2017-08-17T00:00:00-06:00,147.44791666666666 A
2017-08-18T00:00:00-06:00,147.27083333333334 A
2017-08-19T00:00:00-06:00,148.04166666666666 A
2017-08-20T00:00:00-06:00,149.67708333333334 A
2017-08-21T00:00:00-06:00,149.16666666666666 A
2017-08-22T00:00:00-06:00,149.89583333333334 A
2017-08-23T00:00:00-06:00,148.44791666666666 A
2017-08-24T00:00:00-06:00,149.26041666666666 A
2017-08-25T00:00:00-06:00,149.69791666666666 A
2017-08-26T00:00:00-06:00,149.92708333333334 A
2017-08-27T00:00:00-06:00,151.1875 A
2017-08-28T00:00:00-06:00,150.01149425287358 A
2017-08-29T00:00:00-06:00,147.93333333333334 A
