Timestamp,['20d43261-9d8c0deb 0043-NAVAL SCIENCE BLDG Power Meter 300093 Real Energy In']
2017-10-20T00:00:00-06:00,220.4375 kWh
2017-10-21T00:00:00-06:00,116.09375 kWh
2017-10-22T00:00:00-06:00,115.96875 kWh
2017-10-23T00:00:00-06:00,224 kWh
2017-10-24T00:00:00-06:00,254.21875 kWh
2017-10-25T00:00:00-06:00,224 kWh
2017-10-26T00:00:00-06:00,260.40625 kWh
2017-10-27T00:00:00-06:00,183.46875 kWh
2017-10-28T00:00:00-06:00,95.09375 kWh
2017-10-29T00:00:00-06:00,90 kWh
2017-10-30T00:00:00-06:00,210.5625 kWh
2017-10-31T00:00:00-06:00,172.5 kWh
2017-11-01T00:00:00-06:00,209.84375 kWh
2017-11-02T00:00:00-06:00,227.21875 kWh
2017-11-03T00:00:00-06:00,230.8125 kWh
2017-11-04T00:00:00-06:00,171.71875 kWh
2017-11-05T00:00:00-06:00,93.6875 kWh
2017-11-06T00:00:00-07:00,261.53125 kWh
2017-11-07T00:00:00-07:00,239.25 kWh
2017-11-08T00:00:00-07:00,222.25 kWh
2017-11-09T00:00:00-07:00,218.875 kWh
2017-11-10T00:00:00-07:00,188.5 kWh
2017-11-11T00:00:00-07:00,86.0625 kWh
2017-11-12T00:00:00-07:00,85.8125 kWh
2017-11-13T00:00:00-07:00,217.03125 kWh
2017-11-14T00:00:00-07:00,242.96875 kWh
2017-11-15T00:00:00-07:00,215.03125 kWh
2017-11-16T00:00:00-07:00,208.15625 kWh
2017-11-17T00:00:00-07:00,204.59375 kWh
2017-11-18T00:00:00-07:00,89.125 kWh
2017-11-19T00:00:00-07:00,91.8125 kWh
2017-11-20T00:00:00-07:00,225.75 kWh
2017-11-21T00:00:00-07:00,224.8125 kWh
2017-11-22T00:00:00-07:00,235.5 kWh
2017-11-23T00:00:00-07:00,87.625 kWh
2017-11-24T00:00:00-07:00,87.625 kWh
2017-11-25T00:00:00-07:00,90.75 kWh
2017-11-26T00:00:00-07:00,91.4375 kWh
2017-11-27T00:00:00-07:00,221.375 kWh
2017-11-28T00:00:00-07:00,251.625 kWh
2017-11-29T00:00:00-07:00,245.71875 kWh
2017-11-30T00:00:00-07:00,235.21875 kWh
2017-12-01T00:00:00-07:00,208.09375 kWh
2017-12-02T00:00:00-07:00,89.0625 kWh
2017-12-03T00:00:00-07:00,97.46875 kWh
2017-12-04T00:00:00-07:00,237.40625 kWh
2017-12-05T00:00:00-07:00,255.75 kWh
2017-12-06T00:00:00-07:00,254.84375 kWh
2017-12-07T00:00:00-07:00,258.59375 kWh
2017-12-08T00:00:00-07:00,247.53125 kWh
2017-12-09T00:00:00-07:00,141.375 kWh
2017-12-10T00:00:00-07:00,132.71875 kWh
