Timestamp,['1cbacbc5-d6b0bb2b 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt C-A']
2017-10-20T00:00:00-06:00,211.24610122044882 V
2017-10-21T00:00:00-06:00,211.407301902771 V
2017-10-22T00:00:00-06:00,211.24553187688193 V
2017-10-23T00:00:00-06:00,211.5066475868225 V
2017-10-24T00:00:00-06:00,211.35250441233316 V
2017-10-25T00:00:00-06:00,211.41905816396078 V
2017-10-26T00:00:00-06:00,211.22843424479166 V
2017-10-27T00:00:00-06:00,211.34885422388712 V
2017-10-28T00:00:00-06:00,211.28961420059204 V
2017-10-29T00:00:00-06:00,211.180379708608 V
2017-10-30T00:00:00-06:00,211.40754667917886 V
2017-10-31T00:00:00-06:00,211.52229340871176 V
2017-11-01T00:00:00-06:00,211.07275215784708 V
2017-11-02T00:00:00-06:00,211.39880641301474 V
2017-11-03T00:00:00-06:00,211.4753122329712 V
2017-11-04T00:00:00-06:00,211.39117097854614 V
2017-11-05T00:00:00-06:00,211.48202011108398 V
2017-11-06T00:00:00-07:00,211.54189014434814 V
2017-11-07T00:00:00-07:00,211.61104726791382 V
2017-11-08T00:00:00-07:00,211.29057216644287 V
2017-11-09T00:00:00-07:00,211.1875058809916 V
2017-11-10T00:00:00-07:00,211.4128394126892 V
2017-11-11T00:00:00-07:00,211.2279636065165 V
2017-11-12T00:00:00-07:00,211.34339300791422 V
2017-11-13T00:00:00-07:00,211.366108417511 V
2017-11-14T00:00:00-07:00,211.24071248372397 V
2017-11-15T00:00:00-07:00,210.8687049547831 V
2017-11-16T00:00:00-07:00,211.60237216949463 V
2017-11-17T00:00:00-07:00,211.30050627390543 V
2017-11-18T00:00:00-07:00,211.62287664413452 V
2017-11-19T00:00:00-07:00,211.85569747289023 V
2017-11-20T00:00:00-07:00,211.53699254989624 V
2017-11-21T00:00:00-07:00,211.09068171183267 V
2017-11-22T00:00:00-07:00,211.43774016698202 V
2017-11-23T00:00:00-07:00,211.47411362330118 V
2017-11-24T00:00:00-07:00,211.54267406463623 V
