Timestamp,['203a2657-d9ad994b 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Volts A-B']
2017-06-13T00:00:00-06:00,212.09098100662231 V
2017-06-14T00:00:00-06:00,211.7939337094625 V
2017-06-15T00:00:00-06:00,211.71110343933105 V
2017-06-16T00:00:00-06:00,211.49170859654745 V
2017-06-17T00:00:00-06:00,211.8165405591329 V
2017-06-18T00:00:00-06:00,212.02500931421915 V
2017-06-19T00:00:00-06:00,211.67490752538046 V
2017-06-20T00:00:00-06:00,211.50988245010376 V
2017-06-21T00:00:00-06:00,211.43291759490967 V
2017-06-22T00:00:00-06:00,211.78425931930542 V
2017-06-23T00:00:00-06:00,211.7831891377767 V
2017-06-24T00:00:00-06:00,211.9258270263672 V
2017-06-25T00:00:00-06:00,212.03705167770386 V
2017-06-26T00:00:00-06:00,211.49250650405884 V
2017-06-27T00:00:00-06:00,211.73693339029947 V
2017-06-28T00:00:00-06:00,211.62755425771078 V
2017-06-29T00:00:00-06:00,211.72470649083456 V
2017-06-30T00:00:00-06:00,211.67796198527017 V
2017-07-01T00:00:00-06:00,211.69655466079712 V
2017-07-02T00:00:00-06:00,211.8426129023234 V
2017-07-03T00:00:00-06:00,211.3981909751892 V
2017-07-04T00:00:00-06:00,211.8852661450704 V
2017-07-05T00:00:00-06:00,211.61802577972412 V
2017-07-06T00:00:00-06:00,211.58414793014526 V
2017-07-07T00:00:00-06:00,211.5930322011312 V
2017-07-08T00:00:00-06:00,211.67248312632242 V
2017-07-09T00:00:00-06:00,211.75821018218994 V
2017-07-10T00:00:00-06:00,211.61134147644043 V
2017-07-11T00:00:00-06:00,211.67866309483847 V
2017-07-12T00:00:00-06:00,211.67511955897012 V
2017-07-13T00:00:00-06:00,211.83562707901 V
2017-07-14T00:00:00-06:00,211.70969247817993 V
2017-07-15T00:00:00-06:00,211.9512675603231 V
2017-07-16T00:00:00-06:00,211.94665559132895 V
2017-07-17T00:00:00-06:00,211.65798568725586 V
2017-07-18T00:00:00-06:00,211.54764477411905 V
2017-07-19T00:00:00-06:00,211.75909821192423 V
2017-07-20T00:00:00-06:00,211.82491811116537 V
2017-07-21T00:00:00-06:00,211.6166934967041 V
2017-07-22T00:00:00-06:00,211.83895556131998 V
2017-07-23T00:00:00-06:00,211.95206928253174 V
2017-07-24T00:00:00-06:00,212.0857016245524 V
2017-07-25T00:00:00-06:00,211.89428647359213 V
2017-07-26T00:00:00-06:00,211.61808570226034 V
2017-07-27T00:00:00-06:00,211.91420316696167 V
2017-07-28T00:00:00-06:00,211.65870634714761 V
2017-07-29T00:00:00-06:00,211.88455804189047 V
2017-07-30T00:00:00-06:00,211.9361081123352 V
2017-07-31T00:00:00-06:00,211.84741322199503 V
2017-08-01T00:00:00-06:00,211.93973859151205 V
2017-08-02T00:00:00-06:00,211.43216880162558 V
2017-08-03T00:00:00-06:00,211.45943387349448 V
2017-08-04T00:00:00-06:00,211.638423710079 V
2017-08-05T00:00:00-06:00,211.83915297190347 V
2017-08-06T00:00:00-06:00,211.91994063059488 V
2017-08-07T00:00:00-06:00,211.63293504714966 V
2017-08-08T00:00:00-06:00,211.68492221832275 V
2017-08-09T00:00:00-06:00,211.46062882741293 V
2017-08-10T00:00:00-06:00,211.6475607689391 V
