Timestamp,['1cbacbc5-cfc234b4 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt B-C']
2017-10-20T00:00:00-06:00,211.39608462651572 V
2017-10-21T00:00:00-06:00,211.56160656611124 V
2017-10-22T00:00:00-06:00,211.39255968729654 V
2017-10-23T00:00:00-06:00,211.63785791397095 V
2017-10-24T00:00:00-06:00,211.44908936818442 V
2017-10-25T00:00:00-06:00,211.52029434839883 V
2017-10-26T00:00:00-06:00,211.35005251566568 V
2017-10-27T00:00:00-06:00,211.48280064264932 V
2017-10-28T00:00:00-06:00,211.41793584823608 V
2017-10-29T00:00:00-06:00,211.2966677347819 V
2017-10-30T00:00:00-06:00,211.52517731984457 V
2017-10-31T00:00:00-06:00,211.6440143585205 V
2017-11-01T00:00:00-06:00,211.17513497670492 V
2017-11-02T00:00:00-06:00,211.4922693570455 V
2017-11-03T00:00:00-06:00,211.59331226348877 V
2017-11-04T00:00:00-06:00,211.55645068486533 V
2017-11-05T00:00:00-06:00,211.6370866394043 V
2017-11-06T00:00:00-07:00,211.6664047241211 V
2017-11-07T00:00:00-07:00,211.7273310025533 V
2017-11-08T00:00:00-07:00,211.40316756566367 V
2017-11-09T00:00:00-07:00,211.25094111760458 V
2017-11-10T00:00:00-07:00,211.50107844670615 V
2017-11-11T00:00:00-07:00,211.35015201568604 V
2017-11-12T00:00:00-07:00,211.45380783081055 V
2017-11-13T00:00:00-07:00,211.4814189275106 V
2017-11-14T00:00:00-07:00,211.32465489705405 V
2017-11-15T00:00:00-07:00,210.99071820576987 V
2017-11-16T00:00:00-07:00,211.71513175964355 V
2017-11-17T00:00:00-07:00,211.42143646876016 V
2017-11-18T00:00:00-07:00,211.8021910985311 V
2017-11-19T00:00:00-07:00,212.02433141072592 V
2017-11-20T00:00:00-07:00,211.6842622756958 V
2017-11-21T00:00:00-07:00,211.22795089085898 V
2017-11-22T00:00:00-07:00,211.5636420249939 V
2017-11-23T00:00:00-07:00,211.60692024230957 V
2017-11-24T00:00:00-07:00,211.67406225204468 V
2017-11-25T00:00:00-07:00,211.54664198557535 V
2017-11-26T00:00:00-07:00,211.56790701548258 V
2017-11-27T00:00:00-07:00,211.61937459309897 V
2017-11-28T00:00:00-07:00,211.47097873687744 V
2017-11-29T00:00:00-07:00,211.40703837076822 V
2017-11-30T00:00:00-07:00,211.33943367004395 V
2017-12-01T00:00:00-07:00,211.49697589874268 V
2017-12-02T00:00:00-07:00,211.40956783294678 V
2017-12-03T00:00:00-07:00,211.3743108113607 V
2017-12-04T00:00:00-07:00,211.26393254597983 V
2017-12-05T00:00:00-07:00,211.4617927869161 V
2017-12-06T00:00:00-07:00,211.51589759190878 V
2017-12-07T00:00:00-07:00,211.64494848251343 V
2017-12-08T00:00:00-07:00,211.75911935170492 V
2017-12-09T00:00:00-07:00,211.8914376894633 V
2017-12-10T00:00:00-07:00,211.7548147837321 V
2017-12-11T00:00:00-07:00,211.460586865743 V
2017-12-12T00:00:00-07:00,211.26086028416952 V
2017-12-13T00:00:00-07:00,211.4587721824646 V
2017-12-14T00:00:00-07:00,211.644185702006 V
2017-12-15T00:00:00-07:00,211.49864943822226 V
2017-12-16T00:00:00-07:00,211.650012811025 V
2017-12-17T00:00:00-07:00,211.38235092163086 V
2017-12-18T00:00:00-07:00,211.49545271678636 V
2017-12-19T00:00:00-07:00,211.28901783625284 V
2017-12-20T00:00:00-07:00,211.55581331253052 V
2017-12-21T00:00:00-07:00,211.31462939580283 V
2017-12-22T00:00:00-07:00,211.43693351745605 V
2017-12-23T00:00:00-07:00,211.38056818644205 V
2017-12-24T00:00:00-07:00,211.4621720314026 V
2017-12-25T00:00:00-07:00,211.67879978815714 V
2017-12-26T00:00:00-07:00,211.71568393707275 V
2017-12-27T00:00:00-07:00,211.184636592865 V
2017-12-28T00:00:00-07:00,211.67830975850424 V
2017-12-29T00:00:00-07:00,211.44741201400757 V
2017-12-30T00:00:00-07:00,211.30294561386108 V
2017-12-31T00:00:00-07:00,211.18082412083945 V
