Timestamp,"['1cf8d742-d3e5c27c 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) KWH Received']"
2017-05-05T00:00:00-06:00,58.9375 kWh
2017-05-06T00:00:00-06:00,54.5625 kWh
2017-05-07T00:00:00-06:00,55.453125 kWh
2017-05-08T00:00:00-06:00,60.234375 kWh
2017-05-09T00:00:00-06:00,59.609375 kWh
2017-05-10T00:00:00-06:00,60.53125 kWh
2017-05-11T00:00:00-06:00,63.84375 kWh
2017-05-12T00:00:00-06:00,62.484375 kWh
2017-05-13T00:00:00-06:00,55.875 kWh
2017-05-14T00:00:00-06:00,55.59375 kWh
2017-05-15T00:00:00-06:00,60.953125 kWh
2017-05-16T00:00:00-06:00,60.46875 kWh
2017-05-17T00:00:00-06:00,60.546875 kWh
2017-05-18T00:00:00-06:00,60.53125 kWh
2017-05-19T00:00:00-06:00,58.71875 kWh
2017-05-20T00:00:00-06:00,54.1875 kWh
2017-05-21T00:00:00-06:00,55.125 kWh
2017-05-22T00:00:00-06:00,63.078125 kWh
2017-05-23T00:00:00-06:00,59.84375 kWh
2017-05-24T00:00:00-06:00,59.296875 kWh
2017-05-25T00:00:00-06:00,59.3125 kWh
2017-05-26T00:00:00-06:00,57.46875 kWh
2017-05-27T00:00:00-06:00,53.109375 kWh
2017-05-28T00:00:00-06:00,52.984375 kWh
2017-05-29T00:00:00-06:00,56.21875 kWh
2017-05-30T00:00:00-06:00,59.734375 kWh
2017-05-31T00:00:00-06:00,60.890625 kWh
2017-06-01T00:00:00-06:00,61 kWh
2017-06-02T00:00:00-06:00,60.328125 kWh
2017-06-03T00:00:00-06:00,55.65625 kWh
2017-06-04T00:00:00-06:00,54.4375 kWh
2017-06-05T00:00:00-06:00,61.5625 kWh
2017-06-06T00:00:00-06:00,64.5 kWh
2017-06-07T00:00:00-06:00,61.71875 kWh
2017-06-08T00:00:00-06:00,61.3125 kWh
2017-06-09T00:00:00-06:00,60.125 kWh
2017-06-10T00:00:00-06:00,55.390625 kWh
2017-06-11T00:00:00-06:00,55.6875 kWh
2017-06-12T00:00:00-06:00,61.609375 kWh
2017-06-13T00:00:00-06:00,61.625 kWh
2017-06-14T00:00:00-06:00,61.34375 kWh
2017-06-15T00:00:00-06:00,62.046875 kWh
2017-06-16T00:00:00-06:00,59.984375 kWh
2017-06-17T00:00:00-06:00,55 kWh
2017-06-18T00:00:00-06:00,54.328125 kWh
2017-06-19T00:00:00-06:00,63.890625 kWh
2017-06-20T00:00:00-06:00,61.28125 kWh
2017-06-21T00:00:00-06:00,60.6875 kWh
2017-06-22T00:00:00-06:00,60.5 kWh
2017-06-23T00:00:00-06:00,59.25 kWh
2017-06-24T00:00:00-06:00,54 kWh
2017-06-25T00:00:00-06:00,54.078125 kWh
2017-06-26T00:00:00-06:00,62.65625 kWh
2017-06-27T00:00:00-06:00,59.15625 kWh
2017-06-28T00:00:00-06:00,58.890625 kWh
2017-06-29T00:00:00-06:00,59.90625 kWh
2017-06-30T00:00:00-06:00,59 kWh
2017-07-01T00:00:00-06:00,55.46875 kWh
2017-07-02T00:00:00-06:00,55.90625 kWh
2017-07-03T00:00:00-06:00,59.15625 kWh
2017-07-04T00:00:00-06:00,55.765625 kWh
2017-07-05T00:00:00-06:00,61.4375 kWh
2017-07-06T00:00:00-06:00,62.0625 kWh
2017-07-07T00:00:00-06:00,60.78125 kWh
2017-07-08T00:00:00-06:00,56.0625 kWh
2017-07-09T00:00:00-06:00,56.296875 kWh
2017-07-10T00:00:00-06:00,62.8125 kWh
2017-07-11T00:00:00-06:00,62.109375 kWh
2017-07-12T00:00:00-06:00,62.484375 kWh
2017-07-13T00:00:00-06:00,62.5 kWh
2017-07-14T00:00:00-06:00,61.203125 kWh
2017-07-15T00:00:00-06:00,55.359375 kWh
2017-07-16T00:00:00-06:00,55.234375 kWh
2017-07-17T00:00:00-06:00,61.8125 kWh
2017-07-18T00:00:00-06:00,60.5625 kWh
2017-07-19T00:00:00-06:00,60.390625 kWh
2017-07-20T00:00:00-06:00,60.828125 kWh
2017-07-21T00:00:00-06:00,58.625 kWh
2017-07-22T00:00:00-06:00,54.53125 kWh
2017-07-23T00:00:00-06:00,54.203125 kWh
2017-07-24T00:00:00-06:00,56.796875 kWh
2017-07-25T00:00:00-06:00,60.15625 kWh
2017-07-26T00:00:00-06:00,60.171875 kWh
