Timestamp,['1cdbb639-405a7d4d 0087-THATCHER BLDG Power Meter (301205) Volts A-B']
2017-10-08T00:00:00-06:00,478.9433069229126 V
2017-10-09T00:00:00-06:00,478.60052394866943 V
2017-10-10T00:00:00-06:00,478.9381202061971 V
2017-10-11T00:00:00-06:00,478.0484229398061 V
2017-10-12T00:00:00-06:00,479.06171659581804 V
2017-10-13T00:00:00-06:00,479.0187410053454 V
2017-10-14T00:00:00-06:00,479.40432929992676 V
2017-10-15T00:00:00-06:00,479.21740531921387 V
2017-10-16T00:00:00-06:00,479.2915913263957 V
2017-10-17T00:00:00-06:00,478.73743470509845 V
2017-10-18T00:00:00-06:00,478.14211718241376 V
2017-10-19T00:00:00-06:00,478.42024326324463 V
2017-10-20T00:00:00-06:00,478.3971897761027 V
2017-10-21T00:00:00-06:00,478.43583583831787 V
2017-10-22T00:00:00-06:00,478.7699909210205 V
2017-10-23T00:00:00-06:00,478.27556292215985 V
2017-10-24T00:00:00-06:00,478.1073462168376 V
2017-10-25T00:00:00-06:00,478.20831267038983 V
2017-10-26T00:00:00-06:00,478.5992441177368 V
2017-10-27T00:00:00-06:00,478.6596387227376 V
2017-10-28T00:00:00-06:00,478.02389272054035 V
2017-10-29T00:00:00-06:00,478.56390539805096 V
2017-10-30T00:00:00-06:00,478.9785512288411 V
2017-10-31T00:00:00-06:00,478.67405287424725 V
2017-11-01T00:00:00-06:00,478.360977490743 V
2017-11-02T00:00:00-06:00,478.3974955876668 V
2017-11-03T00:00:00-06:00,478.38743948429186 V
2017-11-04T00:00:00-06:00,478.72224538702716 V
2017-11-05T00:00:00-06:00,478.3436764526367 V
2017-11-06T00:00:00-07:00,478.2031110127767 V
2017-11-07T00:00:00-07:00,478.2554569244385 V
2017-11-08T00:00:00-07:00,478.16525528278754 V
2017-11-09T00:00:00-07:00,478.71568234761554 V
2017-11-10T00:00:00-07:00,478.756210009257 V
2017-11-11T00:00:00-07:00,477.9733072916667 V
2017-11-12T00:00:00-07:00,478.4245923494038 V
2017-11-13T00:00:00-07:00,478.65800189971924 V
2017-11-14T00:00:00-07:00,479.439307530721 V
2017-11-15T00:00:00-07:00,478.6291170120239 V
2017-11-16T00:00:00-07:00,478.05838139851886 V
2017-11-17T00:00:00-07:00,478.611834526062 V
2017-11-18T00:00:00-07:00,478.83108456929523 V
2017-11-19T00:00:00-07:00,479.0909643173218 V
2017-11-20T00:00:00-07:00,478.6641683578491 V
2017-11-21T00:00:00-07:00,478.6317415237427 V
2017-11-22T00:00:00-07:00,478.2227605183919 V
2017-11-23T00:00:00-07:00,479.0629132588704 V
2017-11-24T00:00:00-07:00,478.5289249420166 V
2017-11-25T00:00:00-07:00,478.35100650787354 V
2017-11-26T00:00:00-07:00,478.8257354100545 V
2017-11-27T00:00:00-07:00,478.31221262613934 V
2017-11-28T00:00:00-07:00,478.61126041412354 V
2017-11-29T00:00:00-07:00,478.64290650685626 V
2017-11-30T00:00:00-07:00,478.99474334716797 V
2017-12-01T00:00:00-07:00,478.21075375874835 V
2017-12-02T00:00:00-07:00,478.37417157491046 V
2017-12-03T00:00:00-07:00,478.54705142974854 V
2017-12-04T00:00:00-07:00,478.79995886484784 V
2017-12-05T00:00:00-07:00,478.37411562601727 V
2017-12-06T00:00:00-07:00,477.8978370030721 V
2017-12-07T00:00:00-07:00,477.895832379659 V
2017-12-08T00:00:00-07:00,477.87286408742267 V
2017-12-09T00:00:00-07:00,478.7964741388957 V
2017-12-10T00:00:00-07:00,478.68877538045246 V
2017-12-11T00:00:00-07:00,478.79807980855304 V
2017-12-12T00:00:00-07:00,478.1523383458455 V
2017-12-13T00:00:00-07:00,479.1957057317098 V
2017-12-14T00:00:00-07:00,478.53486006887334 V
