Timestamp,['1cca75fa-f197097b 0062-WARNOCK ENGR BLDG Power Meter 316607 Volts CA']
2017-02-09T00:00:00-07:00,491.0104166666667 V
2017-02-10T00:00:00-07:00,491.5729166666667 V
2017-02-11T00:00:00-07:00,491.8333333333333 V
2017-02-12T00:00:00-07:00,491.2604166666667 V
2017-02-13T00:00:00-07:00,491.7708333333333 V
2017-02-14T00:00:00-07:00,491.7894736842105 V
2017-02-15T00:00:00-07:00,491.7395833333333 V
2017-02-16T00:00:00-07:00,491.53125 V
2017-02-17T00:00:00-07:00,491.9895833333333 V
2017-02-18T00:00:00-07:00,491.7083333333333 V
2017-02-19T00:00:00-07:00,491.8229166666667 V
2017-02-20T00:00:00-07:00,491.2604166666667 V
2017-02-21T00:00:00-07:00,491.125 V
2017-02-22T00:00:00-07:00,491.6458333333333 V
2017-02-23T00:00:00-07:00,491.5208333333333 V
2017-02-24T00:00:00-07:00,491.4805194805195 V
2017-02-25T00:00:00-07:00,491.6354166666667 V
2017-02-26T00:00:00-07:00,492.3020833333333 V
2017-02-27T00:00:00-07:00,492.1458333333333 V
2017-02-28T00:00:00-07:00,491.5520833333333 V
2017-03-01T00:00:00-07:00,491.6666666666667 V
2017-03-02T00:00:00-07:00,491.6354166666667 V
2017-03-03T00:00:00-07:00,491.0416666666667 V
2017-03-04T00:00:00-07:00,491.0104166666667 V
2017-03-05T00:00:00-07:00,491.1145833333333 V
2017-03-06T00:00:00-07:00,491.1458333333333 V
2017-03-07T00:00:00-07:00,491.4791666666667 V
2017-03-08T00:00:00-07:00,491.6458333333333 V
2017-03-09T00:00:00-07:00,491.25 V
2017-03-10T00:00:00-07:00,491.3541666666667 V
2017-03-11T00:00:00-07:00,491.625 V
2017-03-12T00:00:00-07:00,491.07608695652175 V
2017-03-13T00:00:00-06:00,491.5104166666667 V
2017-03-14T00:00:00-06:00,491.2708333333333 V
2017-03-15T00:00:00-06:00,490.7083333333333 V
2017-03-16T00:00:00-06:00,491.6979166666667 V
2017-03-17T00:00:00-06:00,490.90625 V
2017-03-18T00:00:00-06:00,491.59375 V
2017-03-19T00:00:00-06:00,490.96875 V
2017-03-20T00:00:00-06:00,490.8541666666667 V
2017-03-21T00:00:00-06:00,490.8229166666667 V
2017-03-22T00:00:00-06:00,490.9479166666667 V
2017-03-23T00:00:00-06:00,491.6354166666667 V
2017-03-24T00:00:00-06:00,491.8333333333333 V
2017-03-25T00:00:00-06:00,492.0520833333333 V
2017-03-26T00:00:00-06:00,491.2083333333333 V
2017-03-27T00:00:00-06:00,491.5 V
2017-03-28T00:00:00-06:00,491.8020833333333 V
2017-03-29T00:00:00-06:00,491.5138888888889 V
2017-03-30T00:00:00-06:00,491.25 V
2017-03-31T00:00:00-06:00,491.5625 V
2017-04-01T00:00:00-06:00,491.69473684210527 V
2017-04-02T00:00:00-06:00,492.1979166666667 V
2017-04-03T00:00:00-06:00,491.6041666666667 V
2017-04-04T00:00:00-06:00,491.6770833333333 V
2017-04-05T00:00:00-06:00,491.1979166666667 V
2017-04-06T00:00:00-06:00,490.8125 V
2017-04-07T00:00:00-06:00,491.2395833333333 V
2017-04-08T00:00:00-06:00,491.9270833333333 V
2017-04-09T00:00:00-06:00,492.4375 V
2017-04-10T00:00:00-06:00,491.53125 V
2017-04-11T00:00:00-06:00,491.375 V
2017-04-12T00:00:00-06:00,490.9375 V
2017-04-13T00:00:00-06:00,490.625 V
2017-04-14T00:00:00-06:00,491.4270833333333 V
2017-04-15T00:00:00-06:00,490.8020833333333 V
2017-04-16T00:00:00-06:00,491.96875 V
2017-04-17T00:00:00-06:00,491.1041666666667 V
2017-04-18T00:00:00-06:00,491.0416666666667 V
2017-04-19T00:00:00-06:00,491.9270833333333 V
2017-04-20T00:00:00-06:00,492.40625 V
2017-04-21T00:00:00-06:00,491.8541666666667 V
2017-04-22T00:00:00-06:00,492.1145833333333 V
2017-04-23T00:00:00-06:00,491.9375 V
2017-04-24T00:00:00-06:00,492.6041666666667 V
2017-04-25T00:00:00-06:00,492.375 V
2017-04-26T00:00:00-06:00,492.15625 V
2017-04-27T00:00:00-06:00,492.8645833333333 V
2017-04-28T00:00:00-06:00,492.3229166666667 V
2017-04-29T00:00:00-06:00,492.82105263157894 V
2017-04-30T00:00:00-06:00,492.17894736842106 V
2017-05-01T00:00:00-06:00,492.0416666666667 V
2017-05-02T00:00:00-06:00,491.9270833333333 V
2017-05-03T00:00:00-06:00,492.25 V
2017-05-04T00:00:00-06:00,492.1979166666667 V
2017-05-05T00:00:00-06:00,492.3541666666667 V
2017-05-06T00:00:00-06:00,491.96875 V
2017-05-07T00:00:00-06:00,492.0625 V
2017-05-08T00:00:00-06:00,492.1979166666667 V
2017-05-09T00:00:00-06:00,492.0104166666667 V
2017-05-10T00:00:00-06:00,491.8541666666667 V
2017-05-11T00:00:00-06:00,491.5416666666667 V
2017-05-12T00:00:00-06:00,492.15625 V
2017-05-13T00:00:00-06:00,492.8333333333333 V
2017-05-14T00:00:00-06:00,491.6145833333333 V
2017-05-15T00:00:00-06:00,491.8541666666667 V
2017-05-16T00:00:00-06:00,492.15625 V
2017-05-17T00:00:00-06:00,493.0729166666667 V
