Timestamp,['1ce63e55-d53118c4 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts CN']
2017-04-30T00:00:00-06:00,122.3662519454956 V
2017-05-01T00:00:00-06:00,122.38805143038432 V
2017-05-02T00:00:00-06:00,122.34543689092 V
2017-05-03T00:00:00-06:00,122.41118280092876 V
2017-05-04T00:00:00-06:00,122.45885912577312 V
2017-05-05T00:00:00-06:00,122.50583656628926 V
2017-05-06T00:00:00-06:00,122.39973560969035 V
2017-05-07T00:00:00-06:00,122.47064224878947 V
2017-05-08T00:00:00-06:00,122.47279068796259 V
2017-05-09T00:00:00-06:00,122.54940247535706 V
2017-05-10T00:00:00-06:00,122.41584078470866 V
2017-05-11T00:00:00-06:00,122.32365902264912 V
2017-05-12T00:00:00-06:00,122.4709149201711 V
2017-05-13T00:00:00-06:00,122.54553874333699 V
2017-05-14T00:00:00-06:00,122.26424217224121 V
2017-05-15T00:00:00-06:00,122.41602158546448 V
2017-05-16T00:00:00-06:00,122.48146367073059 V
2017-05-17T00:00:00-06:00,122.47867846488953 V
2017-05-18T00:00:00-06:00,122.32958014806111 V
2017-05-19T00:00:00-06:00,122.60677512486775 V
2017-05-20T00:00:00-06:00,122.49783770243327 V
2017-05-21T00:00:00-06:00,122.4750629266103 V
2017-05-22T00:00:00-06:00,122.52869097391765 V
2017-05-23T00:00:00-06:00,122.39288743336995 V
2017-05-24T00:00:00-06:00,122.43493580818176 V
2017-05-25T00:00:00-06:00,122.43429001172383 V
2017-05-26T00:00:00-06:00,122.45692094167073 V
2017-05-27T00:00:00-06:00,122.44892366727193 V
2017-05-28T00:00:00-06:00,122.5313310623169 V
2017-05-29T00:00:00-06:00,122.5222733815511 V
2017-05-30T00:00:00-06:00,122.54641803105672 V
2017-05-31T00:00:00-06:00,122.41787656148274 V
2017-06-01T00:00:00-06:00,122.56064375241597 V
2017-06-02T00:00:00-06:00,122.48207465807597 V
2017-06-03T00:00:00-06:00,122.48400314648946 V
2017-06-04T00:00:00-06:00,122.46266293525696 V
2017-06-05T00:00:00-06:00,122.35984651247661 V
2017-06-06T00:00:00-06:00,122.41803630193074 V
2017-06-07T00:00:00-06:00,122.46700437863667 V
2017-06-08T00:00:00-06:00,122.4713683128357 V
2017-06-09T00:00:00-06:00,122.37934406598409 V
2017-06-10T00:00:00-06:00,122.26775527000427 V
2017-06-11T00:00:00-06:00,122.44271270434062 V
2017-06-12T00:00:00-06:00,122.4255542755127 V
2017-06-13T00:00:00-06:00,122.43130763371785 V
2017-06-14T00:00:00-06:00,122.3352865378062 V
2017-06-15T00:00:00-06:00,122.36043993631999 V
2017-06-16T00:00:00-06:00,122.39515813191731 V
2017-06-17T00:00:00-06:00,122.44485926628113 V
2017-06-18T00:00:00-06:00,122.5047550201416 V
2017-06-19T00:00:00-06:00,122.36517294247945 V
