Timestamp,['20767dd1-40de88af 0011-BROWNING BLDG Power Meter 300033 Current C']
2017-07-30T00:00:00-06:00,571.0634107589722 A
2017-07-31T00:00:00-06:00,597.0995105107626 A
2017-08-01T00:00:00-06:00,608.7289250691732 A
2017-08-02T00:00:00-06:00,598.4311059316 A
2017-08-03T00:00:00-06:00,601.2931900024414 A
2017-08-04T00:00:00-06:00,606.2660301124656 A
2017-08-05T00:00:00-06:00,584.4814046223959 A
2017-08-06T00:00:00-06:00,562.8210481007894 A
2017-08-07T00:00:00-06:00,571.2281262079874 A
2017-08-08T00:00:00-06:00,568.5485989252726 A
2017-08-09T00:00:00-06:00,567.0119396845499 A
2017-08-10T00:00:00-06:00,554.2245814546626 A
2017-08-11T00:00:00-06:00,574.1716803299753 A
2017-08-12T00:00:00-06:00,556.8913402557373 A
2017-08-13T00:00:00-06:00,560.1963109970093 A
2017-08-14T00:00:00-06:00,560.7881984710693 A
2017-08-15T00:00:00-06:00,533.6915397644043 A
2017-08-16T00:00:00-06:00,538.4671462376913 A
2017-08-17T00:00:00-06:00,556.0599161783854 A
2017-08-18T00:00:00-06:00,556.2478119532267 A
2017-08-19T00:00:00-06:00,543.6904373168945 A
2017-08-20T00:00:00-06:00,554.0889097849528 A
2017-08-21T00:00:00-06:00,567.1764278411865 A
2017-08-22T00:00:00-06:00,566.905514717102 A
2017-08-23T00:00:00-06:00,564.9122228622437 A
2017-08-24T00:00:00-06:00,558.3860308329264 A
2017-08-25T00:00:00-06:00,569.3925835291544 A
2017-08-26T00:00:00-06:00,562.6863358815511 A
2017-08-27T00:00:00-06:00,560.0897674560547 A
2017-08-28T00:00:00-06:00,582.7163827547463 A
2017-08-29T00:00:00-06:00,591.5824132119455 A
2017-08-30T00:00:00-06:00,602.7615807851156 A
2017-08-31T00:00:00-06:00,580.7984298070272 A
2017-09-01T00:00:00-06:00,567.3331893285116 A
2017-09-02T00:00:00-06:00,547.4493109385172 A
2017-09-03T00:00:00-06:00,557.1526823043823 A
2017-09-04T00:00:00-06:00,564.8636382420858 A
2017-09-05T00:00:00-06:00,593.1035912831625 A
2017-09-06T00:00:00-06:00,583.6050335566202 A
2017-09-07T00:00:00-06:00,587.861315091451 A
2017-09-08T00:00:00-06:00,577.0738048553467 A
2017-09-09T00:00:00-06:00,545.9495156606039 A
2017-09-10T00:00:00-06:00,546.8079080581665 A
2017-09-11T00:00:00-06:00,575.4061689376831 A
2017-09-12T00:00:00-06:00,575.5673666000366 A
2017-09-13T00:00:00-06:00,569.0125977198282 A
2017-09-14T00:00:00-06:00,540.76060962677 A
2017-09-15T00:00:00-06:00,463.1697082519531 A
2017-09-16T00:00:00-06:00,384.1496334075928 A
2017-09-17T00:00:00-06:00,409.6541829109192 A
2017-09-18T00:00:00-06:00,530.4017655054728 A
2017-09-19T00:00:00-06:00,422.07475741704303 A
2017-09-20T00:00:00-06:00,413.5346212387085 A
2017-09-21T00:00:00-06:00,364.7077309290568 A
2017-09-22T00:00:00-06:00,292.6949249903361 A
2017-09-23T00:00:00-06:00,285.6033852895101 A
2017-09-24T00:00:00-06:00,292.400110244751 A
2017-09-25T00:00:00-06:00,343.524803797404 A
2017-09-26T00:00:00-06:00,396.6072422663371 A
2017-09-27T00:00:00-06:00,494.85079129536945 A
2017-09-28T00:00:00-06:00,506.5683314005534 A
2017-09-29T00:00:00-06:00,503.6794678370158 A
2017-09-30T00:00:00-06:00,476.4211591084798 A
2017-10-01T00:00:00-06:00,315.38077481587726 A
2017-10-02T00:00:00-06:00,292.47030607859296 A
2017-10-03T00:00:00-06:00,377.79591878255206 A
2017-10-04T00:00:00-06:00,475.42495822906494 A
2017-10-05T00:00:00-06:00,357.4582058588664 A
2017-10-06T00:00:00-06:00,368.7889898618062 A
2017-10-07T00:00:00-06:00,410.18982187906903 A
2017-10-08T00:00:00-06:00,316.7180414199829 A
2017-10-09T00:00:00-06:00,299.3403968811035 A
2017-10-10T00:00:00-06:00,358.4950262705485 A
2017-10-11T00:00:00-06:00,426.8754227956136 A
2017-10-12T00:00:00-06:00,337.519509156545 A
2017-10-13T00:00:00-06:00,355.0644464492798 A
2017-10-14T00:00:00-06:00,282.76073964436847 A
2017-10-15T00:00:00-06:00,312.51619148254395 A
2017-10-16T00:00:00-06:00,350.5374313990275 A
2017-10-17T00:00:00-06:00,389.63521607716876 A
2017-10-18T00:00:00-06:00,424.0637906392415 A
2017-10-19T00:00:00-06:00,457.26669947306317 A
2017-10-20T00:00:00-06:00,415.29289531707764 A
