Timestamp,['1cc408f0-50eff05b 0008-EMERY BLDG Power Meter 300026 Volts CN']
2017-10-22T00:00:00-06:00,121.63411458333333 V
2017-10-23T00:00:00-06:00,121.3056640625 V
2017-10-24T00:00:00-06:00,121.27083333333333 V
2017-10-25T00:00:00-06:00,121.26155598958333 V
2017-10-26T00:00:00-06:00,121.43717447916667 V
2017-10-27T00:00:00-06:00,121.44596354166667 V
2017-10-28T00:00:00-06:00,121.42073567708333 V
2017-10-29T00:00:00-06:00,121.47867838541667 V
2017-10-30T00:00:00-06:00,121.46175130208333 V
2017-10-31T00:00:00-06:00,121.35953776041667 V
2017-11-01T00:00:00-06:00,121.24788411458333 V
2017-11-02T00:00:00-06:00,121.23274739583333 V
2017-11-03T00:00:00-06:00,121.27018229166667 V
2017-11-04T00:00:00-06:00,121.50455729166667 V
2017-11-05T00:00:00-06:00,121.4015625 V
2017-11-06T00:00:00-07:00,121.2177734375 V
2017-11-07T00:00:00-07:00,121.13053385416667 V
2017-11-08T00:00:00-07:00,121.1416015625 V
2017-11-09T00:00:00-07:00,121.26041666666667 V
2017-11-10T00:00:00-07:00,121.25992838541667 V
2017-11-11T00:00:00-07:00,121.08251953125 V
2017-11-12T00:00:00-07:00,121.10888671875 V
2017-11-13T00:00:00-07:00,121.1630859375 V
2017-11-14T00:00:00-07:00,121.41064453125 V
2017-11-15T00:00:00-07:00,121.24055989583333 V
2017-11-16T00:00:00-07:00,121.16227213541667 V
2017-11-17T00:00:00-07:00,121.2099609375 V
2017-11-18T00:00:00-07:00,121.51220703125 V
2017-11-19T00:00:00-07:00,121.52099609375 V
2017-11-20T00:00:00-07:00,121.30094401041667 V
2017-11-21T00:00:00-07:00,121.28255208333333 V
2017-11-22T00:00:00-07:00,121.19254557291667 V
2017-11-23T00:00:00-07:00,121.51643880208333 V
2017-11-24T00:00:00-07:00,121.34212239583333 V
2017-11-25T00:00:00-07:00,121.40706380208333 V
2017-11-26T00:00:00-07:00,121.47477213541667 V
2017-11-27T00:00:00-07:00,121.19156901041667 V
2017-11-28T00:00:00-07:00,121.25634765625 V
2017-11-29T00:00:00-07:00,121.37076822916667 V
2017-11-30T00:00:00-07:00,121.4267578125 V
2017-12-01T00:00:00-07:00,121.27555338541667 V
2017-12-02T00:00:00-07:00,121.38427734375 V
2017-12-03T00:00:00-07:00,121.39029947916667 V
2017-12-04T00:00:00-07:00,121.27213541666667 V
2017-12-05T00:00:00-07:00,121.20638020833333 V
2017-12-06T00:00:00-07:00,121.0478515625 V
2017-12-07T00:00:00-07:00,121.02376302083333 V
2017-12-08T00:00:00-07:00,121.05403645833333 V
2017-12-09T00:00:00-07:00,121.40543619791667 V
2017-12-10T00:00:00-07:00,121.34163411458333 V
2017-12-11T00:00:00-07:00,121.302734375 V
2017-12-12T00:00:00-07:00,121.15657552083333 V
2017-12-13T00:00:00-07:00,121.38655598958333 V
2017-12-14T00:00:00-07:00,121.24576822916667 V
2017-12-15T00:00:00-07:00,121.31233723958333 V
2017-12-16T00:00:00-07:00,121.35660807291667 V
2017-12-17T00:00:00-07:00,121.39176432291667 V
2017-12-18T00:00:00-07:00,121.44842069892474 V
2017-12-19T00:00:00-07:00,121.33951822916667 V
2017-12-20T00:00:00-07:00,121.37483723958333 V
2017-12-21T00:00:00-07:00,121.27506510416667 V
2017-12-22T00:00:00-07:00,121.37581380208333 V
2017-12-23T00:00:00-07:00,121.15462239583333 V
2017-12-24T00:00:00-07:00,121.42828947368422 V
2017-12-25T00:00:00-07:00,121.29443359375 V
2017-12-26T00:00:00-07:00,121.35091145833333 V
2017-12-27T00:00:00-07:00,121.4033203125 V
2017-12-28T00:00:00-07:00,121.35563151041667 V
2017-12-29T00:00:00-07:00,121.3408203125 V
2017-12-30T00:00:00-07:00,121.40950520833333 V
2017-12-31T00:00:00-07:00,121.39306640625 V
