Timestamp,['1cdbb63d-c397d0bb 0087-THATCHER BLDG Power Meter (301205) Volts A-N']
2017-10-09T00:00:00-06:00,276.4932985305786 V
2017-10-10T00:00:00-06:00,276.63252544403076 V
2017-10-11T00:00:00-06:00,276.1207837943571 V
2017-10-12T00:00:00-06:00,276.6850488999311 V
2017-10-13T00:00:00-06:00,276.68144338507403 V
2017-10-14T00:00:00-06:00,276.93289216359454 V
2017-10-15T00:00:00-06:00,276.82560634613037 V
2017-10-16T00:00:00-06:00,276.86700534820557 V
2017-10-17T00:00:00-06:00,276.5246289571126 V
2017-10-18T00:00:00-06:00,276.16642157236737 V
2017-10-19T00:00:00-06:00,276.40059693654376 V
2017-10-20T00:00:00-06:00,276.3950777053833 V
2017-10-21T00:00:00-06:00,276.39982986450195 V
2017-10-22T00:00:00-06:00,276.5689169565837 V
2017-10-23T00:00:00-06:00,276.3047691980998 V
2017-10-24T00:00:00-06:00,276.1701243718465 V
2017-10-25T00:00:00-06:00,276.24210770924884 V
2017-10-26T00:00:00-06:00,276.4466139475505 V
2017-10-27T00:00:00-06:00,276.5324764251709 V
2017-10-28T00:00:00-06:00,276.12877623240155 V
2017-10-29T00:00:00-06:00,276.4165376027425 V
2017-10-30T00:00:00-06:00,276.6891107559204 V
2017-10-31T00:00:00-06:00,276.53311189015704 V
2017-11-01T00:00:00-06:00,276.3159348169963 V
2017-11-02T00:00:00-06:00,276.30094718933105 V
2017-11-03T00:00:00-06:00,276.32785553627826 V
2017-11-04T00:00:00-06:00,276.56472457082646 V
2017-11-05T00:00:00-06:00,276.3191949462891 V
2017-11-06T00:00:00-07:00,276.22052637736004 V
2017-11-07T00:00:00-07:00,276.2428633371989 V
2017-11-08T00:00:00-07:00,276.1771931749709 V
2017-11-09T00:00:00-07:00,276.43292172749835 V
2017-11-10T00:00:00-07:00,276.5304133097331 V
2017-11-11T00:00:00-07:00,276.09928035736084 V
2017-11-12T00:00:00-07:00,276.3223488255551 V
2017-11-13T00:00:00-07:00,276.47539647420246 V
2017-11-14T00:00:00-07:00,276.8807125091553 V
2017-11-15T00:00:00-07:00,276.4707628885905 V
2017-11-16T00:00:00-07:00,276.1062873204549 V
2017-11-17T00:00:00-07:00,276.4699424107869 V
2017-11-18T00:00:00-07:00,276.6543420155843 V
2017-11-19T00:00:00-07:00,276.7547146479289 V
2017-11-20T00:00:00-07:00,276.522084236145 V
2017-11-21T00:00:00-07:00,276.46350415547687 V
2017-11-22T00:00:00-07:00,276.2200225194295 V
2017-11-23T00:00:00-07:00,276.693159421285 V
2017-11-24T00:00:00-07:00,276.363600730896 V
2017-11-25T00:00:00-07:00,276.30456415812176 V
2017-11-26T00:00:00-07:00,276.55067284901935 V
2017-11-27T00:00:00-07:00,276.3154363632202 V
2017-11-28T00:00:00-07:00,276.48756408691406 V
2017-11-29T00:00:00-07:00,276.51648330688477 V
2017-11-30T00:00:00-07:00,276.7589054107666 V
2017-12-01T00:00:00-07:00,276.32356611887616 V
2017-12-02T00:00:00-07:00,276.36877886454266 V
2017-12-03T00:00:00-07:00,276.4500853220622 V
2017-12-04T00:00:00-07:00,276.62515513102215 V
2017-12-05T00:00:00-07:00,276.34739176432294 V
2017-12-06T00:00:00-07:00,276.09739176432294 V
2017-12-07T00:00:00-07:00,276.07971413930255 V
2017-12-08T00:00:00-07:00,276.1180893580119 V
2017-12-09T00:00:00-07:00,276.6539560953776 V
2017-12-10T00:00:00-07:00,276.57925097147626 V
2017-12-11T00:00:00-07:00,276.5492664972941 V
2017-12-12T00:00:00-07:00,276.2193593978882 V
2017-12-13T00:00:00-07:00,276.78865750630695 V
2017-12-14T00:00:00-07:00,276.4053746273643 V
2017-12-15T00:00:00-07:00,276.33650398254395 V
2017-12-16T00:00:00-07:00,276.4934085210164 V
2017-12-17T00:00:00-07:00,276.51558049519855 V
2017-12-18T00:00:00-07:00,276.7333649016999 V
2017-12-19T00:00:00-07:00,276.5786854426066 V
2017-12-20T00:00:00-07:00,276.44896539052326 V
2017-12-21T00:00:00-07:00,276.4650462468465 V
2017-12-22T00:00:00-07:00,276.6444304784139 V
2017-12-23T00:00:00-07:00,276.199992497762 V
2017-12-24T00:00:00-07:00,276.76791826883954 V
2017-12-25T00:00:00-07:00,276.49885018666583 V
2017-12-26T00:00:00-07:00,276.57218583424884 V
2017-12-27T00:00:00-07:00,276.5989662806193 V
2017-12-28T00:00:00-07:00,276.5253156026204 V
2017-12-29T00:00:00-07:00,276.38712215423584 V
2017-12-30T00:00:00-07:00,276.29573408762616 V
2017-12-31T00:00:00-07:00,276.3555040359497 V
