Timestamp,['1cd68442-7e9dc588 Power Meter (HV) (316610) KWH Received']
2017-05-15T00:00:00-06:00,2184 kWh
2017-05-16T00:00:00-06:00,2186 kWh
2017-05-17T00:00:00-06:00,1718 kWh
2017-05-18T00:00:00-06:00,1628 kWh
2017-05-19T00:00:00-06:00,1776 kWh
2017-05-20T00:00:00-06:00,1904 kWh
2017-05-21T00:00:00-06:00,1952 kWh
2017-05-22T00:00:00-06:00,1950 kWh
2017-05-23T00:00:00-06:00,2200 kWh
2017-05-24T00:00:00-06:00,2442 kWh
2017-05-25T00:00:00-06:00,2000 kWh
2017-05-26T00:00:00-06:00,1862 kWh
2017-05-27T00:00:00-06:00,1798 kWh
2017-05-28T00:00:00-06:00,2162 kWh
2017-05-29T00:00:00-06:00,1592 kWh
2017-05-30T00:00:00-06:00,2016 kWh
2017-05-31T00:00:00-06:00,2250 kWh
2017-06-01T00:00:00-06:00,2192 kWh
2017-06-02T00:00:00-06:00,2052 kWh
2017-06-03T00:00:00-06:00,2444 kWh
2017-06-04T00:00:00-06:00,2416 kWh
2017-06-05T00:00:00-06:00,2202 kWh
2017-06-06T00:00:00-06:00,2350 kWh
2017-06-07T00:00:00-06:00,2412 kWh
2017-06-08T00:00:00-06:00,2388 kWh
2017-06-09T00:00:00-06:00,2236 kWh
2017-06-10T00:00:00-06:00,2078 kWh
2017-06-11T00:00:00-06:00,2238 kWh
2017-06-12T00:00:00-06:00,2068 kWh
2017-06-13T00:00:00-06:00,1854 kWh
2017-06-14T00:00:00-06:00,2298 kWh
2017-06-15T00:00:00-06:00,2310 kWh
2017-06-16T00:00:00-06:00,2328 kWh
2017-06-17T00:00:00-06:00,2400 kWh
2017-06-18T00:00:00-06:00,1700 kWh
2017-06-19T00:00:00-06:00,2348 kWh
2017-06-20T00:00:00-06:00,2866 kWh
2017-06-21T00:00:00-06:00,2814 kWh
2017-06-22T00:00:00-06:00,2608 kWh
2017-06-23T00:00:00-06:00,2566 kWh
2017-06-24T00:00:00-06:00,2592 kWh
2017-06-25T00:00:00-06:00,2676 kWh
2017-06-26T00:00:00-06:00,2850 kWh
2017-06-27T00:00:00-06:00,2850 kWh
2017-06-28T00:00:00-06:00,2690 kWh
2017-06-29T00:00:00-06:00,2506 kWh
2017-06-30T00:00:00-06:00,2530 kWh
2017-07-01T00:00:00-06:00,2604 kWh
2017-07-02T00:00:00-06:00,2702 kWh
2017-07-03T00:00:00-06:00,2862 kWh
2017-07-04T00:00:00-06:00,2814 kWh
2017-07-05T00:00:00-06:00,2952 kWh
2017-07-06T00:00:00-06:00,2940 kWh
2017-07-07T00:00:00-06:00,2952 kWh
2017-07-08T00:00:00-06:00,2930 kWh
2017-07-09T00:00:00-06:00,2864 kWh
2017-07-10T00:00:00-06:00,2950 kWh
2017-07-11T00:00:00-06:00,2926 kWh
2017-07-12T00:00:00-06:00,2888 kWh
2017-07-13T00:00:00-06:00,2916 kWh
2017-07-14T00:00:00-06:00,2858 kWh
2017-07-15T00:00:00-06:00,2930 kWh
2017-07-16T00:00:00-06:00,2956 kWh
2017-07-17T00:00:00-06:00,2956 kWh
2017-07-18T00:00:00-06:00,3062 kWh
2017-07-19T00:00:00-06:00,3078 kWh
2017-07-20T00:00:00-06:00,3058 kWh
2017-07-21T00:00:00-06:00,3006 kWh
2017-07-22T00:00:00-06:00,2966 kWh
2017-07-23T00:00:00-06:00,2984 kWh
2017-07-24T00:00:00-06:00,3002 kWh
2017-07-25T00:00:00-06:00,3024 kWh
2017-07-26T00:00:00-06:00,3086 kWh
2017-07-27T00:00:00-06:00,2932 kWh
2017-07-28T00:00:00-06:00,2958 kWh
2017-07-29T00:00:00-06:00,2834 kWh
2017-07-30T00:00:00-06:00,2890 kWh
2017-07-31T00:00:00-06:00,2980 kWh
2017-08-01T00:00:00-06:00,3044 kWh
2017-08-02T00:00:00-06:00,2972 kWh
2017-08-03T00:00:00-06:00,2988 kWh
2017-08-04T00:00:00-06:00,2992 kWh
2017-08-05T00:00:00-06:00,2930 kWh
2017-08-06T00:00:00-06:00,2874 kWh
2017-08-07T00:00:00-06:00,2960 kWh
2017-08-08T00:00:00-06:00,2840 kWh
2017-08-09T00:00:00-06:00,2926 kWh
2017-08-10T00:00:00-06:00,2914 kWh
2017-08-11T00:00:00-06:00,2914 kWh
2017-08-12T00:00:00-06:00,2880 kWh
2017-08-13T00:00:00-06:00,2866 kWh
2017-08-14T00:00:00-06:00,2860 kWh
2017-08-15T00:00:00-06:00,2728 kWh
2017-08-16T00:00:00-06:00,2744 kWh
2017-08-17T00:00:00-06:00,2824 kWh
2017-08-18T00:00:00-06:00,2832 kWh
2017-08-19T00:00:00-06:00,2790 kWh
2017-08-20T00:00:00-06:00,2814 kWh
2017-08-21T00:00:00-06:00,2798 kWh
2017-08-22T00:00:00-06:00,2866 kWh
2017-08-23T00:00:00-06:00,2860 kWh
2017-08-24T00:00:00-06:00,2876 kWh
2017-08-25T00:00:00-06:00,2876 kWh
2017-08-26T00:00:00-06:00,2870 kWh
2017-08-27T00:00:00-06:00,2788 kWh
2017-08-28T00:00:00-06:00,3014 kWh
2017-08-29T00:00:00-06:00,2880 kWh
2017-08-30T00:00:00-06:00,2948 kWh
2017-08-31T00:00:00-06:00,2522 kWh
2017-09-01T00:00:00-06:00,2292 kWh
2017-09-02T00:00:00-06:00,2262 kWh
2017-09-03T00:00:00-06:00,2328 kWh
2017-09-04T00:00:00-06:00,2340 kWh
2017-09-05T00:00:00-06:00,2414 kWh
2017-09-06T00:00:00-06:00,2400 kWh
2017-09-07T00:00:00-06:00,2288 kWh
2017-09-08T00:00:00-06:00,2402 kWh
2017-09-09T00:00:00-06:00,2196 kWh
2017-09-10T00:00:00-06:00,2202 kWh
2017-09-11T00:00:00-06:00,2330 kWh
2017-09-12T00:00:00-06:00,2324 kWh
2017-09-13T00:00:00-06:00,2510 kWh
2017-09-14T00:00:00-06:00,2492 kWh
2017-09-15T00:00:00-06:00,2250 kWh
2017-09-16T00:00:00-06:00,2106 kWh
2017-09-17T00:00:00-06:00,2246 kWh
2017-09-18T00:00:00-06:00,2316 kWh
2017-09-19T00:00:00-06:00,1808 kWh
2017-09-20T00:00:00-06:00,1940 kWh
2017-09-21T00:00:00-06:00,1826 kWh
2017-09-22T00:00:00-06:00,1608 kWh
2017-09-23T00:00:00-06:00,1666 kWh
2017-09-24T00:00:00-06:00,1648 kWh
2017-09-25T00:00:00-06:00,1870 kWh
2017-09-26T00:00:00-06:00,1886 kWh
2017-09-27T00:00:00-06:00,2162 kWh
2017-09-28T00:00:00-06:00,2182 kWh
2017-09-29T00:00:00-06:00,2196 kWh
2017-09-30T00:00:00-06:00,2100 kWh
2017-10-01T00:00:00-06:00,1944 kWh
2017-10-02T00:00:00-06:00,1568 kWh
2017-10-03T00:00:00-06:00,1788 kWh
2017-10-04T00:00:00-06:00,2018 kWh
2017-10-05T00:00:00-06:00,1878 kWh
2017-10-06T00:00:00-06:00,1886 kWh
2017-10-07T00:00:00-06:00,1962 kWh
2017-10-08T00:00:00-06:00,1716 kWh
2017-10-09T00:00:00-06:00,1634 kWh
2017-10-10T00:00:00-06:00,1764 kWh
2017-10-11T00:00:00-06:00,2014 kWh
2017-10-12T00:00:00-06:00,1808 kWh
2017-10-13T00:00:00-06:00,1946 kWh
2017-10-14T00:00:00-06:00,1714 kWh
2017-10-15T00:00:00-06:00,1556 kWh
2017-10-16T00:00:00-06:00,1812 kWh
2017-10-17T00:00:00-06:00,2048 kWh
2017-10-18T00:00:00-06:00,2096 kWh
2017-10-19T00:00:00-06:00,2118 kWh
2017-10-20T00:00:00-06:00,2070 kWh
2017-10-21T00:00:00-06:00,1650 kWh
2017-10-22T00:00:00-06:00,1768 kWh
2017-10-23T00:00:00-06:00,2044 kWh
2017-10-24T00:00:00-06:00,2064 kWh
2017-10-25T00:00:00-06:00,1946 kWh
2017-10-26T00:00:00-06:00,2032 kWh
2017-10-27T00:00:00-06:00,2024 kWh
2017-10-28T00:00:00-06:00,2014 kWh
2017-10-29T00:00:00-06:00,2018 kWh
2017-10-30T00:00:00-06:00,1636 kWh
2017-10-31T00:00:00-06:00,1594 kWh
2017-11-01T00:00:00-06:00,1826 kWh
2017-11-02T00:00:00-06:00,1986 kWh
2017-11-03T00:00:00-06:00,2046 kWh
2017-11-04T00:00:00-06:00,1754 kWh
2017-11-05T00:00:00-06:00,1598 kWh
2017-11-06T00:00:00-07:00,1474 kWh
2017-11-07T00:00:00-07:00,1480 kWh
2017-11-08T00:00:00-07:00,1484 kWh
2017-11-09T00:00:00-07:00,1612 kWh
2017-11-10T00:00:00-07:00,1630 kWh
2017-11-11T00:00:00-07:00,1584 kWh
2017-11-12T00:00:00-07:00,1632 kWh
2017-11-13T00:00:00-07:00,1608 kWh
2017-11-14T00:00:00-07:00,1516 kWh
2017-11-15T00:00:00-07:00,1516 kWh
2017-11-16T00:00:00-07:00,2002 kWh
2017-11-17T00:00:00-07:00,1658 kWh
2017-11-18T00:00:00-07:00,1698 kWh
2017-11-19T00:00:00-07:00,1742 kWh
2017-11-20T00:00:00-07:00,1770 kWh
2017-11-21T00:00:00-07:00,1870 kWh
2017-11-22T00:00:00-07:00,1836 kWh
2017-11-23T00:00:00-07:00,1558 kWh
2017-11-24T00:00:00-07:00,1622 kWh
2017-11-25T00:00:00-07:00,1552 kWh
2017-11-26T00:00:00-07:00,1664 kWh
2017-11-27T00:00:00-07:00,1948 kWh
2017-11-28T00:00:00-07:00,1560 kWh
2017-11-29T00:00:00-07:00,1574 kWh
2017-11-30T00:00:00-07:00,1540 kWh
2017-12-01T00:00:00-07:00,1530 kWh
2017-12-02T00:00:00-07:00,1546 kWh
2017-12-03T00:00:00-07:00,1504 kWh
2017-12-04T00:00:00-07:00,1442 kWh
2017-12-05T00:00:00-07:00,1510 kWh
2017-12-06T00:00:00-07:00,1522 kWh
2017-12-07T00:00:00-07:00,1516 kWh
2017-12-08T00:00:00-07:00,1526 kWh
2017-12-09T00:00:00-07:00,1506 kWh
2017-12-10T00:00:00-07:00,1510 kWh
2017-12-11T00:00:00-07:00,1550 kWh
2017-12-12T00:00:00-07:00,1614 kWh
2017-12-13T00:00:00-07:00,1572 kWh
2017-12-14T00:00:00-07:00,1486 kWh
2017-12-15T00:00:00-07:00,1478 kWh
2017-12-16T00:00:00-07:00,1422 kWh
2017-12-17T00:00:00-07:00,1428 kWh
2017-12-18T00:00:00-07:00,1512 kWh
2017-12-19T00:00:00-07:00,1482 kWh
2017-12-20T00:00:00-07:00,1484 kWh
2017-12-21T00:00:00-07:00,1594 kWh
2017-12-22T00:00:00-07:00,1560 kWh
2017-12-23T00:00:00-07:00,1482 kWh
2017-12-24T00:00:00-07:00,1544 kWh
2017-12-25T00:00:00-07:00,1470 kWh
2017-12-26T00:00:00-07:00,1462 kWh
2017-12-27T00:00:00-07:00,1508 kWh
2017-12-28T00:00:00-07:00,1508 kWh
2017-12-29T00:00:00-07:00,1478 kWh
2017-12-30T00:00:00-07:00,1504 kWh
2017-12-31T00:00:00-07:00,1584 kWh
