Timestamp,['1eb2a057-f5b827a5 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Current A']
2017-04-30T00:00:00-06:00,84.39446067810059 A
2017-05-01T00:00:00-06:00,89.70132795969646 A
2017-05-02T00:00:00-06:00,91.38721934954326 A
2017-05-03T00:00:00-06:00,88.90868353843689 A
2017-05-04T00:00:00-06:00,87.32192659378052 A
2017-05-05T00:00:00-06:00,87.85192886988322 A
2017-05-06T00:00:00-06:00,85.4538455804189 A
2017-05-07T00:00:00-06:00,86.77580030759175 A
2017-05-08T00:00:00-06:00,85.5864344437917 A
2017-05-09T00:00:00-06:00,86.58041135470073 A
2017-05-10T00:00:00-06:00,87.4961769580841 A
2017-05-11T00:00:00-06:00,87.12455360094707 A
2017-05-12T00:00:00-06:00,86.37231763203938 A
2017-05-13T00:00:00-06:00,84.95502106348674 A
2017-05-14T00:00:00-06:00,83.92393477757771 A
2017-05-15T00:00:00-06:00,87.74116881688435 A
2017-05-16T00:00:00-06:00,89.54372628529866 A
2017-05-17T00:00:00-06:00,90.3662878672282 A
2017-05-18T00:00:00-06:00,89.52022178967793 A
2017-05-19T00:00:00-06:00,86.43244965871175 A
2017-05-20T00:00:00-06:00,84.67231019337972 A
2017-05-21T00:00:00-06:00,84.60920413335164 A
2017-05-22T00:00:00-06:00,92.26126583417256 A
2017-05-23T00:00:00-06:00,90.53348477681477 A
2017-05-24T00:00:00-06:00,89.42971207468133 A
2017-05-25T00:00:00-06:00,87.15404510498047 A
2017-05-26T00:00:00-06:00,87.17802588144939 A
2017-05-27T00:00:00-06:00,88.912176211675 A
2017-05-28T00:00:00-06:00,86.1791531988915 A
2017-05-29T00:00:00-06:00,86.65416963895161 A
2017-05-30T00:00:00-06:00,90.11017950375874 A
2017-05-31T00:00:00-06:00,91.2722195784251 A
2017-06-01T00:00:00-06:00,91.23562049865723 A
2017-06-02T00:00:00-06:00,87.76970195770264 A
2017-06-03T00:00:00-06:00,86.4431742032369 A
2017-06-04T00:00:00-06:00,86.28129943211873 A
2017-06-05T00:00:00-06:00,90.0816159248352 A
2017-06-06T00:00:00-06:00,96.59025390942891 A
2017-06-07T00:00:00-06:00,92.91698916753133 A
2017-06-08T00:00:00-06:00,92.50305771827698 A
2017-06-09T00:00:00-06:00,88.43063362439473 A
2017-06-10T00:00:00-06:00,84.57984073956807 A
2017-06-11T00:00:00-06:00,84.0740270614624 A
2017-06-12T00:00:00-06:00,89.99503795305888 A
2017-06-13T00:00:00-06:00,90.31778685251872 A
2017-06-14T00:00:00-06:00,90.1894760131836 A
2017-06-15T00:00:00-06:00,91.87749290466309 A
2017-06-16T00:00:00-06:00,88.25777594248454 A
2017-06-17T00:00:00-06:00,86.86684854825337 A
2017-06-18T00:00:00-06:00,84.91704924901326 A
2017-06-19T00:00:00-06:00,93.41324472427368 A
2017-06-20T00:00:00-06:00,92.9611496925354 A
2017-06-21T00:00:00-06:00,91.19242811203003 A
2017-06-22T00:00:00-06:00,88.44077849388123 A
2017-06-23T00:00:00-06:00,86.50101606051128 A
2017-06-24T00:00:00-06:00,84.2571512858073 A
2017-06-25T00:00:00-06:00,85.30297621091206 A
2017-06-26T00:00:00-06:00,92.4408540725708 A
2017-06-27T00:00:00-06:00,92.6753142674764 A
2017-06-28T00:00:00-06:00,86.38421543439229 A
2017-06-29T00:00:00-06:00,86.67663256327312 A
2017-06-30T00:00:00-06:00,86.81984972953796 A
2017-07-01T00:00:00-06:00,82.50434796015422 A
2017-07-02T00:00:00-06:00,83.32463033994038 A
2017-07-03T00:00:00-06:00,85.23096760114034 A
2017-07-04T00:00:00-06:00,86.39634641011556 A
2017-07-05T00:00:00-06:00,88.93465399742126 A
2017-07-06T00:00:00-06:00,90.147318760554 A
2017-07-07T00:00:00-06:00,89.33278012275696 A
2017-07-08T00:00:00-06:00,86.97965200742085 A
2017-07-09T00:00:00-06:00,86.50105253855388 A
2017-07-10T00:00:00-06:00,88.08508698145549 A
