Timestamp,['1ce63e47-dff80f20 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts BN']
2017-03-13T00:00:00-06:00,122.55372659365337 V
2017-03-14T00:00:00-06:00,122.46223982175191 V
2017-03-15T00:00:00-06:00,122.25243099530537 V
2017-03-16T00:00:00-06:00,122.50597254435222 V
2017-03-17T00:00:00-06:00,122.30778638521831 V
2017-03-18T00:00:00-06:00,122.57750860850017 V
2017-03-19T00:00:00-06:00,122.41272457440694 V
2017-03-20T00:00:00-06:00,122.09488726164166 V
2017-03-21T00:00:00-06:00,121.96369393666585 V
2017-03-22T00:00:00-06:00,122.10124985376994 V
2017-03-23T00:00:00-06:00,122.3169771830241 V
2017-03-24T00:00:00-06:00,122.51617042223613 V
2017-03-25T00:00:00-06:00,122.5997265179952 V
2017-03-26T00:00:00-06:00,122.48979353904724 V
2017-03-27T00:00:00-06:00,122.28156026204427 V
2017-03-28T00:00:00-06:00,122.44370492299397 V
2017-03-29T00:00:00-06:00,122.35510041978624 V
2017-03-30T00:00:00-06:00,122.27743956100109 V
2017-03-31T00:00:00-06:00,122.43033162752788 V
2017-04-01T00:00:00-06:00,122.62329236666362 V
2017-04-02T00:00:00-06:00,122.76651121440686 V
2017-04-03T00:00:00-06:00,122.42491579055786 V
2017-04-04T00:00:00-06:00,122.42257738113403 V
2017-04-05T00:00:00-06:00,122.32002806663513 V
2017-04-06T00:00:00-06:00,122.05785091718037 V
2017-04-07T00:00:00-06:00,122.23863140741985 V
2017-04-08T00:00:00-06:00,122.48590938250224 V
2017-04-09T00:00:00-06:00,122.54749464988708 V
2017-04-10T00:00:00-06:00,122.31058565775554 V
2017-04-11T00:00:00-06:00,122.32922013600667 V
2017-04-12T00:00:00-06:00,122.17632063229878 V
2017-04-13T00:00:00-06:00,122.07571196556091 V
2017-04-14T00:00:00-06:00,122.22712063789368 V
2017-04-15T00:00:00-06:00,122.20387490590413 V
2017-04-16T00:00:00-06:00,122.72263065973918 V
2017-04-17T00:00:00-06:00,122.30392400423686 V
2017-04-18T00:00:00-06:00,122.24206105868022 V
2017-04-19T00:00:00-06:00,122.26611344019572 V
2017-04-20T00:00:00-06:00,122.37338972091675 V
2017-04-21T00:00:00-06:00,122.21962849299113 V
2017-04-22T00:00:00-06:00,122.56637501716614 V
2017-04-23T00:00:00-06:00,122.54649758338928 V
2017-04-24T00:00:00-06:00,122.46008515357971 V
2017-04-25T00:00:00-06:00,122.36229729652405 V
2017-04-26T00:00:00-06:00,122.39312307039897 V
2017-04-27T00:00:00-06:00,122.55980785687764 V
2017-04-28T00:00:00-06:00,122.40936239560445 V
2017-04-29T00:00:00-06:00,122.57181429862976 V
2017-04-30T00:00:00-06:00,122.47986022631328 V
2017-05-01T00:00:00-06:00,122.47193543116252 V
2017-05-02T00:00:00-06:00,122.45509759585063 V
2017-05-03T00:00:00-06:00,122.4522689183553 V
2017-05-04T00:00:00-06:00,122.60186346371968 V
2017-05-05T00:00:00-06:00,122.63747684160869 V
2017-05-06T00:00:00-06:00,122.48126236597697 V
2017-05-07T00:00:00-06:00,122.59729361534119 V
2017-05-08T00:00:00-06:00,122.5583928961503 V
2017-05-09T00:00:00-06:00,122.59686104456584 V
2017-05-10T00:00:00-06:00,122.46466398239136 V
2017-05-11T00:00:00-06:00,122.35841449101765 V
2017-05-12T00:00:00-06:00,122.53854274749756 V
2017-05-13T00:00:00-06:00,122.63732012112935 V
2017-05-14T00:00:00-06:00,122.40282154083252 V
2017-05-15T00:00:00-06:00,122.47843678792317 V
2017-05-16T00:00:00-06:00,122.61407558123271 V
2017-05-17T00:00:00-06:00,122.52718369166057 V
2017-05-18T00:00:00-06:00,122.43928297360738 V
2017-05-19T00:00:00-06:00,122.73245390256245 V
2017-05-20T00:00:00-06:00,122.6451899210612 V
2017-05-21T00:00:00-06:00,122.60967977841695 V
2017-05-22T00:00:00-06:00,122.61586833000183 V
2017-05-23T00:00:00-06:00,122.3947982788086 V
2017-05-24T00:00:00-06:00,122.56223607063293 V
2017-05-25T00:00:00-06:00,122.60642337799072 V
2017-05-26T00:00:00-06:00,122.68657509485881 V
2017-05-27T00:00:00-06:00,122.68672172228496 V
2017-05-28T00:00:00-06:00,122.73985195159912 V
2017-05-29T00:00:00-06:00,122.73979274431865 V
2017-05-30T00:00:00-06:00,122.7051191329956 V
2017-05-31T00:00:00-06:00,122.49163317680359 V
2017-06-01T00:00:00-06:00,122.66256737709045 V
2017-06-02T00:00:00-06:00,122.53572964668274 V
2017-06-03T00:00:00-06:00,122.55389165878296 V
2017-06-04T00:00:00-06:00,122.52107373873393 V
2017-06-05T00:00:00-06:00,122.39460213979085 V
2017-06-06T00:00:00-06:00,122.39872757593791 V
2017-06-07T00:00:00-06:00,122.46263019243877 V
2017-06-08T00:00:00-06:00,122.57551956176758 V
2017-06-09T00:00:00-06:00,122.4560067653656 V
2017-06-10T00:00:00-06:00,122.54339520136516 V
2017-06-11T00:00:00-06:00,122.6233028570811 V
2017-06-12T00:00:00-06:00,122.55016764005025 V
2017-06-13T00:00:00-06:00,122.52295708656311 V
2017-06-14T00:00:00-06:00,122.40764848391215 V
2017-06-15T00:00:00-06:00,122.43840940793355 V
2017-06-16T00:00:00-06:00,122.4668157895406 V
2017-06-17T00:00:00-06:00,122.54925227165222 V
2017-06-18T00:00:00-06:00,122.56628918647766 V
2017-06-19T00:00:00-06:00,122.393963098526 V
2017-06-20T00:00:00-06:00,122.26164825757344 V
2017-06-21T00:00:00-06:00,122.27327744166057 V
2017-06-22T00:00:00-06:00,122.42355306943257 V
2017-06-23T00:00:00-06:00,122.40262389183044 V
2017-06-24T00:00:00-06:00,122.508620262146 V
2017-06-25T00:00:00-06:00,122.60221966107686 V
2017-06-26T00:00:00-06:00,122.21852922439575 V
2017-06-27T00:00:00-06:00,122.31675728162129 V
2017-06-28T00:00:00-06:00,122.3622173468272 V
2017-06-29T00:00:00-06:00,122.38385876019795 V
2017-06-30T00:00:00-06:00,122.36175688107808 V
2017-07-01T00:00:00-06:00,122.45336906115215 V
2017-07-02T00:00:00-06:00,122.62732617060344 V
2017-07-03T00:00:00-06:00,122.33081364631653 V
2017-07-04T00:00:00-06:00,122.6378345489502 V
2017-07-05T00:00:00-06:00,122.37817017237346 V
2017-07-06T00:00:00-06:00,122.3940502802531 V
2017-07-07T00:00:00-06:00,122.3062318166097 V
2017-07-08T00:00:00-06:00,122.41398986180623 V
2017-07-09T00:00:00-06:00,122.50450428326924 V
2017-07-10T00:00:00-06:00,122.34480810165405 V
2017-07-11T00:00:00-06:00,122.42039529482524 V
2017-07-12T00:00:00-06:00,122.40109324455261 V
2017-07-13T00:00:00-06:00,122.40643564860027 V
2017-07-14T00:00:00-06:00,122.33008138338725 V
2017-07-15T00:00:00-06:00,122.50841323534648 V
2017-07-16T00:00:00-06:00,122.54247530301411 V
2017-07-17T00:00:00-06:00,122.44463952382405 V
2017-07-18T00:00:00-06:00,122.4534517923991 V
2017-07-19T00:00:00-06:00,122.44658017158508 V
2017-07-20T00:00:00-06:00,122.49969593683879 V
2017-07-21T00:00:00-06:00,122.3964041074117 V
2017-07-22T00:00:00-06:00,122.46476491292317 V
2017-07-23T00:00:00-06:00,122.63284659385681 V
2017-07-24T00:00:00-06:00,122.57933823267619 V
2017-07-25T00:00:00-06:00,122.52636583646138 V
2017-07-26T00:00:00-06:00,122.39822196960449 V
2017-07-27T00:00:00-06:00,122.43546160062154 V
2017-07-28T00:00:00-06:00,122.3588924407959 V
2017-07-29T00:00:00-06:00,122.45790370305379 V
2017-07-30T00:00:00-06:00,122.5571764310201 V
2017-07-31T00:00:00-06:00,122.54008301099141 V
2017-08-01T00:00:00-06:00,122.53395954767863 V
2017-08-02T00:00:00-06:00,122.42425600687663 V
2017-08-03T00:00:00-06:00,122.41393009821574 V
2017-08-04T00:00:00-06:00,122.39778883192274 V
2017-08-05T00:00:00-06:00,122.45567059516907 V
2017-08-06T00:00:00-06:00,122.45998048782349 V
2017-08-07T00:00:00-06:00,122.38097969690959 V
2017-08-08T00:00:00-06:00,122.4337142308553 V
2017-08-09T00:00:00-06:00,122.27427570025127 V
2017-08-10T00:00:00-06:00,122.30679780693464 V
2017-08-11T00:00:00-06:00,122.39784232775371 V
2017-08-12T00:00:00-06:00,122.41502714157104 V
2017-08-13T00:00:00-06:00,122.60562229156494 V
2017-08-14T00:00:00-06:00,122.49847706158955 V
2017-08-15T00:00:00-06:00,122.51759068171184 V
2017-08-16T00:00:00-06:00,122.34592207272847 V
2017-08-17T00:00:00-06:00,122.41955439249675 V
2017-08-18T00:00:00-06:00,122.35260637601216 V
2017-08-19T00:00:00-06:00,122.51767571767171 V
2017-08-20T00:00:00-06:00,122.55073912938435 V
2017-08-21T00:00:00-06:00,122.32146946589152 V
2017-08-22T00:00:00-06:00,122.2564640045166 V
2017-08-23T00:00:00-06:00,122.26586262385051 V
2017-08-24T00:00:00-06:00,122.24674455324809 V
2017-08-25T00:00:00-06:00,122.24512680371602 V
2017-08-26T00:00:00-06:00,122.27595655123393 V
2017-08-27T00:00:00-06:00,122.35420513153076 V
2017-08-28T00:00:00-06:00,122.15730978428633 V
2017-08-29T00:00:00-06:00,122.13378000783396 V
2017-08-30T00:00:00-06:00,122.12399816513062 V
2017-08-31T00:00:00-06:00,122.19419026374817 V
2017-09-01T00:00:00-06:00,122.20437598228455 V
2017-09-02T00:00:00-06:00,122.437761704127 V
2017-09-03T00:00:00-06:00,122.56681323051453 V
2017-09-04T00:00:00-06:00,122.39663775761922 V
2017-09-05T00:00:00-06:00,122.08427794774373 V
2017-09-06T00:00:00-06:00,122.08128921190898 V
2017-09-07T00:00:00-06:00,122.15331967671712 V
2017-09-08T00:00:00-06:00,122.24824926355383 V
2017-09-09T00:00:00-06:00,122.30670714378357 V
2017-09-10T00:00:00-06:00,122.53608401616414 V
2017-09-11T00:00:00-06:00,122.08650048573811 V
2017-09-12T00:00:00-06:00,122.24229868253072 V
2017-09-13T00:00:00-06:00,122.06688070297241 V
2017-09-14T00:00:00-06:00,122.22755416234334 V
2017-09-15T00:00:00-06:00,122.28635009129842 V
2017-09-16T00:00:00-06:00,122.56422074635823 V
2017-09-17T00:00:00-06:00,122.2918717066447 V
2017-09-18T00:00:00-06:00,122.35764575004578 V
2017-09-19T00:00:00-06:00,122.17203688621521 V
2017-09-20T00:00:00-06:00,122.32186245918274 V
2017-09-21T00:00:00-06:00,122.40384602546692 V
2017-09-22T00:00:00-06:00,122.30514494578044 V
2017-09-23T00:00:00-06:00,122.471373240153 V
2017-09-24T00:00:00-06:00,122.36969709396362 V
2017-09-25T00:00:00-06:00,122.50100199381511 V
2017-09-26T00:00:00-06:00,122.3716447353363 V
2017-09-27T00:00:00-06:00,122.45025237401326 V
2017-09-28T00:00:00-06:00,122.34007851282756 V
2017-09-29T00:00:00-06:00,122.32349522908528 V
2017-09-30T00:00:00-06:00,122.49320101737976 V
