Timestamp,['1ce63d34-46ecef96 0028-MARRIOTT CENTER FOR DANCE Power Meter Current A']
2017-04-30T00:00:00-06:00,208.4449675877889 A
2017-05-01T00:00:00-06:00,219.26966333389282 A
2017-05-02T00:00:00-06:00,222.37187925974527 A
2017-05-03T00:00:00-06:00,242.25018310546875 A
2017-05-04T00:00:00-06:00,218.2582081158956 A
2017-05-05T00:00:00-06:00,217.24493010838827 A
2017-05-06T00:00:00-06:00,255.29498116175333 A
2017-05-07T00:00:00-06:00,204.35335191090903 A
2017-05-08T00:00:00-06:00,211.46503842002468 A
2017-05-09T00:00:00-06:00,213.76103703180948 A
2017-05-10T00:00:00-06:00,228.35614728927612 A
2017-05-11T00:00:00-06:00,225.20995934804282 A
2017-05-12T00:00:00-06:00,225.9621664683024 A
2017-05-13T00:00:00-06:00,227.1179520289103 A
2017-05-14T00:00:00-06:00,221.10733715693155 A
2017-05-15T00:00:00-06:00,209.03010272979736 A
2017-05-16T00:00:00-06:00,208.59914000829062 A
2017-05-17T00:00:00-06:00,236.02791992823282 A
2017-05-18T00:00:00-06:00,258.7022012074788 A
2017-05-19T00:00:00-06:00,248.57083781560263 A
2017-05-20T00:00:00-06:00,237.687659740448 A
2017-05-21T00:00:00-06:00,207.73877398173013 A
2017-05-22T00:00:00-06:00,224.90164534250894 A
2017-05-23T00:00:00-06:00,259.30202404658 A
2017-05-24T00:00:00-06:00,236.6630981763204 A
2017-05-25T00:00:00-06:00,231.66351509094238 A
2017-05-26T00:00:00-06:00,215.7985259691874 A
2017-05-27T00:00:00-06:00,210.427472114563 A
2017-05-28T00:00:00-06:00,207.8405148188273 A
2017-05-29T00:00:00-06:00,223.9909906387329 A
2017-05-30T00:00:00-06:00,223.44326559702554 A
2017-05-31T00:00:00-06:00,242.4703106880188 A
2017-06-01T00:00:00-06:00,243.24823125203451 A
2017-06-02T00:00:00-06:00,245.52057600021362 A
2017-06-03T00:00:00-06:00,235.86185836791992 A
2017-06-04T00:00:00-06:00,208.1193526585897 A
2017-06-05T00:00:00-06:00,227.16287279129028 A
2017-06-06T00:00:00-06:00,233.587771097819 A
2017-06-07T00:00:00-06:00,243.26345348358154 A
2017-06-08T00:00:00-06:00,240.06644201278687 A
2017-06-09T00:00:00-06:00,243.12396462758383 A
2017-06-10T00:00:00-06:00,230.59255695343018 A
2017-06-11T00:00:00-06:00,207.23923428853354 A
2017-06-12T00:00:00-06:00,235.3437770207723 A
2017-06-13T00:00:00-06:00,232.03133900960287 A
2017-06-14T00:00:00-06:00,232.315514087677 A
2017-06-15T00:00:00-06:00,239.9091970125834 A
2017-06-16T00:00:00-06:00,229.60385767618814 A
2017-06-17T00:00:00-06:00,216.31182352701822 A
2017-06-18T00:00:00-06:00,205.65874910354614 A
2017-06-19T00:00:00-06:00,241.31315437952676 A
2017-06-20T00:00:00-06:00,254.50534089406332 A
2017-06-21T00:00:00-06:00,252.54460986455283 A
2017-06-22T00:00:00-06:00,260.81747182210285 A
2017-06-23T00:00:00-06:00,255.58594926198325 A
2017-06-24T00:00:00-06:00,226.20364061991373 A
2017-06-25T00:00:00-06:00,205.50549697875977 A
2017-06-26T00:00:00-06:00,253.06211725870767 A
2017-06-27T00:00:00-06:00,268.80172475179035 A
2017-06-28T00:00:00-06:00,249.11762952804565 A
2017-06-29T00:00:00-06:00,255.01764551798502 A
2017-06-30T00:00:00-06:00,258.20789941151935 A
2017-07-01T00:00:00-06:00,230.62825632095337 A
