Timestamp,['1cca7493-442d41fb 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts BN']
2017-05-02T00:00:00-06:00,123.13888888888889 V
2017-05-03T00:00:00-06:00,123.24930555555555 V
2017-05-04T00:00:00-06:00,123.13055555555556 V
2017-05-05T00:00:00-06:00,123.22361111111111 V
2017-05-06T00:00:00-06:00,123.18680555555555 V
2017-05-07T00:00:00-06:00,123.22013888888888 V
2017-05-08T00:00:00-06:00,123.19647887323944 V
2017-05-09T00:00:00-06:00,123.25625 V
2017-05-10T00:00:00-06:00,123.17361111111111 V
2017-05-11T00:00:00-06:00,123.10069444444444 V
2017-05-12T00:00:00-06:00,123.23263888888889 V
2017-05-13T00:00:00-06:00,123.48333333333333 V
2017-05-14T00:00:00-06:00,123.21111111111111 V
2017-05-15T00:00:00-06:00,123.30277777777778 V
2017-05-16T00:00:00-06:00,123.36363636363636 V
2017-05-17T00:00:00-06:00,123.36805555555556 V
2017-05-18T00:00:00-06:00,123.2298611111111 V
2017-05-19T00:00:00-06:00,123.48611111111111 V
2017-05-20T00:00:00-06:00,123.425 V
2017-05-21T00:00:00-06:00,123.25694444444444 V
2017-05-22T00:00:00-06:00,123.37430555555555 V
2017-05-23T00:00:00-06:00,123.28402777777778 V
2017-05-24T00:00:00-06:00,123.30625 V
2017-05-25T00:00:00-06:00,123.38819444444445 V
2017-05-26T00:00:00-06:00,123.36111111111111 V
2017-05-27T00:00:00-06:00,123.4173611111111 V
2017-05-28T00:00:00-06:00,123.39583333333333 V
2017-05-29T00:00:00-06:00,123.36111111111111 V
2017-05-30T00:00:00-06:00,123.4375 V
2017-05-31T00:00:00-06:00,123.28541666666666 V
2017-06-01T00:00:00-06:00,123.48541666666667 V
2017-06-02T00:00:00-06:00,123.28611111111111 V
2017-06-03T00:00:00-06:00,123.45833333333333 V
2017-06-04T00:00:00-06:00,123.26944444444445 V
2017-06-05T00:00:00-06:00,123.36805555555556 V
2017-06-06T00:00:00-06:00,123.32222222222222 V
2017-06-07T00:00:00-06:00,123.38888888888889 V
2017-06-08T00:00:00-06:00,123.40972222222223 V
2017-06-09T00:00:00-06:00,123.375 V
2017-06-10T00:00:00-06:00,123.23958333333333 V
2017-06-11T00:00:00-06:00,123.27202797202797 V
2017-06-12T00:00:00-06:00,123.36111111111111 V
2017-06-13T00:00:00-06:00,123.24027777777778 V
2017-06-14T00:00:00-06:00,123.27847222222222 V
2017-06-15T00:00:00-06:00,123.26597222222222 V
2017-06-16T00:00:00-06:00,123.28263888888888 V
2017-06-17T00:00:00-06:00,123.24305555555556 V
2017-06-18T00:00:00-06:00,123.36805555555556 V
2017-06-19T00:00:00-06:00,123.24305555555556 V
2017-06-20T00:00:00-06:00,123.27083333333333 V
2017-06-21T00:00:00-06:00,123.25694444444444 V
2017-06-22T00:00:00-06:00,123.33472222222223 V
2017-06-23T00:00:00-06:00,123.36666666666666 V
2017-06-24T00:00:00-06:00,123.29166666666667 V
2017-06-25T00:00:00-06:00,123.40416666666667 V
2017-06-26T00:00:00-06:00,123.25135344160866 V
2017-06-27T00:00:00-06:00,123.38541666666667 V
2017-06-28T00:00:00-06:00,123.27083333333333 V
2017-06-29T00:00:00-06:00,123.33333333333333 V
2017-06-30T00:00:00-06:00,123.36458333333333 V
2017-07-01T00:00:00-06:00,123.26041666666667 V
2017-07-02T00:00:00-06:00,123.34375 V
2017-07-03T00:00:00-06:00,123.26041666666667 V
2017-07-04T00:00:00-06:00,123.39583333333333 V
2017-07-05T00:00:00-06:00,123.33333333333333 V
2017-07-06T00:00:00-06:00,123.375 V
2017-07-07T00:00:00-06:00,123.3125 V
2017-07-08T00:00:00-06:00,123.33684210526316 V
2017-07-09T00:00:00-06:00,123.36458333333333 V
2017-07-10T00:00:00-06:00,123.26041666666667 V
2017-07-11T00:00:00-06:00,123.27083333333333 V
2017-07-12T00:00:00-06:00,123.34375 V
2017-07-13T00:00:00-06:00,123.40625 V
2017-07-14T00:00:00-06:00,123.375 V
2017-07-15T00:00:00-06:00,123.26041666666667 V
2017-07-16T00:00:00-06:00,123.21875 V
2017-07-17T00:00:00-06:00,123.21875 V
2017-07-18T00:00:00-06:00,123.21875 V
2017-07-19T00:00:00-06:00,123.27368421052631 V
2017-07-20T00:00:00-06:00,123.23958333333333 V
2017-07-21T00:00:00-06:00,123.23958333333333 V
2017-07-22T00:00:00-06:00,123.22916666666667 V
2017-07-23T00:00:00-06:00,123.40625 V
2017-07-24T00:00:00-06:00,123.40625 V
2017-07-25T00:00:00-06:00,123.36458333333333 V
2017-07-26T00:00:00-06:00,123.22916666666667 V
2017-07-27T00:00:00-06:00,123.32291666666667 V
2017-07-28T00:00:00-06:00,123.15625 V
2017-07-29T00:00:00-06:00,123.23958333333333 V
2017-07-30T00:00:00-06:00,123.3125 V
2017-07-31T00:00:00-06:00,123.42708333333333 V
2017-08-01T00:00:00-06:00,123.38541666666667 V
2017-08-02T00:00:00-06:00,123.3125 V
2017-08-03T00:00:00-06:00,123.19791666666667 V
2017-08-04T00:00:00-06:00,123.23595505617978 V
2017-08-05T00:00:00-06:00,123.32291666666667 V
2017-08-06T00:00:00-06:00,123.28125 V
2017-08-07T00:00:00-06:00,123.15625 V
2017-08-08T00:00:00-06:00,123.3125 V
2017-08-09T00:00:00-06:00,123.21739130434783 V
2017-08-10T00:00:00-06:00,123.23913043478261 V
2017-08-11T00:00:00-06:00,123.35416666666667 V
2017-08-12T00:00:00-06:00,123.29166666666667 V
2017-08-13T00:00:00-06:00,123.4375 V
2017-08-14T00:00:00-06:00,123.39583333333333 V
2017-08-15T00:00:00-06:00,123.375 V
2017-08-16T00:00:00-06:00,123.29166666666667 V
2017-08-17T00:00:00-06:00,123.32291666666667 V
2017-08-18T00:00:00-06:00,123.30208333333333 V
2017-08-19T00:00:00-06:00,123.35416666666667 V
2017-08-20T00:00:00-06:00,123.46875 V
2017-08-21T00:00:00-06:00,123.42708333333333 V
2017-08-22T00:00:00-06:00,123.29166666666667 V
2017-08-23T00:00:00-06:00,123.3125 V
2017-08-24T00:00:00-06:00,123.33333333333333 V
2017-08-25T00:00:00-06:00,123.25 V
2017-08-26T00:00:00-06:00,123.19791666666667 V
2017-08-27T00:00:00-06:00,123.1875 V
2017-08-28T00:00:00-06:00,123.40449438202248 V
2017-08-29T00:00:00-06:00,123.33333333333333 V
2017-08-30T00:00:00-06:00,123.28125 V
2017-08-31T00:00:00-06:00,123.38541666666667 V
2017-09-01T00:00:00-06:00,123.22916666666667 V
