Timestamp,['1cc408d7-bcb4bf09 0008-EMERY BLDG Power Meter 300026 Volts AN']
2017-10-22T00:00:00-06:00,121.30631510416667 V
2017-10-23T00:00:00-06:00,121.04541015625 V
2017-10-24T00:00:00-06:00,120.87467447916667 V
2017-10-25T00:00:00-06:00,120.93326822916667 V
2017-10-26T00:00:00-06:00,121.07307942708333 V
2017-10-27T00:00:00-06:00,121.05485026041667 V
2017-10-28T00:00:00-06:00,121.07584635416667 V
2017-10-29T00:00:00-06:00,121.30110677083333 V
2017-10-30T00:00:00-06:00,121.04036458333333 V
2017-10-31T00:00:00-06:00,120.99088541666667 V
2017-11-01T00:00:00-06:00,120.98518880208333 V
2017-11-02T00:00:00-06:00,120.97086588541667 V
2017-11-03T00:00:00-06:00,120.91731770833333 V
2017-11-04T00:00:00-06:00,121.21956380208333 V
2017-11-05T00:00:00-06:00,121.11140625 V
2017-11-06T00:00:00-07:00,120.93245442708333 V
2017-11-07T00:00:00-07:00,120.93098958333333 V
2017-11-08T00:00:00-07:00,120.91324869791667 V
2017-11-09T00:00:00-07:00,120.97493489583333 V
2017-11-10T00:00:00-07:00,121.04264322916667 V
2017-11-11T00:00:00-07:00,121.04443359375 V
2017-11-12T00:00:00-07:00,121.19807942708333 V
2017-11-13T00:00:00-07:00,120.97184244791667 V
2017-11-14T00:00:00-07:00,121.20182291666667 V
2017-11-15T00:00:00-07:00,120.95475260416667 V
2017-11-16T00:00:00-07:00,120.87255859375 V
2017-11-17T00:00:00-07:00,121.08072916666667 V
2017-11-18T00:00:00-07:00,121.38557942708333 V
2017-11-19T00:00:00-07:00,121.35465494791667 V
2017-11-20T00:00:00-07:00,121.03694661458333 V
2017-11-21T00:00:00-07:00,120.97151692708333 V
2017-11-22T00:00:00-07:00,120.8974609375 V
2017-11-23T00:00:00-07:00,121.26839192708333 V
2017-11-24T00:00:00-07:00,121.13411458333333 V
2017-11-25T00:00:00-07:00,121.10400390625 V
2017-11-26T00:00:00-07:00,121.20719401041667 V
2017-11-27T00:00:00-07:00,120.88541666666667 V
2017-11-28T00:00:00-07:00,120.97526041666667 V
2017-11-29T00:00:00-07:00,121.09993489583333 V
2017-11-30T00:00:00-07:00,121.14957682291667 V
2017-12-01T00:00:00-07:00,120.96907552083333 V
2017-12-02T00:00:00-07:00,121.20133463541667 V
2017-12-03T00:00:00-07:00,121.22509765625 V
2017-12-04T00:00:00-07:00,121.15299479166667 V
2017-12-05T00:00:00-07:00,120.91341145833333 V
2017-12-06T00:00:00-07:00,120.93977864583333 V
2017-12-07T00:00:00-07:00,120.91796875 V
2017-12-08T00:00:00-07:00,120.99446614583333 V
2017-12-09T00:00:00-07:00,121.38362630208333 V
2017-12-10T00:00:00-07:00,121.41471354166667 V
2017-12-11T00:00:00-07:00,121.25048828125 V
2017-12-12T00:00:00-07:00,120.97835286458333 V
2017-12-13T00:00:00-07:00,121.22428385416667 V
2017-12-14T00:00:00-07:00,121.06852213541667 V
2017-12-15T00:00:00-07:00,121.10758463541667 V
2017-12-16T00:00:00-07:00,121.3837890625 V
2017-12-17T00:00:00-07:00,121.39925130208333 V
2017-12-18T00:00:00-07:00,121.32879704301075 V
2017-12-19T00:00:00-07:00,121.16341145833333 V
2017-12-20T00:00:00-07:00,121.25699869791667 V
2017-12-21T00:00:00-07:00,121.30208333333333 V
2017-12-22T00:00:00-07:00,121.40266927083333 V
2017-12-23T00:00:00-07:00,121.34326171875 V
2017-12-24T00:00:00-07:00,121.55625 V
2017-12-25T00:00:00-07:00,121.45182291666667 V
2017-12-26T00:00:00-07:00,121.47591145833333 V
2017-12-27T00:00:00-07:00,121.35481770833333 V
2017-12-28T00:00:00-07:00,121.29899088541667 V
2017-12-29T00:00:00-07:00,121.20768229166667 V
2017-12-30T00:00:00-07:00,121.13850911458333 V
2017-12-31T00:00:00-07:00,121.23274739583333 V
