Timestamp,['1cbae8a7-6863c3f8 0038-ART BLDG Power Meter 300086 Current A']
2017-04-27T00:00:00-06:00,132.39545704523724 A
2017-04-28T00:00:00-06:00,103.49192303021749 A
2017-04-29T00:00:00-06:00,122.44178328514099 A
2017-04-30T00:00:00-06:00,121.44108843985657 A
2017-05-01T00:00:00-06:00,88.80962835740016 A
2017-05-02T00:00:00-06:00,88.89335260391235 A
2017-05-03T00:00:00-06:00,112.35228373209635 A
2017-05-04T00:00:00-06:00,91.6803494532903 A
2017-05-05T00:00:00-06:00,90.65350182851155 A
2017-05-06T00:00:00-06:00,69.34531869888306 A
2017-05-07T00:00:00-06:00,77.99899349212646 A
2017-05-08T00:00:00-06:00,94.04099861278868 A
2017-05-09T00:00:00-06:00,83.65936925146315 A
2017-05-10T00:00:00-06:00,87.37736203405592 A
2017-05-11T00:00:00-06:00,74.72115418775026 A
2017-05-12T00:00:00-06:00,81.28405865828196 A
2017-05-13T00:00:00-06:00,78.94055734210544 A
2017-05-14T00:00:00-06:00,84.55845643149482 A
2017-05-15T00:00:00-06:00,99.57284982772731 A
2017-05-16T00:00:00-06:00,101.28991617096796 A
2017-05-17T00:00:00-06:00,87.77994612587823 A
2017-05-18T00:00:00-06:00,83.05787955390082 A
2017-05-19T00:00:00-06:00,82.83217885229323 A
2017-05-20T00:00:00-06:00,79.89958015547859 A
2017-05-21T00:00:00-06:00,80.74507061110603 A
2017-05-22T00:00:00-06:00,87.66623303625319 A
2017-05-23T00:00:00-06:00,88.88860137197706 A
2017-05-24T00:00:00-06:00,82.07477541499668 A
2017-05-25T00:00:00-06:00,71.77017072836558 A
2017-05-26T00:00:00-06:00,72.88368338478936 A
2017-05-27T00:00:00-06:00,66.36346003479427 A
2017-05-28T00:00:00-06:00,76.0074820280075 A
2017-05-29T00:00:00-06:00,68.02359187073178 A
2017-05-30T00:00:00-06:00,87.59449592696296 A
2017-05-31T00:00:00-06:00,75.11533921824561 A
2017-06-01T00:00:00-06:00,76.34783855809106 A
2017-06-02T00:00:00-06:00,69.27606756687165 A
2017-06-03T00:00:00-06:00,64.32221519417233 A
2017-06-04T00:00:00-06:00,67.98958561155531 A
2017-06-05T00:00:00-06:00,73.96324663427141 A
2017-06-06T00:00:00-06:00,81.67179630597433 A
2017-06-07T00:00:00-06:00,87.52228141890632 A
2017-06-08T00:00:00-06:00,80.83055500454373 A
2017-06-09T00:00:00-06:00,90.5420854833391 A
2017-06-10T00:00:00-06:00,77.3432501077652 A
2017-06-11T00:00:00-06:00,64.39020793702868 A
2017-06-12T00:00:00-06:00,72.40501279566023 A
2017-06-13T00:00:00-06:00,77.73461694717408 A
2017-06-14T00:00:00-06:00,74.40941127859278 A
2017-06-15T00:00:00-06:00,76.38541325993008 A
2017-06-16T00:00:00-06:00,71.47175050379506 A
2017-06-17T00:00:00-06:00,72.85420558717516 A
2017-06-18T00:00:00-06:00,77.82089793276174 A
2017-06-19T00:00:00-06:00,79.2150733921263 A
2017-06-20T00:00:00-06:00,84.20441616376242 A
2017-06-21T00:00:00-06:00,77.67845798863306 A
2017-06-22T00:00:00-06:00,76.49591758251191 A
2017-06-23T00:00:00-06:00,108.53069695366753 A
2017-06-24T00:00:00-06:00,69.25327052010431 A
2017-06-25T00:00:00-06:00,71.40723105801476 A
2017-06-26T00:00:00-06:00,78.56000015187982 A
2017-06-27T00:00:00-06:00,80.7407637834549 A
2017-06-28T00:00:00-06:00,96.43137749036153 A
2017-06-29T00:00:00-06:00,100.29089832305908 A
2017-06-30T00:00:00-06:00,67.56778689225514 A
2017-07-01T00:00:00-06:00,61.52707008520762 A
2017-07-02T00:00:00-06:00,65.98617398738861 A
2017-07-03T00:00:00-06:00,69.96856029828389 A
2017-07-04T00:00:00-06:00,65.1053288380305 A
2017-07-05T00:00:00-06:00,71.07506235440572 A
2017-07-06T00:00:00-06:00,77.09940755367279 A
2017-07-07T00:00:00-06:00,90.25053556760152 A
2017-07-08T00:00:00-06:00,69.7118485768636 A
2017-07-09T00:00:00-06:00,80.20085569222768 A
2017-07-10T00:00:00-06:00,90.51209656397502 A
2017-07-11T00:00:00-06:00,93.43758916854858 A
2017-07-12T00:00:00-06:00,80.75642824172974 A
2017-07-13T00:00:00-06:00,92.71950964132945 A
2017-07-14T00:00:00-06:00,87.50788799921672 A
2017-07-15T00:00:00-06:00,68.95903221766154 A
2017-07-16T00:00:00-06:00,68.56717435518901 A
2017-07-17T00:00:00-06:00,84.60365823904674 A
2017-07-18T00:00:00-06:00,80.176007827123 A
2017-07-19T00:00:00-06:00,82.69721082846324 A
2017-07-20T00:00:00-06:00,77.8698681195577 A
2017-07-21T00:00:00-06:00,71.23150587081909 A
2017-07-22T00:00:00-06:00,63.588473399480186 A
2017-07-23T00:00:00-06:00,74.89630424976349 A
2017-07-24T00:00:00-06:00,74.87276442845662 A
2017-07-25T00:00:00-06:00,74.28751452763875 A
2017-07-26T00:00:00-06:00,90.39533750216167 A
2017-07-27T00:00:00-06:00,76.959366162618 A
2017-07-28T00:00:00-06:00,84.75660641988118 A
2017-07-29T00:00:00-06:00,79.36998919645946 A
2017-07-30T00:00:00-06:00,77.68954467773438 A
2017-07-31T00:00:00-06:00,72.10440444946289 A
2017-08-01T00:00:00-06:00,72.32951605319977 A
2017-08-02T00:00:00-06:00,66.88361299037933 A
2017-08-03T00:00:00-06:00,66.30900569756825 A
2017-08-04T00:00:00-06:00,73.30118007450314 A
2017-08-05T00:00:00-06:00,60.2335471312205 A
2017-08-06T00:00:00-06:00,67.45981415112813 A
2017-08-07T00:00:00-06:00,66.95047394434611 A
2017-08-08T00:00:00-06:00,69.01429812113444 A
2017-08-09T00:00:00-06:00,68.90862882137299 A
2017-08-10T00:00:00-06:00,71.9172434705369 A
2017-08-11T00:00:00-06:00,76.55789883931477 A
2017-08-12T00:00:00-06:00,67.69964098930359 A
2017-08-13T00:00:00-06:00,63.9160745938619 A
2017-08-14T00:00:00-06:00,75.08126044273376 A
2017-08-15T00:00:00-06:00,80.48643763860066 A
2017-08-16T00:00:00-06:00,95.20960831642151 A
2017-08-17T00:00:00-06:00,83.47048191229503 A
2017-08-18T00:00:00-06:00,73.2047751347224 A
2017-08-19T00:00:00-06:00,70.82089189688365 A
2017-08-20T00:00:00-06:00,72.4293343226115 A
2017-08-21T00:00:00-06:00,79.70699954032898 A
2017-08-22T00:00:00-06:00,77.77990437557823 A
2017-08-23T00:00:00-06:00,78.33696913719177 A
2017-08-24T00:00:00-06:00,82.91766452789307 A
2017-08-25T00:00:00-06:00,77.42599654197693 A
