Timestamp,['1d09e916-9c816e43 0084-BIOLOGY BLDG Power Meter 316501 KWH Received']
2017-05-02T00:00:00-06:00,6078.765625 kWh
2017-05-03T00:00:00-06:00,6260.53125 kWh
2017-05-04T00:00:00-06:00,6185.796875 kWh
2017-05-05T00:00:00-06:00,6281.265625 kWh
2017-05-06T00:00:00-06:00,5956.5625 kWh
2017-05-07T00:00:00-06:00,5905.21875 kWh
2017-05-08T00:00:00-06:00,6054.46875 kWh
2017-05-09T00:00:00-06:00,6007.84375 kWh
2017-05-10T00:00:00-06:00,5978.6875 kWh
2017-05-11T00:00:00-06:00,6147.5625 kWh
2017-05-12T00:00:00-06:00,6225.90625 kWh
2017-05-13T00:00:00-06:00,5909.125 kWh
2017-05-14T00:00:00-06:00,5951.625 kWh
2017-05-15T00:00:00-06:00,6125.6875 kWh
2017-05-16T00:00:00-06:00,6012.3125 kWh
2017-05-17T00:00:00-06:00,6244.15625 kWh
2017-05-18T00:00:00-06:00,5993.5 kWh
2017-05-19T00:00:00-06:00,6032.0625 kWh
2017-05-20T00:00:00-06:00,5817.34375 kWh
2017-05-21T00:00:00-06:00,5682.59375 kWh
2017-05-22T00:00:00-06:00,6056.71875 kWh
2017-05-23T00:00:00-06:00,6126.6875 kWh
2017-05-24T00:00:00-06:00,6176.5 kWh
2017-05-25T00:00:00-06:00,6104.5625 kWh
2017-05-26T00:00:00-06:00,5990.5625 kWh
2017-05-27T00:00:00-06:00,5928 kWh
2017-05-28T00:00:00-06:00,5963.5625 kWh
2017-05-29T00:00:00-06:00,6047.84375 kWh
2017-05-30T00:00:00-06:00,6098.25 kWh
2017-05-31T00:00:00-06:00,6039.75 kWh
2017-06-01T00:00:00-06:00,6028.59375 kWh
2017-06-02T00:00:00-06:00,5949.40625 kWh
2017-06-03T00:00:00-06:00,5886.3125 kWh
2017-06-04T00:00:00-06:00,5976.15625 kWh
2017-06-05T00:00:00-06:00,6075.625 kWh
2017-06-06T00:00:00-06:00,6183.75 kWh
2017-06-07T00:00:00-06:00,6378.21875 kWh
2017-06-08T00:00:00-06:00,6272.5625 kWh
