Timestamp,['1cdb9d59-2bb7c5f9 0086-MARRIOTT LIBRARY Power Meter 4 KW Total']
2017-07-10T00:00:00-06:00,50 kW
2017-07-11T00:00:00-06:00,47.79999923706055 kW
2017-07-12T00:00:00-06:00,52.400001525878906 kW
2017-07-13T00:00:00-06:00,51.29999923706055 kW
2017-07-14T00:00:00-06:00,46.79999923706055 kW
2017-07-15T00:00:00-06:00,40.599998474121094 kW
2017-07-16T00:00:00-06:00,39.099998474121094 kW
2017-07-17T00:00:00-06:00,47.900001525878906 kW
2017-07-18T00:00:00-06:00,48.29999923706055 kW
2017-07-19T00:00:00-06:00,49 kW
2017-07-20T00:00:00-06:00,50.099998474121094 kW
2017-07-21T00:00:00-06:00,45.900001525878906 kW
2017-07-22T00:00:00-06:00,40.400001525878906 kW
2017-07-23T00:00:00-06:00,38.29999923706055 kW
2017-07-24T00:00:00-06:00,38.29999923706055 kW
2017-07-25T00:00:00-06:00,51 kW
2017-07-26T00:00:00-06:00,48.599998474121094 kW
2017-07-27T00:00:00-06:00,51.70000076293945 kW
2017-07-28T00:00:00-06:00,47.79999923706055 kW
2017-07-29T00:00:00-06:00,40.599998474121094 kW
2017-07-30T00:00:00-06:00,39.29999923706055 kW
2017-07-31T00:00:00-06:00,54.400001525878906 kW
2017-08-01T00:00:00-06:00,48.79999923706055 kW
2017-08-02T00:00:00-06:00,49.599998474121094 kW
2017-08-03T00:00:00-06:00,46.5 kW
2017-08-04T00:00:00-06:00,45.400001525878906 kW
2017-08-05T00:00:00-06:00,39.599998474121094 kW
2017-08-06T00:00:00-06:00,39.599998474121094 kW
2017-08-07T00:00:00-06:00,47.400001525878906 kW
2017-08-08T00:00:00-06:00,49.79999923706055 kW
2017-08-09T00:00:00-06:00,48 kW
2017-08-10T00:00:00-06:00,47 kW
2017-08-11T00:00:00-06:00,46.400001525878906 kW
2017-08-12T00:00:00-06:00,38.5 kW
2017-08-13T00:00:00-06:00,39.29999923706055 kW
2017-08-14T00:00:00-06:00,49.20000076293945 kW
2017-08-15T00:00:00-06:00,47.5 kW
2017-08-16T00:00:00-06:00,47.900001525878906 kW
2017-08-17T00:00:00-06:00,46.599998474121094 kW
2017-08-18T00:00:00-06:00,52.20000076293945 kW
2017-08-19T00:00:00-06:00,38.79999923706055 kW
2017-08-20T00:00:00-06:00,38.099998474121094 kW
2017-08-21T00:00:00-06:00,57.20000076293945 kW
2017-08-22T00:00:00-06:00,58.599998474121094 kW
2017-08-23T00:00:00-06:00,62.900001525878906 kW
2017-08-24T00:00:00-06:00,58.29999923706055 kW
2017-08-25T00:00:00-06:00,52.900001525878906 kW
2017-08-26T00:00:00-06:00,41.099998474121094 kW
2017-08-27T00:00:00-06:00,41.70000076293945 kW
2017-08-28T00:00:00-06:00,61.20000076293945 kW
2017-08-29T00:00:00-06:00,60.099998474121094 kW
2017-08-30T00:00:00-06:00,63.29999923706055 kW
2017-08-31T00:00:00-06:00,61.599998474121094 kW
2017-09-01T00:00:00-06:00,50.79999923706055 kW
2017-09-02T00:00:00-06:00,43.599998474121094 kW
2017-09-03T00:00:00-06:00,40.70000076293945 kW
2017-09-04T00:00:00-06:00,41.5 kW
2017-09-05T00:00:00-06:00,65.30000305175781 kW
2017-09-06T00:00:00-06:00,62.70000076293945 kW
2017-09-07T00:00:00-06:00,66.19999694824219 kW
2017-09-08T00:00:00-06:00,53.400001525878906 kW
2017-09-09T00:00:00-06:00,44.29999923706055 kW
2017-09-10T00:00:00-06:00,42 kW
2017-09-11T00:00:00-06:00,63.79999923706055 kW
2017-09-12T00:00:00-06:00,60.70000076293945 kW
2017-09-13T00:00:00-06:00,62.79999923706055 kW
2017-09-14T00:00:00-06:00,63.5 kW
