Timestamp,['1cac280a-0c99d439 0077-CHRISTENSEN CNTR Power Meter (300172) Current B']
2017-02-21T00:00:00-07:00,108.42660449610815 A
2017-02-22T00:00:00-07:00,111.12901762326558 A
2017-02-23T00:00:00-07:00,119.2373538573583 A
2017-02-24T00:00:00-07:00,100.00007614685724 A
2017-02-25T00:00:00-07:00,77.76218975385031 A
2017-02-26T00:00:00-07:00,67.98716370529598 A
2017-02-27T00:00:00-07:00,107.04014369646708 A
2017-02-28T00:00:00-07:00,121.87655182679494 A
2017-03-01T00:00:00-07:00,119.99691904385885 A
2017-03-02T00:00:00-07:00,119.88425848748949 A
2017-03-03T00:00:00-07:00,108.93757592837015 A
2017-03-04T00:00:00-07:00,104.77689707279205 A
2017-03-05T00:00:00-07:00,94.14861223432753 A
2017-03-06T00:00:00-07:00,118.87706942293379 A
2017-03-07T00:00:00-07:00,121.87480966515011 A
2017-03-08T00:00:00-07:00,111.37889157136281 A
2017-03-09T00:00:00-07:00,115.15697013537088 A
2017-03-10T00:00:00-07:00,107.81428510612912 A
2017-03-11T00:00:00-07:00,93.28033867677053 A
2017-03-12T00:00:00-07:00,90.8506215054056 A
2017-03-13T00:00:00-06:00,102.57634516935369 A
2017-03-14T00:00:00-06:00,101.13666496276855 A
2017-03-15T00:00:00-06:00,100.66001142660777 A
2017-03-16T00:00:00-06:00,100.75262682437896 A
2017-03-17T00:00:00-06:00,106.96807381312053 A
2017-03-18T00:00:00-06:00,105.85728264914619 A
2017-03-19T00:00:00-06:00,96.27689207394918 A
2017-03-20T00:00:00-06:00,110.82159942658897 A
2017-03-21T00:00:00-06:00,118.64170813560486 A
2017-03-22T00:00:00-06:00,114.10789340602027 A
2017-03-23T00:00:00-06:00,116.9254282924864 A
2017-03-24T00:00:00-06:00,100.65462856557635 A
2017-03-25T00:00:00-06:00,93.26278355421499 A
2017-03-26T00:00:00-06:00,93.3610185433627 A
2017-03-27T00:00:00-06:00,112.59264476034376 A
2017-03-28T00:00:00-06:00,114.51185769882362 A
2017-03-29T00:00:00-06:00,113.24746576350242 A
2017-03-30T00:00:00-06:00,126.96371399401204 A
2017-03-31T00:00:00-06:00,109.47118582460615 A
2017-04-01T00:00:00-06:00,102.59800507757399 A
2017-04-02T00:00:00-06:00,93.92217719025082 A
2017-04-03T00:00:00-06:00,110.75562785996331 A
2017-04-04T00:00:00-06:00,113.67981951766544 A
2017-04-05T00:00:00-06:00,112.06366163624658 A
2017-04-06T00:00:00-06:00,111.2232573365403 A
2017-04-07T00:00:00-06:00,100.07440555360583 A
2017-04-08T00:00:00-06:00,97.55406881438361 A
2017-04-09T00:00:00-06:00,96.95012194845411 A
2017-04-10T00:00:00-06:00,113.7440496554716 A
2017-04-11T00:00:00-06:00,112.62714863353305 A
2017-04-12T00:00:00-06:00,115.48191856808133 A
2017-04-13T00:00:00-06:00,116.40237755245633 A
2017-04-14T00:00:00-06:00,106.45387948354086 A
2017-04-15T00:00:00-06:00,95.71301192442576 A
2017-04-16T00:00:00-06:00,96.64357073042127 A
2017-04-17T00:00:00-06:00,112.94219195312924 A
2017-04-18T00:00:00-06:00,114.52244772116343 A
2017-04-19T00:00:00-06:00,115.74308358298407 A
2017-04-20T00:00:00-06:00,116.85712174044716 A
2017-04-21T00:00:00-06:00,103.53692441781362 A
2017-04-22T00:00:00-06:00,102.29523163371616 A
2017-04-23T00:00:00-06:00,95.65879500177172 A
2017-04-24T00:00:00-06:00,115.75742151737214 A
2017-04-25T00:00:00-06:00,112.1071316215727 A
2017-04-26T00:00:00-06:00,109.17557914527114 A
2017-04-27T00:00:00-06:00,112.32825711303288 A
2017-04-28T00:00:00-06:00,101.25479717811723 A
2017-04-29T00:00:00-06:00,91.90705963505638 A
2017-04-30T00:00:00-06:00,91.43115958637661 A
2017-05-01T00:00:00-06:00,112.4795709812782 A
