Timestamp,['1cbae9c6-fc675091 0038-ART BLDG Power Meter 300086 Volts BN']
2017-04-22T00:00:00-06:00,122.37265046437581 V
2017-04-23T00:00:00-06:00,122.39591170946757 V
2017-04-24T00:00:00-06:00,122.37565486166213 V
2017-04-25T00:00:00-06:00,122.43083631197611 V
2017-04-26T00:00:00-06:00,122.32734671692785 V
2017-04-27T00:00:00-06:00,122.30362481388306 V
2017-04-28T00:00:00-06:00,122.33351022402445 V
2017-04-29T00:00:00-06:00,122.35515441788493 V
2017-04-30T00:00:00-06:00,122.32846438090006 V
2017-05-01T00:00:00-06:00,122.45740180545383 V
2017-05-02T00:00:00-06:00,122.33763181368509 V
2017-05-03T00:00:00-06:00,122.3389658610026 V
2017-05-04T00:00:00-06:00,122.38882825109694 V
2017-05-05T00:00:00-06:00,122.3766219245063 V
2017-05-06T00:00:00-06:00,122.4197472413381 V
2017-05-07T00:00:00-06:00,122.41079319847955 V
2017-05-08T00:00:00-06:00,122.400933511299 V
2017-05-09T00:00:00-06:00,122.44379210472107 V
2017-05-10T00:00:00-06:00,122.54360605345832 V
2017-05-11T00:00:00-06:00,122.49907854398091 V
2017-05-12T00:00:00-06:00,122.41998355653551 V
2017-05-13T00:00:00-06:00,122.41213892300924 V
2017-05-14T00:00:00-06:00,122.22354063457912 V
2017-05-15T00:00:00-06:00,122.38209342426724 V
2017-05-16T00:00:00-06:00,122.32239679230584 V
2017-05-17T00:00:00-06:00,122.36122165785895 V
2017-05-18T00:00:00-06:00,122.35310951338874 V
2017-05-19T00:00:00-06:00,122.5219536251492 V
2017-05-20T00:00:00-06:00,122.2996759308709 V
2017-05-21T00:00:00-06:00,122.30005056593153 V
2017-05-22T00:00:00-06:00,122.34714672414688 V
2017-05-23T00:00:00-06:00,122.42194809913636 V
2017-05-24T00:00:00-06:00,122.4073233657413 V
2017-05-25T00:00:00-06:00,122.36695221265157 V
2017-05-26T00:00:00-06:00,122.46017968919543 V
2017-05-27T00:00:00-06:00,122.51859809557597 V
2017-05-28T00:00:00-06:00,122.46826978259617 V
2017-05-29T00:00:00-06:00,122.42274018393623 V
2017-05-30T00:00:00-06:00,122.38425318400066 V
2017-05-31T00:00:00-06:00,122.37493486934238 V
2017-06-01T00:00:00-06:00,122.39762514432272 V
2017-06-02T00:00:00-06:00,122.25521189972623 V
2017-06-03T00:00:00-06:00,122.36157608562046 V
2017-06-04T00:00:00-06:00,122.41003153059218 V
2017-06-05T00:00:00-06:00,122.3077272521125 V
2017-06-06T00:00:00-06:00,122.41078794797262 V
2017-06-07T00:00:00-06:00,122.30323018497891 V
2017-06-08T00:00:00-06:00,122.37193297809657 V
2017-06-09T00:00:00-06:00,122.32399950027465 V
2017-06-10T00:00:00-06:00,122.38268242941962 V
2017-06-11T00:00:00-06:00,122.42386714087593 V
2017-06-12T00:00:00-06:00,122.46930747032165 V
2017-06-13T00:00:00-06:00,122.42571635246277 V
2017-06-14T00:00:00-06:00,122.51417026519775 V
2017-06-15T00:00:00-06:00,122.43447270393372 V
2017-06-16T00:00:00-06:00,122.43382539219327 V
2017-06-17T00:00:00-06:00,122.37696408695645 V
2017-06-18T00:00:00-06:00,122.37705343034533 V
2017-06-19T00:00:00-06:00,122.37785544925266 V
2017-06-20T00:00:00-06:00,122.4136021455129 V
2017-06-21T00:00:00-06:00,122.42653842101585 V
2017-06-22T00:00:00-06:00,122.37554847399393 V
2017-06-23T00:00:00-06:00,122.38119148148431 V
2017-06-24T00:00:00-06:00,122.47455574671427 V
2017-06-25T00:00:00-06:00,122.4452963511149 V
2017-06-26T00:00:00-06:00,122.34583803113351 V
2017-06-27T00:00:00-06:00,122.35137001673381 V
2017-06-28T00:00:00-06:00,122.21189832687378 V
2017-06-29T00:00:00-06:00,122.3781255086263 V
2017-06-30T00:00:00-06:00,122.59484052658081 V
2017-07-01T00:00:00-06:00,122.43995785713196 V
2017-07-02T00:00:00-06:00,122.46461621920268 V
2017-07-03T00:00:00-06:00,122.30352020263672 V
2017-07-04T00:00:00-06:00,122.41488496462505 V
2017-07-05T00:00:00-06:00,122.38812168439229 V
2017-07-06T00:00:00-06:00,122.30624445279439 V
2017-07-07T00:00:00-06:00,122.34471448262532 V
2017-07-08T00:00:00-06:00,122.42568397521973 V
2017-07-09T00:00:00-06:00,122.28743290901184 V
2017-07-10T00:00:00-06:00,122.25729401906331 V
2017-07-11T00:00:00-06:00,122.31195664405823 V
2017-07-12T00:00:00-06:00,122.36516229311626 V
2017-07-13T00:00:00-06:00,122.33600854873657 V
2017-07-14T00:00:00-06:00,122.34936189651489 V
2017-07-15T00:00:00-06:00,122.35366495450337 V
2017-07-16T00:00:00-06:00,122.37875644365947 V
2017-07-17T00:00:00-06:00,122.32154361406963 V
2017-07-18T00:00:00-06:00,122.41272759437561 V
2017-07-19T00:00:00-06:00,122.29375791549683 V
2017-07-20T00:00:00-06:00,122.32657488187154 V
2017-07-21T00:00:00-06:00,122.34921900431316 V
2017-07-22T00:00:00-06:00,122.36837275822957 V
2017-07-23T00:00:00-06:00,122.43316109975179 V
2017-07-24T00:00:00-06:00,122.34776123364766 V
2017-07-25T00:00:00-06:00,122.43724664052327 V
2017-07-26T00:00:00-06:00,122.27618757883708 V
2017-07-27T00:00:00-06:00,122.36943133672078 V
2017-07-28T00:00:00-06:00,122.30373016993205 V
2017-07-29T00:00:00-06:00,122.27288587888081 V
2017-07-30T00:00:00-06:00,122.41276852289836 V
2017-07-31T00:00:00-06:00,122.3177460829417 V
