Timestamp,['1cbacb50-9d16457a 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Current B']
2017-08-25T00:00:00-06:00,79.8497889439265 A
2017-08-26T00:00:00-06:00,67.87185017267863 A
2017-08-27T00:00:00-06:00,62.05831265449524 A
2017-08-28T00:00:00-06:00,89.54852377850077 A
2017-08-29T00:00:00-06:00,90.96872292795489 A
2017-08-30T00:00:00-06:00,94.53680570920308 A
2017-08-31T00:00:00-06:00,91.48583761850993 A
2017-09-01T00:00:00-06:00,83.74695976575215 A
2017-09-02T00:00:00-06:00,70.00200100739796 A
2017-09-03T00:00:00-06:00,67.12240262826283 A
2017-09-04T00:00:00-06:00,69.8951879342397 A
2017-09-05T00:00:00-06:00,88.37918329238892 A
2017-09-06T00:00:00-06:00,93.34735854466756 A
2017-09-07T00:00:00-06:00,88.46747291088104 A
2017-09-08T00:00:00-06:00,85.23160741705644 A
2017-09-09T00:00:00-06:00,71.43451058864594 A
2017-09-10T00:00:00-06:00,66.1292474269867 A
2017-09-11T00:00:00-06:00,96.83754396438599 A
2017-09-12T00:00:00-06:00,96.67440350850423 A
2017-09-13T00:00:00-06:00,97.59409236907959 A
2017-09-14T00:00:00-06:00,92.42317215601604 A
2017-09-15T00:00:00-06:00,91.83616709709167 A
2017-09-16T00:00:00-06:00,78.49164168039958 A
2017-09-17T00:00:00-06:00,71.78409711519878 A
2017-09-18T00:00:00-06:00,95.4277720451355 A
2017-09-19T00:00:00-06:00,89.96636009216309 A
2017-09-20T00:00:00-06:00,97.65006995201111 A
2017-09-21T00:00:00-06:00,93.58984613418579 A
2017-09-22T00:00:00-06:00,88.76626125971477 A
2017-09-23T00:00:00-06:00,78.40889771779378 A
2017-09-24T00:00:00-06:00,74.5151793162028 A
2017-09-25T00:00:00-06:00,99.75682663917542 A
2017-09-26T00:00:00-06:00,100.10465439160664 A
2017-09-27T00:00:00-06:00,104.10396854082744 A
2017-09-28T00:00:00-06:00,103.09302767117818 A
2017-09-29T00:00:00-06:00,93.91013924280803 A
2017-09-30T00:00:00-06:00,81.47511625289917 A
2017-10-01T00:00:00-06:00,84.48752848307292 A
2017-10-02T00:00:00-06:00,103.65906834602356 A
2017-10-03T00:00:00-06:00,101.34663828214009 A
2017-10-04T00:00:00-06:00,104.01927105585735 A
2017-10-05T00:00:00-06:00,100.48222080866496 A
2017-10-06T00:00:00-06:00,95.39533559481303 A
2017-10-07T00:00:00-06:00,72.14471022288005 A
2017-10-08T00:00:00-06:00,72.4343816836675 A
2017-10-09T00:00:00-06:00,84.53742933273315 A
2017-10-10T00:00:00-06:00,82.52918863296509 A
2017-10-11T00:00:00-06:00,80.99689730008443 A
2017-10-12T00:00:00-06:00,74.49422347545624 A
2017-10-13T00:00:00-06:00,77.83826971054077 A
2017-10-14T00:00:00-06:00,75.69542161623637 A
2017-10-15T00:00:00-06:00,77.56494243939717 A
2017-10-16T00:00:00-06:00,98.03752859433492 A
2017-10-17T00:00:00-06:00,94.9612906773885 A
2017-10-18T00:00:00-06:00,102.65842390060425 A
2017-10-19T00:00:00-06:00,103.20468997955322 A
2017-10-20T00:00:00-06:00,91.09053031603496 A
2017-10-21T00:00:00-06:00,76.66643579800923 A
2017-10-22T00:00:00-06:00,78.41611385345459 A
2017-10-23T00:00:00-06:00,101.28105767567952 A
2017-10-24T00:00:00-06:00,95.41796453793843 A
2017-10-25T00:00:00-06:00,99.55697806676228 A
2017-10-26T00:00:00-06:00,97.72150548299153 A
2017-10-27T00:00:00-06:00,98.09659544626872 A
2017-10-28T00:00:00-06:00,77.25907731056213 A
2017-10-29T00:00:00-06:00,78.11286505063374 A
2017-10-30T00:00:00-06:00,98.85681502024333 A
2017-10-31T00:00:00-06:00,84.28035529454549 A
2017-11-01T00:00:00-06:00,94.98059670130412 A
2017-11-02T00:00:00-06:00,94.66215109825134 A
2017-11-03T00:00:00-06:00,89.70398434003194 A
2017-11-04T00:00:00-06:00,74.38942360877991 A
2017-11-05T00:00:00-06:00,78.74436264038086 A
2017-11-06T00:00:00-07:00,105.72678399085999 A
2017-11-07T00:00:00-07:00,100.82483100891113 A
2017-11-08T00:00:00-07:00,101.30755639076233 A
2017-11-09T00:00:00-07:00,98.84948563575745 A
2017-11-10T00:00:00-07:00,89.85222848256429 A
2017-11-11T00:00:00-07:00,75.39514533678691 A
2017-11-12T00:00:00-07:00,72.33225909868877 A
2017-11-13T00:00:00-07:00,94.45409854253133 A
2017-11-14T00:00:00-07:00,94.26809962590535 A
2017-11-15T00:00:00-07:00,97.80323712031047 A
2017-11-16T00:00:00-07:00,99.4834856192271 A
2017-11-17T00:00:00-07:00,92.20165936152141 A
2017-11-18T00:00:00-07:00,73.97258694966634 A
2017-11-19T00:00:00-07:00,79.43550531069438 A
2017-11-20T00:00:00-07:00,98.87457259496053 A
2017-11-21T00:00:00-07:00,93.97097698847453 A
2017-11-22T00:00:00-07:00,90.1378288269043 A
2017-11-23T00:00:00-07:00,75.20683876673381 A
2017-11-24T00:00:00-07:00,72.27000987529755 A
2017-11-25T00:00:00-07:00,67.92361251513164 A
2017-11-26T00:00:00-07:00,72.18041594823201 A
2017-11-27T00:00:00-07:00,102.21818979581197 A
2017-11-28T00:00:00-07:00,99.61293935775757 A
2017-11-29T00:00:00-07:00,104.55433233579 A
2017-11-30T00:00:00-07:00,106.75396815935771 A
2017-12-01T00:00:00-07:00,110.12722873687744 A
2017-12-02T00:00:00-07:00,90.71875429153442 A
2017-12-03T00:00:00-07:00,90.43849849700928 A
2017-12-04T00:00:00-07:00,114.84636910756429 A
2017-12-05T00:00:00-07:00,109.93690347671509 A
2017-12-06T00:00:00-07:00,100.99479134877522 A
2017-12-07T00:00:00-07:00,97.50446478525798 A
2017-12-08T00:00:00-07:00,89.93856636683147 A
2017-12-09T00:00:00-07:00,72.07737278938293 A
2017-12-10T00:00:00-07:00,75.70998398462932 A
2017-12-11T00:00:00-07:00,87.33637770016988 A
2017-12-12T00:00:00-07:00,86.33852783838908 A
2017-12-13T00:00:00-07:00,85.69673593839009 A
2017-12-14T00:00:00-07:00,83.74730777740479 A
2017-12-15T00:00:00-07:00,79.03924751281738 A
2017-12-16T00:00:00-07:00,64.7326174179713 A
2017-12-17T00:00:00-07:00,64.5555260181427 A
2017-12-18T00:00:00-07:00,75.873354306785 A
2017-12-19T00:00:00-07:00,70.09330542882283 A
2017-12-20T00:00:00-07:00,70.33449784914653 A
2017-12-21T00:00:00-07:00,69.70233039061229 A
2017-12-22T00:00:00-07:00,64.94921561082204 A
2017-12-23T00:00:00-07:00,61.76025354862213 A
2017-12-24T00:00:00-07:00,58.24749859174093 A
2017-12-25T00:00:00-07:00,54.03884466489156 A
2017-12-26T00:00:00-07:00,54.64219423135122 A
2017-12-27T00:00:00-07:00,56.980490366617836 A
2017-12-28T00:00:00-07:00,57.32071773211161 A
2017-12-29T00:00:00-07:00,57.97820484638214 A
2017-12-30T00:00:00-07:00,57.470390478769936 A
2017-12-31T00:00:00-07:00,57.119025349617004 A
