Timestamp,['1cc3fbb2-c35ebbb9 0008-EMERY BLDG Power Meter 300026 Current B']
2017-10-23T00:00:00-06:00,87.01236979166667 A
2017-10-24T00:00:00-06:00,79.74837239583333 A
2017-10-25T00:00:00-06:00,83.49609375 A
2017-10-26T00:00:00-06:00,78.61979166666667 A
2017-10-27T00:00:00-06:00,77.76790364583333 A
2017-10-28T00:00:00-06:00,65.71940104166667 A
2017-10-29T00:00:00-06:00,72.9111328125 A
2017-10-30T00:00:00-06:00,82.57389322916667 A
2017-10-31T00:00:00-06:00,72.2353515625 A
2017-11-01T00:00:00-06:00,78.74869791666667 A
2017-11-02T00:00:00-06:00,82.841796875 A
2017-11-03T00:00:00-06:00,85.27897135416667 A
2017-11-04T00:00:00-06:00,69.35188802083333 A
2017-11-05T00:00:00-06:00,62.844375 A
2017-11-06T00:00:00-07:00,75.95930989583333 A
2017-11-07T00:00:00-07:00,79.837890625 A
2017-11-08T00:00:00-07:00,84.64713541666667 A
2017-11-09T00:00:00-07:00,91.48177083333333 A
2017-11-10T00:00:00-07:00,86.01595052083333 A
2017-11-11T00:00:00-07:00,77.74186197916667 A
2017-11-12T00:00:00-07:00,76.96419270833333 A
2017-11-13T00:00:00-07:00,89.02734375 A
2017-11-14T00:00:00-07:00,86.73600260416667 A
2017-11-15T00:00:00-07:00,90.7265625 A
2017-11-16T00:00:00-07:00,94.634765625 A
2017-11-17T00:00:00-07:00,88.98958333333333 A
2017-11-18T00:00:00-07:00,66.79752604166667 A
2017-11-19T00:00:00-07:00,68.42708333333333 A
2017-11-20T00:00:00-07:00,81.94303385416667 A
2017-11-21T00:00:00-07:00,88.49479166666667 A
2017-11-22T00:00:00-07:00,86.34602864583333 A
2017-11-23T00:00:00-07:00,72.5732421875 A
2017-11-24T00:00:00-07:00,75.80924479166667 A
2017-11-25T00:00:00-07:00,71.91015625 A
2017-11-26T00:00:00-07:00,73.98893229166667 A
2017-11-27T00:00:00-07:00,95.09342447916667 A
2017-11-28T00:00:00-07:00,84.66276041666667 A
2017-11-29T00:00:00-07:00,84.8212890625 A
2017-11-30T00:00:00-07:00,84.28743489583333 A
2017-12-01T00:00:00-07:00,78.64973958333333 A
2017-12-02T00:00:00-07:00,69.96419270833333 A
2017-12-03T00:00:00-07:00,73.78678385416667 A
2017-12-04T00:00:00-07:00,82.77571614583333 A
2017-12-05T00:00:00-07:00,82.77083333333333 A
2017-12-06T00:00:00-07:00,86.11100260416667 A
2017-12-07T00:00:00-07:00,82.86165364583333 A
2017-12-08T00:00:00-07:00,77.1728515625 A
2017-12-09T00:00:00-07:00,67.224609375 A
2017-12-10T00:00:00-07:00,69.017578125 A
2017-12-11T00:00:00-07:00,79.0673828125 A
2017-12-12T00:00:00-07:00,76.29329427083333 A
2017-12-13T00:00:00-07:00,82.62630208333333 A
2017-12-14T00:00:00-07:00,76.03255208333333 A
2017-12-15T00:00:00-07:00,75.69986979166667 A
2017-12-16T00:00:00-07:00,66.7578125 A
2017-12-17T00:00:00-07:00,66.79557291666667 A
2017-12-18T00:00:00-07:00,73.37432795698925 A
2017-12-19T00:00:00-07:00,72.982421875 A
2017-12-20T00:00:00-07:00,76.40397135416667 A
2017-12-21T00:00:00-07:00,75.72200520833333 A
2017-12-22T00:00:00-07:00,74.68131510416667 A
2017-12-23T00:00:00-07:00,71.85872395833333 A
2017-12-24T00:00:00-07:00,70.67697368421052 A
2017-12-25T00:00:00-07:00,72.10091145833333 A
2017-12-26T00:00:00-07:00,67.802734375 A
2017-12-27T00:00:00-07:00,75.552734375 A
2017-12-28T00:00:00-07:00,72.30729166666667 A
2017-12-29T00:00:00-07:00,75.2998046875 A
2017-12-30T00:00:00-07:00,75.9150390625 A
2017-12-31T00:00:00-07:00,73.09505208333333 A
