Timestamp,"['1eb29c6d-e9f662c3 0063-WARNOCK ENGR BLDG (L) Power Meter 300145 W-hours, Received']"
2017-05-31T00:00:00-06:00,1.9435221354166667 Wh
2017-06-01T00:00:00-06:00,2.2805989583333335 Wh
2017-06-02T00:00:00-06:00,1.7682291666666667 Wh
2017-06-03T00:00:00-06:00,1.3219401041666667 Wh
2017-06-04T00:00:00-06:00,1.0608723958333333 Wh
2017-06-05T00:00:00-06:00,1.2919921875 Wh
2017-06-06T00:00:00-06:00,1.5436197916666667 Wh
2017-06-07T00:00:00-06:00,1.689453125 Wh
2017-06-08T00:00:00-06:00,1.0022786458333333 Wh
2017-06-09T00:00:00-06:00,1.0843098958333333 Wh
2017-06-10T00:00:00-06:00,1.4924342105263158 Wh
2017-06-11T00:00:00-06:00,1.4602864583333333 Wh
2017-06-12T00:00:00-06:00,1.8753255208333333 Wh
2017-06-13T00:00:00-06:00,2.4938151041666665 Wh
2017-06-14T00:00:00-06:00,2.1103515625 Wh
2017-06-15T00:00:00-06:00,2.1080729166666665 Wh
2017-06-16T00:00:00-06:00,1.8271484375 Wh
2017-06-17T00:00:00-06:00,1.412109375 Wh
2017-06-18T00:00:00-06:00,1.1022135416666667 Wh
2017-06-19T00:00:00-06:00,1.6123046875 Wh
2017-06-20T00:00:00-06:00,1.6412760416666667 Wh
2017-06-21T00:00:00-06:00,1.0875651041666667 Wh
2017-06-22T00:00:00-06:00,1.1435546875 Wh
2017-06-23T00:00:00-06:00,1.0182291666666667 Wh
2017-06-24T00:00:00-06:00,0.818359375 Wh
2017-06-25T00:00:00-06:00,0.7750651041666666 Wh
2017-06-26T00:00:00-06:00,1.3177083333333333 Wh
2017-06-27T00:00:00-06:00,0.984375 Wh
2017-06-28T00:00:00-06:00,1.3151041666666667 Wh
2017-06-29T00:00:00-06:00,1.2483723958333333 Wh
2017-06-30T00:00:00-06:00,1.08984375 Wh
2017-07-01T00:00:00-06:00,0.5406901041666666 Wh
2017-07-02T00:00:00-06:00,0.3811848958333333 Wh
2017-07-03T00:00:00-06:00,0.6529947916666666 Wh
2017-07-04T00:00:00-06:00,0.4065755208333333 Wh
2017-07-05T00:00:00-06:00,0.8854166666666666 Wh
2017-07-06T00:00:00-06:00,1.2685546875 Wh
2017-07-07T00:00:00-06:00,0.7093098958333334 Wh
2017-07-08T00:00:00-06:00,0.310546875 Wh
2017-07-09T00:00:00-06:00,0.27734375 Wh
2017-07-10T00:00:00-06:00,1.1536458333333333 Wh
2017-07-11T00:00:00-06:00,1.099609375 Wh
2017-07-12T00:00:00-06:00,0.9114583333333334 Wh
2017-07-13T00:00:00-06:00,1.2464192708333333 Wh
2017-07-14T00:00:00-06:00,0.943359375 Wh
2017-07-15T00:00:00-06:00,0.8561197916666666 Wh
2017-07-16T00:00:00-06:00,0.4361979166666667 Wh
2017-07-17T00:00:00-06:00,0.9541015625 Wh
2017-07-18T00:00:00-06:00,1.3645833333333333 Wh
2017-07-19T00:00:00-06:00,1.3235677083333333 Wh
2017-07-20T00:00:00-06:00,1.1201171875 Wh
2017-07-21T00:00:00-06:00,0.791015625 Wh
2017-07-22T00:00:00-06:00,0.6022135416666666 Wh
2017-07-23T00:00:00-06:00,0.6494140625 Wh
2017-07-24T00:00:00-06:00,0.7386067708333334 Wh
2017-07-25T00:00:00-06:00,1.1168619791666667 Wh
2017-07-26T00:00:00-06:00,0.9892578125 Wh
2017-07-27T00:00:00-06:00,1.2063802083333333 Wh
2017-07-28T00:00:00-06:00,1.3294270833333333 Wh
2017-07-29T00:00:00-06:00,0.5986328125 Wh
2017-07-30T00:00:00-06:00,0.5276692708333334 Wh
2017-07-31T00:00:00-06:00,1.1881510416666667 Wh
2017-08-01T00:00:00-06:00,1.3372395833333333 Wh
2017-08-02T00:00:00-06:00,1.0901692708333333 Wh
2017-08-03T00:00:00-06:00,1.0748697916666667 Wh
2017-08-04T00:00:00-06:00,1.5837912087912087 Wh
2017-08-05T00:00:00-06:00,1.2906901041666667 Wh
2017-08-06T00:00:00-06:00,1.515625 Wh
2017-08-07T00:00:00-06:00,1.5045572916666667 Wh
2017-08-08T00:00:00-06:00,1.7405598958333333 Wh
2017-08-09T00:00:00-06:00,2.9645182291666665 Wh
2017-08-10T00:00:00-06:00,2.8414228723404253 Wh
2017-08-11T00:00:00-06:00,2.5973307291666665 Wh
2017-08-12T00:00:00-06:00,2.5146484375 Wh
2017-08-13T00:00:00-06:00,2.3362630208333335 Wh
2017-08-14T00:00:00-06:00,2.5384114583333335 Wh
2017-08-15T00:00:00-06:00,2.8271484375 Wh
2017-08-16T00:00:00-06:00,2.4915364583333335 Wh
2017-08-17T00:00:00-06:00,2.2223307291666665 Wh
2017-08-18T00:00:00-06:00,1.7044270833333333 Wh
2017-08-19T00:00:00-06:00,0.8450520833333334 Wh
2017-08-20T00:00:00-06:00,0.8785807291666666 Wh
2017-08-21T00:00:00-06:00,1.353515625 Wh
2017-08-22T00:00:00-06:00,1.8277994791666667 Wh
2017-08-23T00:00:00-06:00,1.4446614583333333 Wh
2017-08-24T00:00:00-06:00,1.818359375 Wh
2017-08-25T00:00:00-06:00,1.5354817708333333 Wh
2017-08-26T00:00:00-06:00,1.5794270833333333 Wh
2017-08-27T00:00:00-06:00,1.3196614583333333 Wh
2017-08-28T00:00:00-06:00,1.0033602150537635 Wh
2017-08-29T00:00:00-06:00,1.7691532258064515 Wh
2017-08-30T00:00:00-06:00,1.4873046875 Wh
2017-08-31T00:00:00-06:00,1.7063802083333333 Wh
2017-09-01T00:00:00-06:00,1.4169921875 Wh
2017-09-02T00:00:00-06:00,1.1910807291666667 Wh
2017-09-03T00:00:00-06:00,1.1565755208333333 Wh
2017-09-04T00:00:00-06:00,0.9996744791666666 Wh
2017-09-05T00:00:00-06:00,1.4417317708333333 Wh
2017-09-06T00:00:00-06:00,1.4381510416666667 Wh
2017-09-07T00:00:00-06:00,1.7275390625 Wh
2017-09-08T00:00:00-06:00,1.9773026315789475 Wh
2017-09-09T00:00:00-06:00,2.4514973958333335 Wh
2017-09-10T00:00:00-06:00,2.8167317708333335 Wh
2017-09-11T00:00:00-06:00,1.7571614583333333 Wh
2017-09-12T00:00:00-06:00,1.6656901041666667 Wh
2017-09-13T00:00:00-06:00,1.1637369791666667 Wh
2017-09-14T00:00:00-06:00,2.0052083333333335 Wh
2017-09-15T00:00:00-06:00,1.73828125 Wh
2017-09-16T00:00:00-06:00,2.0201822916666665 Wh
2017-09-17T00:00:00-06:00,2.1149088541666665 Wh
2017-09-18T00:00:00-06:00,1.7067057291666667 Wh
2017-09-19T00:00:00-06:00,1.78515625 Wh
2017-09-20T00:00:00-06:00,1.7353515625 Wh
2017-09-21T00:00:00-06:00,1.4794921875 Wh
2017-09-22T00:00:00-06:00,1.6865234375 Wh
2017-09-23T00:00:00-06:00,2.1640625 Wh
2017-09-24T00:00:00-06:00,2.2496744791666665 Wh
2017-09-25T00:00:00-06:00,2.1455078125 Wh
2017-09-26T00:00:00-06:00,2.4541015625 Wh
2017-09-27T00:00:00-06:00,2.033203125 Wh
2017-09-28T00:00:00-06:00,2.1647135416666665 Wh
2017-09-29T00:00:00-06:00,1.6285807291666667 Wh
2017-09-30T00:00:00-06:00,1.6630859375 Wh
2017-10-01T00:00:00-06:00,1.8557942708333333 Wh
2017-10-02T00:00:00-06:00,1.6875 Wh
2017-10-03T00:00:00-06:00,2.056640625 Wh
2017-10-04T00:00:00-06:00,1.7272135416666667 Wh
2017-10-05T00:00:00-06:00,2.2975260416666665 Wh
2017-10-06T00:00:00-06:00,2.150390625 Wh
2017-10-07T00:00:00-06:00,2.103515625 Wh
2017-10-08T00:00:00-06:00,1.8873697916666667 Wh
2017-10-09T00:00:00-06:00,2.041015625 Wh
2017-10-10T00:00:00-06:00,1.7646484375 Wh
2017-10-11T00:00:00-06:00,1.6402994791666667 Wh
2017-10-12T00:00:00-06:00,1.3987630208333333 Wh
2017-10-13T00:00:00-06:00,1.0885416666666667 Wh
2017-10-14T00:00:00-06:00,1.0279605263157894 Wh
2017-10-15T00:00:00-06:00,1.0859375 Wh
2017-10-16T00:00:00-06:00,1.7353515625 Wh
2017-10-17T00:00:00-06:00,2.1787109375 Wh
2017-10-18T00:00:00-06:00,2.2252604166666665 Wh
2017-10-19T00:00:00-06:00,2.111328125 Wh
2017-10-20T00:00:00-06:00,1.4283854166666667 Wh
2017-10-21T00:00:00-06:00,1.4274088541666667 Wh
2017-10-22T00:00:00-06:00,1.6194661458333333 Wh
2017-10-23T00:00:00-06:00,1.5107421875 Wh
2017-10-24T00:00:00-06:00,1.6272786458333333 Wh
2017-10-25T00:00:00-06:00,1.7998046875 Wh
2017-10-26T00:00:00-06:00,2.2662760416666665 Wh
2017-10-27T00:00:00-06:00,2.0924479166666665 Wh
