Timestamp,"['1daaa93b-f486931e 0037-ARCHITECTURE BLDG Power Meter (301159) Watts, 3-Ph total']"
2017-06-17T00:00:00-06:00,11.525167465209961 kW
2017-06-18T00:00:00-06:00,9.766895294189453 kW
2017-06-19T00:00:00-06:00,22.617048263549805 kW
2017-06-20T00:00:00-06:00,23.214216232299805 kW
2017-06-21T00:00:00-06:00,22.7785701751709 kW
2017-06-22T00:00:00-06:00,20.6379451751709 kW
2017-06-23T00:00:00-06:00,12.348877906799316 kW
2017-06-24T00:00:00-06:00,11.471502304077148 kW
2017-06-25T00:00:00-06:00,8.943434715270996 kW
2017-06-26T00:00:00-06:00,13.83602523803711 kW
2017-06-27T00:00:00-06:00,22.129175186157227 kW
2017-06-28T00:00:00-06:00,18.99164390563965 kW
2017-06-29T00:00:00-06:00,18.46483039855957 kW
2017-06-30T00:00:00-06:00,11.632036209106445 kW
2017-07-01T00:00:00-06:00,9.263409614562988 kW
2017-07-02T00:00:00-06:00,8.91844367980957 kW
2017-07-03T00:00:00-06:00,9.279228210449219 kW
2017-07-04T00:00:00-06:00,8.714434623718262 kW
2017-07-05T00:00:00-06:00,18.721017837524414 kW
2017-07-06T00:00:00-06:00,20.183818817138672 kW
2017-07-07T00:00:00-06:00,13.729991912841797 kW
2017-07-08T00:00:00-06:00,11.004364967346191 kW
2017-07-09T00:00:00-06:00,9.295743942260742 kW
2017-07-10T00:00:00-06:00,16.316112518310547 kW
2017-07-11T00:00:00-06:00,13.421018600463867 kW
2017-07-12T00:00:00-06:00,15.301276206970215 kW
2017-07-13T00:00:00-06:00,20.491252899169922 kW
2017-07-14T00:00:00-06:00,13.110379219055176 kW
2017-07-15T00:00:00-06:00,11.08515739440918 kW
2017-07-16T00:00:00-06:00,9.233451843261719 kW
2017-07-17T00:00:00-06:00,14.245861053466797 kW
2017-07-18T00:00:00-06:00,20.201231002807617 kW
2017-07-19T00:00:00-06:00,21.81943702697754 kW
2017-07-20T00:00:00-06:00,20.556276321411133 kW
2017-07-21T00:00:00-06:00,19.66584587097168 kW
2017-07-22T00:00:00-06:00,15.678417205810547 kW
2017-07-23T00:00:00-06:00,15.650092124938965 kW
2017-07-24T00:00:00-06:00,12.20137882232666 kW
2017-07-25T00:00:00-06:00,22.518735885620117 kW
2017-07-26T00:00:00-06:00,21.847278594970703 kW
2017-07-27T00:00:00-06:00,22.973432540893555 kW
2017-07-28T00:00:00-06:00,13.952892303466797 kW
2017-07-29T00:00:00-06:00,11.842267990112305 kW
2017-07-30T00:00:00-06:00,10.279202461242676 kW
2017-07-31T00:00:00-06:00,14.455090522766113 kW
2017-08-01T00:00:00-06:00,21.651872634887695 kW
2017-08-02T00:00:00-06:00,20.31813621520996 kW
2017-08-03T00:00:00-06:00,16.042638778686523 kW
2017-08-04T00:00:00-06:00,15.554133415222168 kW
2017-08-05T00:00:00-06:00,11.97411823272705 kW
2017-08-06T00:00:00-06:00,10.357078552246094 kW
2017-08-07T00:00:00-06:00,14.451623916625977 kW
2017-08-08T00:00:00-06:00,14.159520149230957 kW
2017-08-09T00:00:00-06:00,15.913179397583008 kW
2017-08-10T00:00:00-06:00,14.27795696258545 kW
2017-08-11T00:00:00-06:00,13.257026672363281 kW
2017-08-12T00:00:00-06:00,9.870367050170898 kW
2017-08-13T00:00:00-06:00,17.655580520629883 kW
2017-08-14T00:00:00-06:00,15.035675048828125 kW
2017-08-15T00:00:00-06:00,19.40446662902832 kW
2017-08-16T00:00:00-06:00,20.978246688842773 kW
2017-08-17T00:00:00-06:00,14.287080764770508 kW
2017-08-18T00:00:00-06:00,16.162933349609375 kW
2017-08-19T00:00:00-06:00,14.46157455444336 kW
2017-08-20T00:00:00-06:00,13.269619941711426 kW
2017-08-21T00:00:00-06:00,17.977848052978516 kW
2017-08-22T00:00:00-06:00,17.693777084350586 kW
2017-08-23T00:00:00-06:00,21.299837112426758 kW
2017-08-24T00:00:00-06:00,21.342483520507812 kW
2017-08-25T00:00:00-06:00,22.74095344543457 kW
2017-08-26T00:00:00-06:00,12.430440902709961 kW
2017-08-27T00:00:00-06:00,17.146203994750977 kW
2017-08-28T00:00:00-06:00,28.304025650024414 kW
2017-08-29T00:00:00-06:00,25.72536849975586 kW
2017-08-30T00:00:00-06:00,35.81998825073242 kW
2017-08-31T00:00:00-06:00,27.898176193237305 kW
2017-09-01T00:00:00-06:00,27.519241333007812 kW
2017-09-02T00:00:00-06:00,18.59143829345703 kW
2017-09-03T00:00:00-06:00,12.624702453613281 kW
2017-09-04T00:00:00-06:00,14.535406112670898 kW
2017-09-05T00:00:00-06:00,23.87364959716797 kW
2017-09-06T00:00:00-06:00,28.957015991210938 kW
2017-09-07T00:00:00-06:00,26.412899017333984 kW
2017-09-08T00:00:00-06:00,31.391307830810547 kW
2017-09-09T00:00:00-06:00,20.58795166015625 kW
2017-09-10T00:00:00-06:00,18.72102165222168 kW
2017-09-11T00:00:00-06:00,31.686321258544922 kW
2017-09-12T00:00:00-06:00,31.19658088684082 kW
2017-09-13T00:00:00-06:00,31.135679244995117 kW
2017-09-14T00:00:00-06:00,25.146135330200195 kW
2017-09-15T00:00:00-06:00,24.82304573059082 kW
2017-09-16T00:00:00-06:00,21.26063346862793 kW
2017-09-17T00:00:00-06:00,16.788053512573242 kW
2017-09-18T00:00:00-06:00,31.09641456604004 kW
2017-09-19T00:00:00-06:00,23.51837158203125 kW
2017-09-20T00:00:00-06:00,31.33232307434082 kW
2017-09-21T00:00:00-06:00,26.16165542602539 kW
2017-09-22T00:00:00-06:00,28.375898361206055 kW
2017-09-23T00:00:00-06:00,17.713123321533203 kW
2017-09-24T00:00:00-06:00,17.841150283813477 kW
2017-09-25T00:00:00-06:00,34.3587760925293 kW
2017-09-26T00:00:00-06:00,28.523664474487305 kW
2017-09-27T00:00:00-06:00,32.216224670410156 kW
2017-09-28T00:00:00-06:00,35.71274948120117 kW
2017-09-29T00:00:00-06:00,29.16544532775879 kW
2017-09-30T00:00:00-06:00,37.229515075683594 kW
2017-10-01T00:00:00-06:00,21.474092483520508 kW
