Timestamp,['1fd1b090-b06c20d1 0082-SKAGGS BIOLOGY BLDG Power Meter Current A']
2017-05-01T00:00:00-06:00,581.8114658991495 A
2017-05-02T00:00:00-06:00,595.5312604904175 A
2017-05-03T00:00:00-06:00,601.2093846003214 A
2017-05-04T00:00:00-06:00,572.5125102996826 A
2017-05-05T00:00:00-06:00,568.8291781743368 A
2017-05-06T00:00:00-06:00,558.6427205403646 A
2017-05-07T00:00:00-06:00,574.7416750590006 A
2017-05-08T00:00:00-06:00,615.2052243550619 A
2017-05-09T00:00:00-06:00,614.3489675521851 A
2017-05-10T00:00:00-06:00,619.1739699045817 A
2017-05-11T00:00:00-06:00,616.1187616984049 A
2017-05-12T00:00:00-06:00,615.5854279200236 A
2017-05-13T00:00:00-06:00,550.6177202860514 A
2017-05-14T00:00:00-06:00,546.9010537465414 A
2017-05-15T00:00:00-06:00,598.4645954767863 A
2017-05-16T00:00:00-06:00,616.3937641779581 A
2017-05-17T00:00:00-06:00,648.0135548909506 A
2017-05-18T00:00:00-06:00,642.7750123341879 A
2017-05-19T00:00:00-06:00,622.0573069254557 A
2017-05-20T00:00:00-06:00,567.7093846003214 A
2017-05-21T00:00:00-06:00,555.6666781107584 A
2017-05-22T00:00:00-06:00,626.8375104268392 A
2017-05-23T00:00:00-06:00,680.8145961761475 A
2017-05-24T00:00:00-06:00,672.5604305267334 A
2017-05-25T00:00:00-06:00,684.7218863169352 A
2017-05-26T00:00:00-06:00,636.0250104268392 A
2017-05-27T00:00:00-06:00,544.5968512284128 A
2017-05-28T00:00:00-06:00,540.328431460732 A
2017-05-29T00:00:00-06:00,534.4625107447306 A
2017-05-30T00:00:00-06:00,603.7833449045817 A
2017-05-31T00:00:00-06:00,609.8427197138468 A
2017-06-01T00:00:00-06:00,656.5281378428141 A
2017-06-02T00:00:00-06:00,706.6750113169352 A
2017-06-03T00:00:00-06:00,749.0343831380209 A
2017-06-04T00:00:00-06:00,763.5823040008545 A
2017-06-05T00:00:00-06:00,832.2354272206625 A
2017-06-06T00:00:00-06:00,758.562510808309 A
2017-06-07T00:00:00-06:00,742.9000155131022 A
2017-06-08T00:00:00-06:00,736.2198028564453 A
2017-06-09T00:00:00-06:00,724.9604276021322 A
2017-06-10T00:00:00-06:00,653.3968855539957 A
2017-06-11T00:00:00-06:00,679.6718908945719 A
2017-06-12T00:00:00-06:00,672.4468835194906 A
2017-06-13T00:00:00-06:00,686.0302213033041 A
2017-06-14T00:00:00-06:00,748.3864695231119 A
2017-06-15T00:00:00-06:00,787.8031380971273 A
2017-06-16T00:00:00-06:00,801.0604279836019 A
2017-06-17T00:00:00-06:00,715.5500106811523 A
2017-06-18T00:00:00-06:00,654.4760551452637 A
2017-06-19T00:00:00-06:00,790.6885553995768 A
2017-06-20T00:00:00-06:00,819.5645949045817 A
2017-06-21T00:00:00-06:00,841.485429763794 A
2017-06-22T00:00:00-06:00,793.5823040008545 A
2017-06-23T00:00:00-06:00,759.576057434082 A
2017-06-24T00:00:00-06:00,738.4291769663492 A
2017-06-25T00:00:00-06:00,773.6854254404703 A
2017-06-26T00:00:00-06:00,858.7781410217285 A
2017-06-27T00:00:00-06:00,841.1198062896729 A
2017-06-28T00:00:00-06:00,790.7343870798746 A
2017-06-29T00:00:00-06:00,756.5062611897787 A
2017-06-30T00:00:00-06:00,768.6479295094808 A
2017-07-01T00:00:00-06:00,727.9020957946777 A
2017-07-02T00:00:00-06:00,741.6854279836019 A
2017-07-03T00:00:00-06:00,779.5750141143799 A
2017-07-04T00:00:00-06:00,764.0906391143799 A
