Timestamp,['1ef46852-9372bc23 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current C']
2017-04-30T00:00:00-06:00,26.334683616956074 A
2017-05-01T00:00:00-06:00,33.13213310639063 A
2017-05-02T00:00:00-06:00,32.2120506366094 A
2017-05-03T00:00:00-06:00,32.70644351840019 A
2017-05-04T00:00:00-06:00,31.516259739796322 A
2017-05-05T00:00:00-06:00,31.167815844217937 A
2017-05-06T00:00:00-06:00,22.222983588774998 A
2017-05-07T00:00:00-06:00,34.91663686434428 A
2017-05-08T00:00:00-06:00,29.6238980392615 A
2017-05-09T00:00:00-06:00,34.733400762081146 A
2017-05-10T00:00:00-06:00,28.56771417458852 A
2017-05-11T00:00:00-06:00,32.97668592135111 A
2017-05-12T00:00:00-06:00,32.46600783864657 A
2017-05-13T00:00:00-06:00,28.62747652331988 A
2017-05-14T00:00:00-06:00,33.587992027401924 A
2017-05-15T00:00:00-06:00,28.61481410264969 A
2017-05-16T00:00:00-06:00,26.859187612930935 A
2017-05-17T00:00:00-06:00,29.97331126530965 A
2017-05-18T00:00:00-06:00,28.06877899169922 A
2017-05-19T00:00:00-06:00,29.740737040837605 A
2017-05-20T00:00:00-06:00,35.09656519691149 A
2017-05-21T00:00:00-06:00,27.043688376744587 A
2017-05-22T00:00:00-06:00,33.031605978806816 A
2017-05-23T00:00:00-06:00,33.88523052136103 A
2017-05-24T00:00:00-06:00,27.542730172475178 A
2017-05-25T00:00:00-06:00,28.426625629266102 A
2017-05-26T00:00:00-06:00,28.631587654352188 A
2017-05-27T00:00:00-06:00,35.17478649814924 A
2017-05-28T00:00:00-06:00,36.90802085776078 A
2017-05-29T00:00:00-06:00,35.34594885173597 A
2017-05-30T00:00:00-06:00,32.93860951066017 A
2017-05-31T00:00:00-06:00,31.63946850101153 A
2017-06-01T00:00:00-06:00,25.12766773502032 A
2017-06-02T00:00:00-06:00,32.45412280162176 A
2017-06-03T00:00:00-06:00,32.1885017901659 A
2017-06-04T00:00:00-06:00,30.463080445925396 A
2017-06-05T00:00:00-06:00,31.376908391714096 A
2017-06-06T00:00:00-06:00,29.924502859512966 A
2017-06-07T00:00:00-06:00,30.068147669235866 A
2017-06-08T00:00:00-06:00,32.177040646473564 A
2017-06-09T00:00:00-06:00,33.25891575217247 A
2017-06-10T00:00:00-06:00,32.74225317438444 A
2017-06-11T00:00:00-06:00,34.5391502926747 A
2017-06-12T00:00:00-06:00,28.983466853698094 A
2017-06-13T00:00:00-06:00,29.63956196109454 A
