Timestamp,"['1ee9af2a-f7871664 0053-OLPIN UNION Power Meter (53-5) 300115 Watts, 3-Ph total']"
2017-04-26T00:00:00-06:00,49.46424865722656 kW
2017-04-27T00:00:00-06:00,52.231910705566406 kW
2017-04-28T00:00:00-06:00,49.99946212768555 kW
2017-04-29T00:00:00-06:00,36.305450439453125 kW
2017-04-30T00:00:00-06:00,32.38945388793945 kW
2017-05-01T00:00:00-06:00,49.295711517333984 kW
2017-05-02T00:00:00-06:00,52.32946014404297 kW
2017-05-03T00:00:00-06:00,49.65631103515625 kW
2017-05-04T00:00:00-06:00,44.9227294921875 kW
2017-05-05T00:00:00-06:00,41.65825653076172 kW
2017-05-06T00:00:00-06:00,29.410011291503906 kW
2017-05-07T00:00:00-06:00,35.573814392089844 kW
2017-05-08T00:00:00-06:00,42.665191650390625 kW
2017-05-09T00:00:00-06:00,49.762290954589844 kW
2017-05-10T00:00:00-06:00,47.269744873046875 kW
2017-05-11T00:00:00-06:00,46.75657272338867 kW
2017-05-12T00:00:00-06:00,42.02357864379883 kW
2017-05-13T00:00:00-06:00,29.152524948120117 kW
2017-05-14T00:00:00-06:00,27.89350128173828 kW
2017-05-15T00:00:00-06:00,47.44091033935547 kW
2017-05-16T00:00:00-06:00,50.18910598754883 kW
2017-05-17T00:00:00-06:00,51.7231330871582 kW
2017-05-18T00:00:00-06:00,48.14457702636719 kW
2017-05-19T00:00:00-06:00,50.31947708129883 kW
2017-05-20T00:00:00-06:00,30.284645080566406 kW
2017-05-21T00:00:00-06:00,31.75843620300293 kW
2017-05-22T00:00:00-06:00,43.23796463012695 kW
2017-05-23T00:00:00-06:00,56.1552734375 kW
2017-05-24T00:00:00-06:00,50.53023147583008 kW
2017-05-25T00:00:00-06:00,47.21300506591797 kW
2017-05-26T00:00:00-06:00,43.28340530395508 kW
2017-05-27T00:00:00-06:00,26.810354232788086 kW
2017-05-28T00:00:00-06:00,27.635784149169922 kW
2017-05-29T00:00:00-06:00,31.780019760131836 kW
2017-05-30T00:00:00-06:00,47.12042236328125 kW
2017-05-31T00:00:00-06:00,48.52326202392578 kW
2017-06-01T00:00:00-06:00,48.05441665649414 kW
2017-06-02T00:00:00-06:00,46.77141189575195 kW
2017-06-03T00:00:00-06:00,31.865550994873047 kW
2017-06-04T00:00:00-06:00,32.38873291015625 kW
2017-06-05T00:00:00-06:00,52.927677154541016 kW
2017-06-06T00:00:00-06:00,51.3443717956543 kW
2017-06-07T00:00:00-06:00,45.14748001098633 kW
2017-06-08T00:00:00-06:00,48.85314178466797 kW
2017-06-09T00:00:00-06:00,47.32639694213867 kW
2017-06-10T00:00:00-06:00,31.589853286743164 kW
2017-06-11T00:00:00-06:00,29.860355377197266 kW
2017-06-12T00:00:00-06:00,51.0605354309082 kW
2017-06-13T00:00:00-06:00,46.83271789550781 kW
2017-06-14T00:00:00-06:00,43.93031692504883 kW
2017-06-15T00:00:00-06:00,43.918209075927734 kW
2017-06-16T00:00:00-06:00,45.16390609741211 kW
2017-06-17T00:00:00-06:00,32.52808380126953 kW
2017-06-18T00:00:00-06:00,32.8852653503418 kW
2017-06-19T00:00:00-06:00,47.306304931640625 kW
2017-06-20T00:00:00-06:00,49.17155456542969 kW
