Timestamp,['1cbacc0f-ce996dcb 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt AN']
2017-10-07T00:00:00-06:00,122.14915649096172 V
2017-10-08T00:00:00-06:00,122.08149655659993 V
2017-10-09T00:00:00-06:00,122.0582541624705 V
2017-10-10T00:00:00-06:00,121.97783382733662 V
2017-10-11T00:00:00-06:00,121.98834999402364 V
2017-10-12T00:00:00-06:00,122.09506003061931 V
2017-10-13T00:00:00-06:00,122.02674969037373 V
2017-10-14T00:00:00-06:00,121.98235996564229 V
2017-10-15T00:00:00-06:00,121.95597473780315 V
2017-10-16T00:00:00-06:00,121.96518389383952 V
2017-10-17T00:00:00-06:00,121.88617881139119 V
2017-10-18T00:00:00-06:00,122.08561484018962 V
2017-10-19T00:00:00-06:00,122.15267093976338 V
2017-10-20T00:00:00-06:00,121.95528260866801 V
2017-10-21T00:00:00-06:00,122.04932896296184 V
2017-10-22T00:00:00-06:00,121.96462035179138 V
2017-10-23T00:00:00-06:00,122.1507453918457 V
2017-10-24T00:00:00-06:00,122.04976312319438 V
2017-10-25T00:00:00-06:00,122.09149813652039 V
2017-10-26T00:00:00-06:00,121.96612159411113 V
2017-10-27T00:00:00-06:00,122.02110648155212 V
2017-10-28T00:00:00-06:00,121.96563529968262 V
2017-10-29T00:00:00-06:00,121.91760015487671 V
2017-10-30T00:00:00-06:00,122.0778177579244 V
2017-10-31T00:00:00-06:00,122.11981264750163 V
2017-11-01T00:00:00-06:00,121.88055618604024 V
2017-11-02T00:00:00-06:00,122.07335352897644 V
2017-11-03T00:00:00-06:00,122.08673826853435 V
2017-11-04T00:00:00-06:00,121.99434781074524 V
2017-11-05T00:00:00-06:00,122.07138877868653 V
2017-11-06T00:00:00-07:00,122.12350082397461 V
2017-11-07T00:00:00-07:00,122.15634536743164 V
2017-11-08T00:00:00-07:00,121.98997529347737 V
2017-11-09T00:00:00-07:00,121.9645307858785 V
2017-11-10T00:00:00-07:00,122.08493296305339 V
2017-11-11T00:00:00-07:00,121.94739683469136 V
2017-11-12T00:00:00-07:00,122.01774803797404 V
2017-11-13T00:00:00-07:00,122.05023622512817 V
2017-11-14T00:00:00-07:00,121.98978273073833 V
2017-11-15T00:00:00-07:00,121.75725412368774 V
2017-11-16T00:00:00-07:00,122.1915872891744 V
2017-11-17T00:00:00-07:00,122.00457747777303 V
2017-11-18T00:00:00-07:00,122.13404615720113 V
2017-11-19T00:00:00-07:00,122.27362553278606 V
2017-11-20T00:00:00-07:00,122.123392979304 V
2017-11-21T00:00:00-07:00,121.87615648905437 V
2017-11-22T00:00:00-07:00,122.09902389844258 V
2017-11-23T00:00:00-07:00,122.07141383488973 V
2017-11-24T00:00:00-07:00,122.12019522984822 V
2017-11-25T00:00:00-07:00,121.9820929368337 V
2017-11-26T00:00:00-07:00,122.03314717610677 V
2017-11-27T00:00:00-07:00,122.06364512443542 V
2017-11-28T00:00:00-07:00,121.95575189590454 V
2017-11-29T00:00:00-07:00,121.90788563092549 V
2017-11-30T00:00:00-07:00,121.84153787295024 V
2017-12-01T00:00:00-07:00,121.95903706550598 V
2017-12-02T00:00:00-07:00,121.90969522794087 V
2017-12-03T00:00:00-07:00,121.89113481839497 V
2017-12-04T00:00:00-07:00,121.8468234539032 V
2017-12-05T00:00:00-07:00,121.98731740315755 V
2017-12-06T00:00:00-07:00,122.01405866940816 V
2017-12-07T00:00:00-07:00,122.1213010152181 V
2017-12-08T00:00:00-07:00,122.12595264116923 V
2017-12-09T00:00:00-07:00,122.14884352684021 V
2017-12-10T00:00:00-07:00,122.0742830435435 V
2017-12-11T00:00:00-07:00,122.00188366572063 V
2017-12-12T00:00:00-07:00,121.88784416516621 V
2017-12-13T00:00:00-07:00,122.01483186086018 V
2017-12-14T00:00:00-07:00,122.111146291097 V
2017-12-15T00:00:00-07:00,121.98329520225525 V
2017-12-16T00:00:00-07:00,122.10440436999004 V
2017-12-17T00:00:00-07:00,121.9331837495168 V
2017-12-18T00:00:00-07:00,122.00827075589088 V
2017-12-19T00:00:00-07:00,121.88395110766093 V
2017-12-20T00:00:00-07:00,122.05857841173808 V
2017-12-21T00:00:00-07:00,121.94664573669434 V
2017-12-22T00:00:00-07:00,121.99310413996379 V
2017-12-23T00:00:00-07:00,121.95189992586772 V
2017-12-24T00:00:00-07:00,121.9354776541392 V
2017-12-25T00:00:00-07:00,122.09561705589294 V
2017-12-26T00:00:00-07:00,122.11284526189168 V
2017-12-27T00:00:00-07:00,121.81418387095134 V
2017-12-28T00:00:00-07:00,122.0956662495931 V
2017-12-29T00:00:00-07:00,121.97837424278259 V
2017-12-30T00:00:00-07:00,121.94137573242188 V
2017-12-31T00:00:00-07:00,121.87048204739888 V
