Timestamp,['1cbae9a6-b909582d 0038-ART BLDG Power Meter 300086 Volts AN']
2017-03-03T00:00:00-07:00,122.85928699705336 V
2017-03-04T00:00:00-07:00,122.54282599555121 V
2017-03-05T00:00:00-07:00,122.87856811947293 V
2017-03-06T00:00:00-07:00,122.7254166232215 V
2017-03-07T00:00:00-07:00,122.64774394565158 V
2017-03-08T00:00:00-07:00,122.69360046386718 V
2017-03-09T00:00:00-07:00,122.56970785458883 V
2017-03-10T00:00:00-07:00,122.81509626176623 V
2017-03-11T00:00:00-07:00,122.84113226996527 V
2017-03-12T00:00:00-07:00,122.78856361837298 V
2017-03-13T00:00:00-06:00,122.83591085010104 V
2017-03-14T00:00:00-06:00,122.77243431939019 V
2017-03-15T00:00:00-06:00,122.51361181471083 V
2017-03-16T00:00:00-06:00,122.69651799731784 V
2017-03-17T00:00:00-06:00,122.7311319510142 V
2017-03-18T00:00:00-06:00,122.68970801035563 V
2017-03-19T00:00:00-06:00,122.60385288132562 V
2017-03-20T00:00:00-06:00,122.58788896574006 V
2017-03-21T00:00:00-06:00,122.50011787944369 V
2017-03-22T00:00:00-06:00,122.63492597473993 V
2017-03-23T00:00:00-06:00,122.63379709985522 V
2017-03-24T00:00:00-06:00,122.63913884692722 V
2017-03-25T00:00:00-06:00,122.56488525602552 V
2017-03-26T00:00:00-06:00,122.76421515146892 V
2017-03-27T00:00:00-06:00,122.61765456199646 V
2017-03-28T00:00:00-06:00,122.56876647207471 V
2017-03-29T00:00:00-06:00,122.61738377313284 V
2017-03-30T00:00:00-06:00,122.45804723668981 V
2017-03-31T00:00:00-06:00,122.56891080685338 V
2017-04-01T00:00:00-06:00,122.60748218430413 V
2017-04-02T00:00:00-06:00,122.66890744633145 V
2017-04-03T00:00:00-06:00,122.46425645086501 V
2017-04-04T00:00:00-06:00,122.48102959526909 V
2017-04-05T00:00:00-06:00,122.40297730233934 V
2017-04-06T00:00:00-06:00,122.57949599160088 V
2017-04-07T00:00:00-06:00,122.572980149587 V
2017-04-08T00:00:00-06:00,122.54902333683438 V
2017-04-09T00:00:00-06:00,122.74141000641717 V
2017-04-10T00:00:00-06:00,122.58609273168776 V
2017-04-11T00:00:00-06:00,122.6639550420973 V
2017-04-12T00:00:00-06:00,122.63303820292155 V
2017-04-13T00:00:00-06:00,122.56214607026843 V
2017-04-14T00:00:00-06:00,122.6917822625902 V
2017-04-15T00:00:00-06:00,122.40540161132813 V
2017-04-16T00:00:00-06:00,122.64586337197564 V
2017-04-17T00:00:00-06:00,122.53985344039069 V
2017-04-18T00:00:00-06:00,122.37845051694529 V
2017-04-19T00:00:00-06:00,122.35751067797342 V
2017-04-20T00:00:00-06:00,122.3170096874237 V
2017-04-21T00:00:00-06:00,122.64127505620321 V
2017-04-22T00:00:00-06:00,122.42470044559903 V
2017-04-23T00:00:00-06:00,122.48939505153233 V
2017-04-24T00:00:00-06:00,122.56388863457573 V
2017-04-25T00:00:00-06:00,122.55129746860928 V
2017-04-26T00:00:00-06:00,122.47831673092313 V
2017-04-27T00:00:00-06:00,122.57146578894721 V
2017-04-28T00:00:00-06:00,122.50569465955098 V
2017-04-29T00:00:00-06:00,122.64579399426778 V
2017-04-30T00:00:00-06:00,122.4696170700921 V
2017-05-01T00:00:00-06:00,122.60633035765754 V
2017-05-02T00:00:00-06:00,122.4678378423055 V
2017-05-03T00:00:00-06:00,122.49931025505066 V
2017-05-04T00:00:00-06:00,122.43748603396945 V
2017-05-05T00:00:00-06:00,122.39136453204685 V
2017-05-06T00:00:00-06:00,122.49835282431708 V
2017-05-07T00:00:00-06:00,122.4904821978675 V
2017-05-08T00:00:00-06:00,122.55185469080892 V
2017-05-09T00:00:00-06:00,122.60688671535915 V
2017-05-10T00:00:00-06:00,122.6723935339186 V
2017-05-11T00:00:00-06:00,122.5894492679172 V
2017-05-12T00:00:00-06:00,122.53969385359022 V
2017-05-13T00:00:00-06:00,122.5683570490943 V
2017-05-14T00:00:00-06:00,122.3637362851037 V
2017-05-15T00:00:00-06:00,122.55149567921957 V
2017-05-16T00:00:00-06:00,122.49749143918355 V
2017-05-17T00:00:00-06:00,122.57067898114522 V
2017-05-18T00:00:00-06:00,122.5883311589559 V
2017-05-19T00:00:00-06:00,122.73121551407708 V
2017-05-20T00:00:00-06:00,122.45479329956902 V
2017-05-21T00:00:00-06:00,122.45911939409044 V
2017-05-22T00:00:00-06:00,122.53462441232469 V
2017-05-23T00:00:00-06:00,122.58389089372423 V
2017-05-24T00:00:00-06:00,122.50317483478122 V
2017-05-25T00:00:00-06:00,122.48736009067959 V
2017-05-26T00:00:00-06:00,122.62470207744174 V
2017-05-27T00:00:00-06:00,122.71865465905931 V
2017-05-28T00:00:00-06:00,122.71869904730055 V
2017-05-29T00:00:00-06:00,122.56850317319234 V
2017-05-30T00:00:00-06:00,122.52278900676303 V
2017-05-31T00:00:00-06:00,122.52711403577008 V
2017-06-01T00:00:00-06:00,122.52969940503438 V
2017-06-02T00:00:00-06:00,122.42399914750132 V
2017-06-03T00:00:00-06:00,122.54440808826023 V
2017-06-04T00:00:00-06:00,122.54310635460747 V
2017-06-05T00:00:00-06:00,122.48690639601813 V
2017-06-06T00:00:00-06:00,122.64579727914598 V
2017-06-07T00:00:00-06:00,122.49443189303081 V
2017-06-08T00:00:00-06:00,122.52563039991591 V
2017-06-09T00:00:00-06:00,122.5683458328247 V
2017-06-10T00:00:00-06:00,122.49250110520256 V
2017-06-11T00:00:00-06:00,122.55773935847812 V
2017-06-12T00:00:00-06:00,122.65555379655626 V
