Timestamp,['1d0db2aa-f39519d3 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 Current B']
2017-03-14T00:00:00-06:00,86.94394482506647 A
2017-03-15T00:00:00-06:00,91.76291179656982 A
2017-03-16T00:00:00-06:00,93.5376511865192 A
2017-03-17T00:00:00-06:00,91.75971133444044 A
2017-03-18T00:00:00-06:00,79.73548430866666 A
2017-03-19T00:00:00-06:00,81.26752302116817 A
2017-03-20T00:00:00-06:00,117.0734067387051 A
2017-03-21T00:00:00-06:00,113.35170012580024 A
2017-03-22T00:00:00-06:00,114.74037326176962 A
2017-03-23T00:00:00-06:00,113.7869223276774 A
2017-03-24T00:00:00-06:00,114.03177525202433 A
2017-03-25T00:00:00-06:00,111.79881840811835 A
2017-03-26T00:00:00-06:00,111.08629567358228 A
2017-03-27T00:00:00-06:00,112.43923897213406 A
2017-03-28T00:00:00-06:00,113.05848799811469 A
2017-03-29T00:00:00-06:00,113.17888338037247 A
2017-03-30T00:00:00-06:00,113.17884351889785 A
2017-03-31T00:00:00-06:00,112.12742363611856 A
2017-04-01T00:00:00-06:00,110.61093186802334 A
2017-04-02T00:00:00-06:00,111.09297559511411 A
2017-04-03T00:00:00-06:00,112.04845985836452 A
2017-04-04T00:00:00-06:00,112.56764230728149 A
2017-04-05T00:00:00-06:00,113.74268808364869 A
2017-04-06T00:00:00-06:00,112.03471592797173 A
2017-04-07T00:00:00-06:00,110.49079146915012 A
2017-04-08T00:00:00-06:00,108.3016979429457 A
2017-04-09T00:00:00-06:00,108.2166164610121 A
2017-04-10T00:00:00-06:00,110.72128227021959 A
2017-04-11T00:00:00-06:00,111.2102933830685 A
2017-04-12T00:00:00-06:00,122.82023137940301 A
2017-04-13T00:00:00-06:00,164.4317681639734 A
2017-04-14T00:00:00-06:00,116.7683447555757 A
2017-04-15T00:00:00-06:00,81.84192147053463 A
2017-04-16T00:00:00-06:00,87.19822544070846 A
2017-04-17T00:00:00-06:00,122.47160645305807 A
2017-04-18T00:00:00-06:00,144.28427423289125 A
2017-04-19T00:00:00-06:00,118.55589332859012 A
2017-04-20T00:00:00-06:00,115.83709287574823 A
2017-04-21T00:00:00-06:00,115.15476053802061 A
2017-04-22T00:00:00-06:00,105.82507581922744 A
2017-04-23T00:00:00-06:00,113.36876991382543 A
2017-04-24T00:00:00-06:00,113.2467223002189 A
2017-04-25T00:00:00-06:00,105.74509636672227 A
2017-04-26T00:00:00-06:00,92.87605221067156 A
2017-04-27T00:00:00-06:00,89.90632655184034 A
2017-04-28T00:00:00-06:00,89.80019039577908 A
2017-04-29T00:00:00-06:00,85.19909590085348 A
2017-04-30T00:00:00-06:00,89.20210058088783 A
2017-05-01T00:00:00-06:00,104.98103145493401 A
2017-05-02T00:00:00-06:00,108.36554434214924 A
2017-05-03T00:00:00-06:00,103.85372123718261 A
2017-05-04T00:00:00-06:00,119.55018271539444 A
2017-05-05T00:00:00-06:00,186.26139569282532 A
2017-05-06T00:00:00-06:00,203.05881110827127 A
2017-05-07T00:00:00-06:00,176.06844922701518 A
2017-05-08T00:00:00-06:00,173.06132431583129 A
2017-05-09T00:00:00-06:00,215.1260180897183 A
2017-05-10T00:00:00-06:00,211.62396523918903 A
2017-05-11T00:00:00-06:00,183.3058206865004 A
2017-05-12T00:00:00-06:00,225.80804065090794 A
2017-05-13T00:00:00-06:00,84.42295507854885 A
2017-05-14T00:00:00-06:00,89.32505054893521 A
2017-05-15T00:00:00-06:00,100.39919821421306 A
2017-05-16T00:00:00-06:00,104.80302966001223 A
2017-05-17T00:00:00-06:00,90.79110938970992 A
2017-05-18T00:00:00-06:00,90.02661078703319 A
2017-05-19T00:00:00-06:00,131.76833568271115 A
2017-05-20T00:00:00-06:00,89.16493313295621 A
2017-05-21T00:00:00-06:00,94.84992525373187 A
2017-05-22T00:00:00-06:00,147.02550827026369 A
2017-05-23T00:00:00-06:00,216.2870763053357 A
2017-05-24T00:00:00-06:00,220.92399632914083 A
2017-05-25T00:00:00-06:00,191.39493164277414 A
2017-05-26T00:00:00-06:00,212.17895349272598 A
2017-05-27T00:00:00-06:00,127.62043613433838 A
2017-05-28T00:00:00-06:00,239.30242066383363 A
2017-05-29T00:00:00-06:00,225.40442116919985 A
2017-05-30T00:00:00-06:00,231.6878891044193 A
2017-05-31T00:00:00-06:00,236.59579934014215 A
2017-06-01T00:00:00-06:00,246.29184834406925 A
2017-06-02T00:00:00-06:00,222.73751670463935 A
2017-06-03T00:00:00-06:00,182.6016968740544 A
2017-06-04T00:00:00-06:00,193.51172053745816 A
2017-06-05T00:00:00-06:00,231.79249651696946 A
2017-06-06T00:00:00-06:00,220.0632791519165 A
2017-06-07T00:00:00-06:00,227.32060969670613 A
2017-06-08T00:00:00-06:00,237.65632042355008 A
2017-06-09T00:00:00-06:00,203.10499756314215 A
2017-06-10T00:00:00-06:00,179.64323700798883 A
2017-06-11T00:00:00-06:00,183.1323775238461 A
2017-06-12T00:00:00-06:00,185.36822348107825 A
2017-06-13T00:00:00-06:00,145.33974075317383 A
2017-06-14T00:00:00-06:00,209.77213769659295 A
2017-06-15T00:00:00-06:00,214.5838356865777 A
2017-06-16T00:00:00-06:00,223.4195706685384 A
2017-06-17T00:00:00-06:00,183.97427213986714 A
2017-06-18T00:00:00-06:00,182.11475855330346 A
2017-06-19T00:00:00-06:00,230.97514754931132 A
2017-06-20T00:00:00-06:00,241.3554196940528 A
2017-06-21T00:00:00-06:00,241.64885235638687 A
2017-06-22T00:00:00-06:00,111.35975586259869 A
2017-06-23T00:00:00-06:00,128.33645331154406 A
2017-06-24T00:00:00-06:00,113.64679561999503 A
2017-06-25T00:00:00-06:00,85.44878504041215 A
2017-06-26T00:00:00-06:00,226.7197147710684 A
2017-06-27T00:00:00-06:00,321.6344289779663 A
2017-06-28T00:00:00-06:00,327.26457293828327 A
2017-06-29T00:00:00-06:00,295.76809724171954 A
2017-06-30T00:00:00-06:00,282.6134436925252 A
2017-07-01T00:00:00-06:00,277.666536172231 A
2017-07-02T00:00:00-06:00,280.27935949961346 A
2017-07-03T00:00:00-06:00,290.3127438227336 A
2017-07-04T00:00:00-06:00,288.04342301686603 A
2017-07-05T00:00:00-06:00,299.1244789759318 A
2017-07-06T00:00:00-06:00,304.5320517222087 A
2017-07-07T00:00:00-06:00,311.06439685821533 A
2017-07-08T00:00:00-06:00,315.82327524820965 A
2017-07-09T00:00:00-06:00,327.94171237945557 A
2017-07-10T00:00:00-06:00,323.158704439799 A
2017-07-11T00:00:00-06:00,298.634934425354 A
2017-07-12T00:00:00-06:00,304.6908052762349 A
2017-07-13T00:00:00-06:00,311.9849936167399 A
2017-07-14T00:00:00-06:00,303.5695997873942 A
2017-07-15T00:00:00-06:00,298.90266545613605 A
2017-07-16T00:00:00-06:00,288.33535226186115 A
2017-07-17T00:00:00-06:00,304.44177929560345 A
2017-07-18T00:00:00-06:00,303.4412636756897 A
2017-07-19T00:00:00-06:00,289.41469049453735 A
2017-07-20T00:00:00-06:00,284.06384404500324 A
2017-07-21T00:00:00-06:00,281.7566113471985 A
2017-07-22T00:00:00-06:00,274.7720872561137 A
2017-07-23T00:00:00-06:00,260.4777539571126 A
2017-07-24T00:00:00-06:00,258.0694025357564 A
2017-07-25T00:00:00-06:00,280.3035577138265 A
2017-07-26T00:00:00-06:00,291.971317132314 A
2017-07-27T00:00:00-06:00,297.98899428049725 A
2017-07-28T00:00:00-06:00,308.6655486424764 A
2017-07-29T00:00:00-06:00,287.4475336074829 A
2017-07-30T00:00:00-06:00,280.8539884885152 A
2017-07-31T00:00:00-06:00,285.19064537684125 A
2017-08-01T00:00:00-06:00,284.2676493326823 A
2017-08-02T00:00:00-06:00,286.58218971888226 A
2017-08-03T00:00:00-06:00,284.37232128779095 A
2017-08-04T00:00:00-06:00,282.25133385819 A
2017-08-05T00:00:00-06:00,281.0095286369324 A
2017-08-06T00:00:00-06:00,300.9203028678894 A
2017-08-07T00:00:00-06:00,275.7038857142131 A
2017-08-08T00:00:00-06:00,243.47867809094882 A
2017-08-09T00:00:00-06:00,247.0191754792866 A
2017-08-10T00:00:00-06:00,248.12145131429037 A
2017-08-11T00:00:00-06:00,248.6597158908844 A
2017-08-12T00:00:00-06:00,224.48888180381374 A
2017-08-13T00:00:00-06:00,227.41927923905223 A
2017-08-14T00:00:00-06:00,248.2388195991516 A
2017-08-15T00:00:00-06:00,240.8143892790142 A
2017-08-16T00:00:00-06:00,238.8253710269928 A
2017-08-17T00:00:00-06:00,244.13479948043823 A
2017-08-18T00:00:00-06:00,248.59145925421464 A
2017-08-19T00:00:00-06:00,218.65269786753552 A
2017-08-20T00:00:00-06:00,217.5088701750103 A
2017-08-21T00:00:00-06:00,247.27157735824585 A
2017-08-22T00:00:00-06:00,247.58991511662802 A
2017-08-23T00:00:00-06:00,245.24785987536112 A
2017-08-24T00:00:00-06:00,251.2865653038025 A
2017-08-25T00:00:00-06:00,270.11373852668925 A
2017-08-26T00:00:00-06:00,225.22854493793687 A
2017-08-27T00:00:00-06:00,227.1827335357666 A
2017-08-28T00:00:00-06:00,264.10744686784415 A
