Timestamp,['1cc40667-b361f13e 0008-EMERY BLDG Power Meter 300026 Volts AB']
2017-10-23T00:00:00-06:00,211.138671875 V
2017-10-24T00:00:00-06:00,211.10188802083334 V
2017-10-25T00:00:00-06:00,211.07454427083334 V
2017-10-26T00:00:00-06:00,211.31770833333334 V
2017-10-27T00:00:00-06:00,211.263671875 V
2017-10-28T00:00:00-06:00,211.12174479166666 V
2017-10-29T00:00:00-06:00,211.34928385416666 V
2017-10-30T00:00:00-06:00,211.3251953125 V
2017-10-31T00:00:00-06:00,211.20833333333334 V
2017-11-01T00:00:00-06:00,211.1240234375 V
2017-11-02T00:00:00-06:00,211.1328125 V
2017-11-03T00:00:00-06:00,211.05045572916666 V
2017-11-04T00:00:00-06:00,211.28450520833334 V
2017-11-05T00:00:00-06:00,211.1375 V
2017-11-06T00:00:00-07:00,211.05338541666666 V
2017-11-07T00:00:00-07:00,211.12630208333334 V
2017-11-08T00:00:00-07:00,211.083984375 V
2017-11-09T00:00:00-07:00,211.3056640625 V
2017-11-10T00:00:00-07:00,211.279296875 V
2017-11-11T00:00:00-07:00,211.01953125 V
2017-11-12T00:00:00-07:00,211.205078125 V
2017-11-13T00:00:00-07:00,211.16569010416666 V
2017-11-14T00:00:00-07:00,211.59993489583334 V
2017-11-15T00:00:00-07:00,211.18522135416666 V
2017-11-16T00:00:00-07:00,211.07259114583334 V
2017-11-17T00:00:00-07:00,211.32942708333334 V
2017-11-18T00:00:00-07:00,211.51236979166666 V
2017-11-19T00:00:00-07:00,211.5419921875 V
2017-11-20T00:00:00-07:00,211.26009114583334 V
2017-11-21T00:00:00-07:00,211.208984375 V
2017-11-22T00:00:00-07:00,211.0283203125 V
2017-11-23T00:00:00-07:00,211.51627604166666 V
2017-11-24T00:00:00-07:00,211.24576822916666 V
2017-11-25T00:00:00-07:00,211.2001953125 V
2017-11-26T00:00:00-07:00,211.39420572916666 V
2017-11-27T00:00:00-07:00,211.02734375 V
2017-11-28T00:00:00-07:00,211.19921875 V
2017-11-29T00:00:00-07:00,211.30110677083334 V
2017-11-30T00:00:00-07:00,211.34635416666666 V
2017-12-01T00:00:00-07:00,211.02799479166666 V
2017-12-02T00:00:00-07:00,211.20345052083334 V
2017-12-03T00:00:00-07:00,211.27669270833334 V
2017-12-04T00:00:00-07:00,211.36979166666666 V
2017-12-05T00:00:00-07:00,211.14192708333334 V
2017-12-06T00:00:00-07:00,210.94791666666666 V
2017-12-07T00:00:00-07:00,210.94563802083334 V
2017-12-08T00:00:00-07:00,210.94010416666666 V
2017-12-09T00:00:00-07:00,211.408203125 V
2017-12-10T00:00:00-07:00,211.38346354166666 V
2017-12-11T00:00:00-07:00,211.486328125 V
2017-12-12T00:00:00-07:00,211.14095052083334 V
2017-12-13T00:00:00-07:00,211.58072916666666 V
2017-12-14T00:00:00-07:00,211.32975260416666 V
2017-12-15T00:00:00-07:00,211.25813802083334 V
2017-12-16T00:00:00-07:00,211.4892578125 V
2017-12-17T00:00:00-07:00,211.49739583333334 V
2017-12-18T00:00:00-07:00,211.55040322580646 V
2017-12-19T00:00:00-07:00,211.34700520833334 V
2017-12-20T00:00:00-07:00,211.38639322916666 V
2017-12-21T00:00:00-07:00,211.53450520833334 V
2017-12-22T00:00:00-07:00,211.62239583333334 V
2017-12-23T00:00:00-07:00,211.30826822916666 V
2017-12-24T00:00:00-07:00,211.6453947368421 V
2017-12-25T00:00:00-07:00,211.525390625 V
2017-12-26T00:00:00-07:00,211.6083984375 V
2017-12-27T00:00:00-07:00,211.5146484375 V
2017-12-28T00:00:00-07:00,211.4423828125 V
2017-12-29T00:00:00-07:00,211.3017578125 V
2017-12-30T00:00:00-07:00,211.28776041666666 V
2017-12-31T00:00:00-07:00,211.37109375 V
