Timestamp,['20d43261-80a6cab3 0043-NAVAL SCIENCE BLDG Power Meter 300093 Voltage A-N']
2017-08-23T00:00:00-06:00,122.79069767441861 V
2017-08-24T00:00:00-06:00,122.64583333333333 V
2017-08-25T00:00:00-06:00,122.61458333333333 V
2017-08-26T00:00:00-06:00,122.625 V
2017-08-27T00:00:00-06:00,122.69791666666667 V
2017-08-28T00:00:00-06:00,122.47826086956522 V
2017-08-29T00:00:00-06:00,122.3010752688172 V
2017-08-30T00:00:00-06:00,122.33333333333333 V
2017-08-31T00:00:00-06:00,122.44791666666667 V
2017-09-01T00:00:00-06:00,122.47916666666667 V
2017-09-02T00:00:00-06:00,122.55208333333333 V
2017-09-03T00:00:00-06:00,122.66666666666667 V
2017-09-04T00:00:00-06:00,122.52083333333333 V
2017-09-05T00:00:00-06:00,122.40625 V
2017-09-06T00:00:00-06:00,122.5 V
2017-09-07T00:00:00-06:00,122.41666666666667 V
2017-09-08T00:00:00-06:00,122.53684210526316 V
2017-09-09T00:00:00-06:00,122.60416666666667 V
2017-09-10T00:00:00-06:00,122.64583333333333 V
2017-09-11T00:00:00-06:00,122.40625 V
2017-09-12T00:00:00-06:00,122.51041666666667 V
2017-09-13T00:00:00-06:00,122.34375 V
2017-09-14T00:00:00-06:00,122.58333333333333 V
2017-09-15T00:00:00-06:00,122.9375 V
2017-09-16T00:00:00-06:00,123.02083333333333 V
2017-09-17T00:00:00-06:00,122.8125 V
2017-09-18T00:00:00-06:00,122.83333333333333 V
2017-09-19T00:00:00-06:00,122.79166666666667 V
2017-09-20T00:00:00-06:00,122.8125 V
2017-09-21T00:00:00-06:00,123.02083333333333 V
2017-09-22T00:00:00-06:00,123.0625 V
2017-09-23T00:00:00-06:00,123.125 V
2017-09-24T00:00:00-06:00,123.07291666666667 V
2017-09-25T00:00:00-06:00,123.14583333333333 V
2017-09-26T00:00:00-06:00,122.96875 V
2017-09-27T00:00:00-06:00,122.9375 V
2017-09-28T00:00:00-06:00,122.83333333333333 V
2017-09-29T00:00:00-06:00,122.72916666666667 V
2017-09-30T00:00:00-06:00,123.03125 V
2017-10-01T00:00:00-06:00,123.03125 V
2017-10-02T00:00:00-06:00,123.15625 V
2017-10-03T00:00:00-06:00,123.05208333333333 V
2017-10-04T00:00:00-06:00,122.92708333333333 V
2017-10-05T00:00:00-06:00,123.07291666666667 V
2017-10-06T00:00:00-06:00,122.98958333333333 V
2017-10-07T00:00:00-06:00,123.01041666666667 V
2017-10-08T00:00:00-06:00,123.14583333333333 V
2017-10-09T00:00:00-06:00,123.0625 V
2017-10-10T00:00:00-06:00,123.1875 V
2017-10-11T00:00:00-06:00,122.6875 V
2017-10-12T00:00:00-06:00,123.08333333333333 V
2017-10-13T00:00:00-06:00,123.07291666666667 V
2017-10-14T00:00:00-06:00,123.22916666666667 V
2017-10-15T00:00:00-06:00,123.17708333333333 V
