Timestamp,['1fd1b098-d20df861 0082-SKAGGS BIOLOGY BLDG Power Meter Current C']
2017-04-30T00:00:00-06:00,552.2812649408976 A
2017-05-01T00:00:00-06:00,588.4573030471802 A
2017-05-02T00:00:00-06:00,593.7010513941447 A
2017-05-03T00:00:00-06:00,598.4698041280111 A
2017-05-04T00:00:00-06:00,571.4979279836019 A
2017-05-05T00:00:00-06:00,569.970843633016 A
2017-05-06T00:00:00-06:00,568.079179763794 A
2017-05-07T00:00:00-06:00,585.1895949045817 A
2017-05-08T00:00:00-06:00,618.1583471298218 A
2017-05-09T00:00:00-06:00,620.352097829183 A
2017-05-10T00:00:00-06:00,630.0010566711426 A
2017-05-11T00:00:00-06:00,631.7812614440918 A
2017-05-12T00:00:00-06:00,626.2448043823242 A
2017-05-13T00:00:00-06:00,567.2427196502686 A
2017-05-14T00:00:00-06:00,564.6177234649658 A
2017-05-15T00:00:00-06:00,611.0187632242838 A
2017-05-16T00:00:00-06:00,625.2177193959554 A
2017-05-17T00:00:00-06:00,649.4729270935059 A
2017-05-18T00:00:00-06:00,644.6468906402588 A
2017-05-19T00:00:00-06:00,633.1333465576172 A
2017-05-20T00:00:00-06:00,597.2104326883951 A
2017-05-21T00:00:00-06:00,589.8062610626221 A
2017-05-22T00:00:00-06:00,643.9437618255615 A
2017-05-23T00:00:00-06:00,688.0489676793417 A
2017-05-24T00:00:00-06:00,679.3718846638998 A
2017-05-25T00:00:00-06:00,692.6375131607056 A
2017-05-26T00:00:00-06:00,648.2218837738037 A
2017-05-27T00:00:00-06:00,561.903167082134 A
2017-05-28T00:00:00-06:00,559.2979045667147 A
2017-05-29T00:00:00-06:00,556.1302210489908 A
2017-05-30T00:00:00-06:00,612.8416786193848 A
2017-05-31T00:00:00-06:00,621.9500118891398 A
2017-06-01T00:00:00-06:00,657.8927183151245 A
2017-06-02T00:00:00-06:00,715.2010548909506 A
2017-06-03T00:00:00-06:00,772.364595413208 A
2017-06-04T00:00:00-06:00,787.8708451588949 A
2017-06-05T00:00:00-06:00,839.6375122070312 A
2017-06-06T00:00:00-06:00,767.882303237915 A
2017-06-07T00:00:00-06:00,755.4666805267334 A
2017-06-08T00:00:00-06:00,740.5354283650717 A
2017-06-09T00:00:00-06:00,727.2823041280111 A
