Timestamp,['1f7d6d16-90a85fe3 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current B']
2017-05-03T00:00:00-06:00,205.55208333333334 A
2017-05-04T00:00:00-06:00,222.31770833333334 A
2017-05-05T00:00:00-06:00,245.2109375 A
2017-05-06T00:00:00-06:00,242.56119791666666 A
2017-05-07T00:00:00-06:00,232.48177083333334 A
2017-05-08T00:00:00-06:00,231.9453125 A
2017-05-09T00:00:00-06:00,229.20833333333334 A
2017-05-10T00:00:00-06:00,229.52864583333334 A
2017-05-11T00:00:00-06:00,250.38802083333334 A
2017-05-12T00:00:00-06:00,282.1119791666667 A
2017-05-13T00:00:00-06:00,159.42057291666666 A
2017-05-14T00:00:00-06:00,157.73958333333334 A
2017-05-15T00:00:00-06:00,198.47786458333334 A
2017-05-16T00:00:00-06:00,194.6015625 A
2017-05-17T00:00:00-06:00,197.07291666666666 A
2017-05-18T00:00:00-06:00,188.58463541666666 A
2017-05-19T00:00:00-06:00,183.29947916666666 A
2017-05-20T00:00:00-06:00,177.84114583333334 A
2017-05-21T00:00:00-06:00,166.7265625 A
2017-05-22T00:00:00-06:00,220.55208333333334 A
2017-05-23T00:00:00-06:00,251.26302083333334 A
2017-05-24T00:00:00-06:00,275.5794270833333 A
2017-05-25T00:00:00-06:00,224.25 A
2017-05-26T00:00:00-06:00,208.60286458333334 A
2017-05-27T00:00:00-06:00,193.26953125 A
2017-05-28T00:00:00-06:00,213.93229166666666 A
2017-05-29T00:00:00-06:00,237.95833333333334 A
2017-05-30T00:00:00-06:00,292.546875 A
2017-05-31T00:00:00-06:00,294.1471354166667 A
2017-06-01T00:00:00-06:00,285.72265625 A
2017-06-02T00:00:00-06:00,262.7369791666667 A
2017-06-03T00:00:00-06:00,251.50520833333334 A
2017-06-04T00:00:00-06:00,284.04296875 A
2017-06-05T00:00:00-06:00,292.4322916666667 A
2017-06-06T00:00:00-06:00,300.96484375 A
2017-06-07T00:00:00-06:00,321.97265625 A
2017-06-08T00:00:00-06:00,315.015625 A
2017-06-09T00:00:00-06:00,277.9869791666667 A
2017-06-10T00:00:00-06:00,221.10677083333334 A
2017-06-11T00:00:00-06:00,247.42708333333334 A
2017-06-12T00:00:00-06:00,237.17838541666666 A
2017-06-13T00:00:00-06:00,210.86328125 A
2017-06-14T00:00:00-06:00,249.59505208333334 A
2017-06-15T00:00:00-06:00,292.0846354166667 A
2017-06-16T00:00:00-06:00,306.2890625 A
2017-06-17T00:00:00-06:00,253.36328125 A
2017-06-18T00:00:00-06:00,248.34375 A
2017-06-19T00:00:00-06:00,300.4791666666667 A
2017-06-20T00:00:00-06:00,317.2760416666667 A
2017-06-21T00:00:00-06:00,312.5182291666667 A
2017-06-22T00:00:00-06:00,291.91796875 A
2017-06-23T00:00:00-06:00,275.6888020833333 A
2017-06-24T00:00:00-06:00,253.4921875 A
2017-06-25T00:00:00-06:00,270.8541666666667 A
2017-06-26T00:00:00-06:00,317.7604166666667 A
2017-06-27T00:00:00-06:00,311.6471354166667 A
2017-06-28T00:00:00-06:00,277.4713541666667 A
2017-06-29T00:00:00-06:00,268.328125 A
2017-06-30T00:00:00-06:00,289.3971354166667 A
2017-07-01T00:00:00-06:00,268.30078125 A
2017-07-02T00:00:00-06:00,278.7708333333333 A
2017-07-03T00:00:00-06:00,313.8255208333333 A
2017-07-04T00:00:00-06:00,301.2161458333333 A
2017-07-05T00:00:00-06:00,336.0533854166667 A
2017-07-06T00:00:00-06:00,327.0716145833333 A
2017-07-07T00:00:00-06:00,327.5611979166667 A
2017-07-08T00:00:00-06:00,299.8190104166667 A
2017-07-09T00:00:00-06:00,297.8776041666667 A
2017-07-10T00:00:00-06:00,323.6588541666667 A
2017-07-11T00:00:00-06:00,319.2682291666667 A
2017-07-12T00:00:00-06:00,310.8203125 A
2017-07-13T00:00:00-06:00,313.96875 A
2017-07-14T00:00:00-06:00,303.4947916666667 A
2017-07-15T00:00:00-06:00,284.4752604166667 A
2017-07-16T00:00:00-06:00,293.0169270833333 A
2017-07-17T00:00:00-06:00,321.0299479166667 A
2017-07-18T00:00:00-06:00,318.0403645833333 A
2017-07-19T00:00:00-06:00,323.6236979166667 A
2017-07-20T00:00:00-06:00,327.3125 A
2017-07-21T00:00:00-06:00,311.18359375 A
2017-07-22T00:00:00-06:00,289.9114583333333 A
2017-07-23T00:00:00-06:00,279.2265625 A
2017-07-24T00:00:00-06:00,290.8268229166667 A
2017-07-25T00:00:00-06:00,301.97265625 A
2017-07-26T00:00:00-06:00,301.6705729166667 A
2017-07-27T00:00:00-06:00,296.1419270833333 A
2017-07-28T00:00:00-06:00,293.86328125 A
2017-07-29T00:00:00-06:00,270.80859375 A
2017-07-30T00:00:00-06:00,279.8411458333333 A
2017-07-31T00:00:00-06:00,324.8450520833333 A
2017-08-01T00:00:00-06:00,334.97265625 A
2017-08-02T00:00:00-06:00,328.9934895833333 A
2017-08-03T00:00:00-06:00,327.2044270833333 A
2017-08-04T00:00:00-06:00,308.86538461538464 A
2017-08-05T00:00:00-06:00,279.29296875 A
2017-08-06T00:00:00-06:00,265.26953125 A
2017-08-07T00:00:00-06:00,287.46875 A
2017-08-08T00:00:00-06:00,283.75 A
2017-08-09T00:00:00-06:00,290.6549479166667 A
2017-08-10T00:00:00-06:00,289.50132978723406 A
2017-08-11T00:00:00-06:00,297.4592105263158 A
2017-08-12T00:00:00-06:00,276.1979166666667 A
2017-08-13T00:00:00-06:00,271.65625 A
2017-08-14T00:00:00-06:00,281.2395833333333 A
2017-08-15T00:00:00-06:00,278.37109375 A
2017-08-16T00:00:00-06:00,273.8255208333333 A
2017-08-17T00:00:00-06:00,288.9153645833333 A
2017-08-18T00:00:00-06:00,304.4622395833333 A
2017-08-19T00:00:00-06:00,281.38671875 A
2017-08-20T00:00:00-06:00,286.7356770833333 A
2017-08-21T00:00:00-06:00,322.7473958333333 A
2017-08-22T00:00:00-06:00,326.16015625 A
2017-08-23T00:00:00-06:00,295.0221354166667 A
2017-08-24T00:00:00-06:00,235.13802083333334 A
2017-08-25T00:00:00-06:00,311.2200520833333 A
2017-08-26T00:00:00-06:00,305.0481770833333 A
2017-08-27T00:00:00-06:00,298.8984375 A
2017-08-28T00:00:00-06:00,336.0954301075269 A
2017-08-29T00:00:00-06:00,340.4731182795699 A
2017-08-30T00:00:00-06:00,339.3958333333333 A
