Timestamp,['1ef467d3-edf83bb0 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current C']
2017-04-30T00:00:00-06:00,59.93086647987366 A
2017-05-01T00:00:00-06:00,81.4979795217514 A
2017-05-02T00:00:00-06:00,83.57406798998515 A
2017-05-03T00:00:00-06:00,81.33103215694427 A
2017-05-04T00:00:00-06:00,86.62957108020782 A
2017-05-05T00:00:00-06:00,78.64257295926411 A
2017-05-06T00:00:00-06:00,56.38263050715128 A
2017-05-07T00:00:00-06:00,55.11645785967509 A
2017-05-08T00:00:00-06:00,77.08655587832133 A
2017-05-09T00:00:00-06:00,78.81055068969727 A
2017-05-10T00:00:00-06:00,74.2450836499532 A
2017-05-11T00:00:00-06:00,72.1003581682841 A
2017-05-12T00:00:00-06:00,67.32421259085338 A
2017-05-13T00:00:00-06:00,55.26729039351145 A
2017-05-14T00:00:00-06:00,55.72535824775696 A
2017-05-15T00:00:00-06:00,70.65889048576355 A
2017-05-16T00:00:00-06:00,72.0814077059428 A
2017-05-17T00:00:00-06:00,83.31444048881531 A
2017-05-18T00:00:00-06:00,69.32166882356007 A
2017-05-19T00:00:00-06:00,81.43774314721425 A
2017-05-20T00:00:00-06:00,56.89119064807892 A
2017-05-21T00:00:00-06:00,60.44499909877777 A
2017-05-22T00:00:00-06:00,81.00579082965851 A
2017-05-23T00:00:00-06:00,85.14957344532013 A
2017-05-24T00:00:00-06:00,74.92538289229076 A
2017-05-25T00:00:00-06:00,82.74481467405955 A
2017-05-26T00:00:00-06:00,71.70982456207275 A
2017-05-27T00:00:00-06:00,59.24557185925936 A
2017-05-28T00:00:00-06:00,53.27405019601186 A
2017-05-29T00:00:00-06:00,54.82604217529297 A
2017-05-30T00:00:00-06:00,70.30327939987183 A
2017-05-31T00:00:00-06:00,69.4239643017451 A
2017-06-01T00:00:00-06:00,81.23852205276489 A
2017-06-02T00:00:00-06:00,74.92169066270192 A
2017-06-03T00:00:00-06:00,54.51063152154287 A
2017-06-04T00:00:00-06:00,55.43917564551035 A
2017-06-05T00:00:00-06:00,76.58454426129659 A
2017-06-06T00:00:00-06:00,72.96116443475087 A
2017-06-07T00:00:00-06:00,83.88328484694163 A
2017-06-08T00:00:00-06:00,79.16797884305318 A
2017-06-09T00:00:00-06:00,74.1203647851944 A
2017-06-10T00:00:00-06:00,56.805399099985756 A
2017-06-11T00:00:00-06:00,60.28850865364075 A
2017-06-12T00:00:00-06:00,65.11768297354381 A
