Timestamp,['1cd3e142-379f99ad 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Volts CN']
2017-10-20T00:00:00-06:00,280.3083391189575 V
2017-10-21T00:00:00-06:00,280.6447989145915 V
2017-10-22T00:00:00-06:00,280.416672706604 V
2017-10-23T00:00:00-06:00,280.7052141825358 V
2017-10-24T00:00:00-06:00,280.3968817392985 V
2017-10-25T00:00:00-06:00,280.5242161800987 V
2017-10-26T00:00:00-06:00,280.36146450042725 V
2017-10-27T00:00:00-06:00,280.58438205718994 V
2017-10-28T00:00:00-06:00,280.45625495910645 V
2017-10-29T00:00:00-06:00,280.223965326945 V
2017-10-30T00:00:00-06:00,280.6135476430257 V
2017-10-31T00:00:00-06:00,280.76042493184406 V
2017-11-01T00:00:00-06:00,280.0885492960612 V
2017-11-02T00:00:00-06:00,280.36979643503827 V
2017-11-03T00:00:00-06:00,280.65209007263184 V
2017-11-04T00:00:00-06:00,280.6458406448364 V
2017-11-05T00:00:00-06:00,280.79100494384767 V
2017-11-06T00:00:00-07:00,280.8645881017049 V
2017-11-07T00:00:00-07:00,280.9000075658162 V
2017-11-08T00:00:00-07:00,280.64792346954346 V
2017-11-09T00:00:00-07:00,280.3833392461141 V
2017-11-10T00:00:00-07:00,280.94583892822266 V
2017-11-11T00:00:00-07:00,280.9406318664551 V
2017-11-12T00:00:00-07:00,280.9281298319499 V
2017-11-13T00:00:00-07:00,280.62604840596515 V
2017-11-14T00:00:00-07:00,281.0489641825358 V
2017-11-15T00:00:00-07:00,280.71875699361163 V
2017-11-16T00:00:00-07:00,280.38333861033124 V
2017-11-17T00:00:00-07:00,280.3635473251343 V
2017-11-18T00:00:00-07:00,281.09063148498535 V
2017-11-19T00:00:00-07:00,281.15313084920246 V
2017-11-20T00:00:00-07:00,280.9447987874349 V
2017-11-21T00:00:00-07:00,281.05834039052326 V
2017-11-22T00:00:00-07:00,280.8687556584676 V
2017-11-23T00:00:00-07:00,280.9270884195964 V
2017-11-24T00:00:00-07:00,280.9895890553792 V
2017-11-25T00:00:00-07:00,280.85625743865967 V
2017-11-26T00:00:00-07:00,281.0385497411092 V
2017-11-27T00:00:00-07:00,281.072922706604 V
2017-11-28T00:00:00-07:00,281.1343812942505 V
2017-11-29T00:00:00-07:00,280.93021329243976 V
2017-11-30T00:00:00-07:00,281.2500066757202 V
2017-12-01T00:00:00-07:00,280.85625616709393 V
2017-12-02T00:00:00-07:00,280.8854223887126 V
2017-12-03T00:00:00-07:00,281.09167194366455 V
2017-12-04T00:00:00-07:00,280.90729967753094 V
2017-12-05T00:00:00-07:00,280.9375066757202 V
2017-12-06T00:00:00-07:00,280.9291753768921 V
2017-12-07T00:00:00-07:00,280.87604745229083 V
2017-12-08T00:00:00-07:00,280.7385473251343 V
2017-12-09T00:00:00-07:00,280.9197982152303 V
2017-12-10T00:00:00-07:00,281.05104573567706 V
2017-12-11T00:00:00-07:00,280.9468812942505 V
2017-12-12T00:00:00-07:00,280.53438027699787 V
2017-12-13T00:00:00-07:00,280.9885479609172 V
2017-12-14T00:00:00-07:00,281.0812571843465 V
2017-12-15T00:00:00-07:00,281.1833391189575 V
2017-12-16T00:00:00-07:00,280.81042257944745 V
2017-12-17T00:00:00-07:00,280.5875053405762 V
2017-12-18T00:00:00-07:00,280.55111524793836 V
2017-12-19T00:00:00-07:00,280.79375553131104 V
2017-12-20T00:00:00-07:00,280.8041737874349 V
2017-12-21T00:00:00-07:00,280.7770888010661 V
2017-12-22T00:00:00-07:00,281.0250082015991 V
2017-12-23T00:00:00-07:00,280.55417251586914 V
2017-12-24T00:00:00-07:00,281.0875062942505 V
2017-12-25T00:00:00-07:00,281.3697970708211 V
2017-12-26T00:00:00-07:00,281.453130086263 V
2017-12-27T00:00:00-07:00,280.4739643732707 V
2017-12-28T00:00:00-07:00,281.39375495910645 V
2017-12-29T00:00:00-07:00,280.84479808807373 V
2017-12-30T00:00:00-07:00,281.07188097635907 V
2017-12-31T00:00:00-07:00,280.69688002268475 V
