Timestamp,['202e54ec-5a0b408b Power Meter (HV) (316610) Current B']
2017-03-28T00:00:00-06:00,121.22222222222223 A
2017-03-29T00:00:00-06:00,130.88888888888889 A
2017-03-30T00:00:00-06:00,120.90625 A
2017-03-31T00:00:00-06:00,135.65432098765433 A
2017-04-01T00:00:00-06:00,142.43529411764706 A
2017-04-02T00:00:00-06:00,125.57142857142857 A
2017-04-03T00:00:00-06:00,129.9240506329114 A
2017-04-04T00:00:00-06:00,131.45 A
2017-04-05T00:00:00-06:00,150.09638554216866 A
2017-04-06T00:00:00-06:00,185.8148148148148 A
2017-04-07T00:00:00-06:00,184.21176470588236 A
2017-04-08T00:00:00-06:00,179.63095238095238 A
2017-04-09T00:00:00-06:00,176.31944444444446 A
2017-04-10T00:00:00-06:00,179.42045454545453 A
2017-04-11T00:00:00-06:00,179.75531914893617 A
2017-04-12T00:00:00-06:00,178.98958333333334 A
2017-04-13T00:00:00-06:00,168.125 A
2017-04-14T00:00:00-06:00,177.17582417582418 A
2017-04-15T00:00:00-06:00,176.55421686746988 A
2017-04-16T00:00:00-06:00,158.93589743589743 A
2017-04-17T00:00:00-06:00,163.08333333333334 A
2017-04-18T00:00:00-06:00,170.04597701149424 A
2017-04-19T00:00:00-06:00,156.28571428571428 A
2017-04-20T00:00:00-06:00,179.76712328767124 A
2017-04-21T00:00:00-06:00,188.88505747126436 A
2017-04-22T00:00:00-06:00,194.8953488372093 A
2017-04-23T00:00:00-06:00,191.31460674157304 A
2017-04-24T00:00:00-06:00,199.36263736263737 A
2017-04-25T00:00:00-06:00,205.81720430107526 A
2017-04-26T00:00:00-06:00,203.9277108433735 A
2017-04-27T00:00:00-06:00,200.75903614457832 A
2017-04-28T00:00:00-06:00,177.09756097560975 A
2017-04-29T00:00:00-06:00,168 A
2017-04-30T00:00:00-06:00,169.3913043478261 A
2017-05-01T00:00:00-06:00,179.2325581395349 A
2017-05-02T00:00:00-06:00,176.38636363636363 A
2017-05-03T00:00:00-06:00,148.14457831325302 A
2017-05-04T00:00:00-06:00,161.16901408450704 A
2017-05-05T00:00:00-06:00,166.29761904761904 A
2017-05-06T00:00:00-06:00,150.84782608695653 A
2017-05-07T00:00:00-06:00,142.3846153846154 A
2017-05-08T00:00:00-06:00,143.6 A
2017-05-09T00:00:00-06:00,140.27586206896552 A
2017-05-10T00:00:00-06:00,138.3780487804878 A
2017-05-11T00:00:00-06:00,142.5 A
2017-05-12T00:00:00-06:00,144.92222222222222 A
2017-05-13T00:00:00-06:00,127.37931034482759 A
2017-05-14T00:00:00-06:00,124.25316455696202 A
2017-05-15T00:00:00-06:00,137.08139534883722 A
2017-05-16T00:00:00-06:00,138.46067415730337 A
2017-05-17T00:00:00-06:00,109.37209302325581 A
2017-05-18T00:00:00-06:00,103.50549450549451 A
2017-05-19T00:00:00-06:00,112.24691358024691 A
2017-05-20T00:00:00-06:00,119.46987951807229 A
2017-05-21T00:00:00-06:00,124.34117647058824 A
2017-05-22T00:00:00-06:00,121.04819277108433 A
2017-05-23T00:00:00-06:00,134.61111111111111 A
2017-05-24T00:00:00-06:00,151.56962025316454 A
