Timestamp,['1cca7443-03868c47 0062-WARNOCK ENGR BLDG Power Meter 316606 Current A']
2017-05-01T00:00:00-06:00,109.55694444444444 A
2017-05-02T00:00:00-06:00,109.17847222222223 A
2017-05-03T00:00:00-06:00,106.70902777777778 A
2017-05-04T00:00:00-06:00,98.85416666666667 A
2017-05-05T00:00:00-06:00,93.52638888888889 A
2017-05-06T00:00:00-06:00,78.39652777777778 A
2017-05-07T00:00:00-06:00,79.86597222222223 A
2017-05-08T00:00:00-06:00,94.3556338028169 A
2017-05-09T00:00:00-06:00,95.59305555555555 A
2017-05-10T00:00:00-06:00,91.97916666666667 A
2017-05-11T00:00:00-06:00,96.80208333333333 A
2017-05-12T00:00:00-06:00,90.12847222222223 A
2017-05-13T00:00:00-06:00,75.99444444444444 A
2017-05-14T00:00:00-06:00,75.675 A
2017-05-15T00:00:00-06:00,99.86111111111111 A
2017-05-16T00:00:00-06:00,102.6944055944056 A
2017-05-17T00:00:00-06:00,106.6673611111111 A
2017-05-18T00:00:00-06:00,119.2625 A
2017-05-19T00:00:00-06:00,108.22638888888889 A
2017-05-20T00:00:00-06:00,84.46666666666667 A
2017-05-21T00:00:00-06:00,80.70694444444445 A
2017-05-22T00:00:00-06:00,107.07430555555555 A
2017-05-23T00:00:00-06:00,101.91180555555556 A
2017-05-24T00:00:00-06:00,93.41458333333334 A
2017-05-25T00:00:00-06:00,110.7388888888889 A
2017-05-26T00:00:00-06:00,98.63472222222222 A
2017-05-27T00:00:00-06:00,77.20972222222223 A
2017-05-28T00:00:00-06:00,78.40277777777777 A
2017-05-29T00:00:00-06:00,78.0375 A
2017-05-30T00:00:00-06:00,94.52708333333334 A
2017-05-31T00:00:00-06:00,102.15902777777778 A
2017-06-01T00:00:00-06:00,99.05347222222223 A
2017-06-02T00:00:00-06:00,93.36875 A
2017-06-03T00:00:00-06:00,77.5 A
2017-06-04T00:00:00-06:00,78.22083333333333 A
2017-06-05T00:00:00-06:00,94.30347222222223 A
2017-06-06T00:00:00-06:00,98.00833333333334 A
2017-06-07T00:00:00-06:00,96.84305555555555 A
2017-06-08T00:00:00-06:00,100.70972222222223 A
2017-06-09T00:00:00-06:00,93.45694444444445 A
2017-06-10T00:00:00-06:00,78.71597222222222 A
2017-06-11T00:00:00-06:00,78.68111888111888 A
2017-06-12T00:00:00-06:00,100.08333333333333 A
2017-06-13T00:00:00-06:00,100.40833333333333 A
2017-06-14T00:00:00-06:00,97.18125 A
2017-06-15T00:00:00-06:00,101.02569444444444 A
2017-06-16T00:00:00-06:00,94.00555555555556 A
2017-06-17T00:00:00-06:00,76.2 A
2017-06-18T00:00:00-06:00,75.59513888888888 A
2017-06-19T00:00:00-06:00,98.54097222222222 A
2017-06-20T00:00:00-06:00,94.93472222222222 A
2017-06-21T00:00:00-06:00,99.93333333333334 A
2017-06-22T00:00:00-06:00,90.33194444444445 A
2017-06-23T00:00:00-06:00,88.54027777777777 A
