Timestamp,['1cac6e87-2be5c7ab 0011-BROWNING BLDG Power Meter 311945 Current C']
2017-04-27T00:00:00-06:00,150.35100408130222 A
2017-04-28T00:00:00-06:00,145.77223202387492 A
2017-04-29T00:00:00-06:00,128.33158604833815 A
2017-04-30T00:00:00-06:00,129.79313921928406 A
2017-05-01T00:00:00-06:00,155.93584609561498 A
2017-05-02T00:00:00-06:00,146.9999341931585 A
2017-05-03T00:00:00-06:00,149.98217608133953 A
2017-05-04T00:00:00-06:00,149.57094466346598 A
2017-05-05T00:00:00-06:00,141.30849887829345 A
2017-05-06T00:00:00-06:00,115.31057843102349 A
2017-05-07T00:00:00-06:00,120.19892930454678 A
2017-05-08T00:00:00-06:00,139.5873842065498 A
2017-05-09T00:00:00-06:00,142.2990758313073 A
2017-05-10T00:00:00-06:00,141.01445660591125 A
2017-05-11T00:00:00-06:00,154.48537158237056 A
2017-05-12T00:00:00-06:00,151.39808353318108 A
2017-05-13T00:00:00-06:00,124.2336187309689 A
2017-05-14T00:00:00-06:00,133.66576856834513 A
2017-05-15T00:00:00-06:00,156.84907185815803 A
2017-05-16T00:00:00-06:00,162.26938172446356 A
2017-05-17T00:00:00-06:00,161.73946470154655 A
2017-05-18T00:00:00-06:00,156.68655703862507 A
2017-05-19T00:00:00-06:00,156.28579745822483 A
2017-05-20T00:00:00-06:00,150.31853895717197 A
2017-05-21T00:00:00-06:00,137.12904856286173 A
2017-05-22T00:00:00-06:00,158.74466964403788 A
2017-05-23T00:00:00-06:00,162.35691340764365 A
2017-05-24T00:00:00-06:00,161.8608735455407 A
2017-05-25T00:00:00-06:00,178.54731318155925 A
2017-05-26T00:00:00-06:00,166.6518783039517 A
2017-05-27T00:00:00-06:00,144.29707906511095 A
2017-05-28T00:00:00-06:00,140.80284912321304 A
2017-05-29T00:00:00-06:00,138.25857834689972 A
2017-05-30T00:00:00-06:00,155.1353492365943 A
2017-05-31T00:00:00-06:00,151.6413710158761 A
2017-06-01T00:00:00-06:00,155.28393437597487 A
2017-06-02T00:00:00-06:00,163.0266172726949 A
2017-06-03T00:00:00-06:00,124.23610384729173 A
2017-06-04T00:00:00-06:00,119.73917374070773 A
2017-06-05T00:00:00-06:00,137.07046217388577 A
2017-06-06T00:00:00-06:00,141.36544062826368 A
2017-06-07T00:00:00-06:00,164.61510230700176 A
2017-06-08T00:00:00-06:00,159.48427012366002 A
2017-06-09T00:00:00-06:00,162.35554306242202 A
2017-06-10T00:00:00-06:00,145.92255859375 A
2017-06-11T00:00:00-06:00,159.6610164483388 A
2017-06-12T00:00:00-06:00,155.24298049608868 A
2017-06-13T00:00:00-06:00,152.9475115776062 A
2017-06-14T00:00:00-06:00,160.71239720980327 A
2017-06-15T00:00:00-06:00,160.9026766088274 A
2017-06-16T00:00:00-06:00,149.8788775814904 A
2017-06-17T00:00:00-06:00,139.0581580426958 A
2017-06-18T00:00:00-06:00,138.2319623682234 A
2017-06-19T00:00:00-06:00,154.08519501686095 A
2017-06-20T00:00:00-06:00,157.42113783094618 A
2017-06-21T00:00:00-06:00,156.78050654199387 A
2017-06-22T00:00:00-06:00,150.936598889033 A
2017-06-23T00:00:00-06:00,175.20342237684463 A
2017-06-24T00:00:00-06:00,139.94266600608825 A
2017-06-25T00:00:00-06:00,132.9937390645345 A
2017-06-26T00:00:00-06:00,159.25547965367636 A
2017-06-27T00:00:00-06:00,163.29528545803493 A
2017-06-28T00:00:00-06:00,163.98101255628796 A
2017-06-29T00:00:00-06:00,155.84561719755234 A
2017-06-30T00:00:00-06:00,145.60201359854804 A
2017-07-01T00:00:00-06:00,130.34451451301575 A
2017-07-02T00:00:00-06:00,119.46087868102646 A
2017-07-03T00:00:00-06:00,135.52357074419658 A
2017-07-04T00:00:00-06:00,123.1997077094184 A
2017-07-05T00:00:00-06:00,141.14213096714153 A
2017-07-06T00:00:00-06:00,150.76780116293165 A
2017-07-07T00:00:00-06:00,143.23758619626363 A
2017-07-08T00:00:00-06:00,137.1839166747199 A
2017-07-09T00:00:00-06:00,139.00845233069526 A
2017-07-10T00:00:00-06:00,157.90586609840392 A
2017-07-11T00:00:00-06:00,156.22132892608641 A
2017-07-12T00:00:00-06:00,143.0613210466173 A
2017-07-13T00:00:00-06:00,139.49287711249457 A
2017-07-14T00:00:00-06:00,145.47694879637825 A
2017-07-15T00:00:00-06:00,128.0069031662411 A
2017-07-16T00:00:00-06:00,125.4066095246209 A
2017-07-17T00:00:00-06:00,134.2577368736267 A
2017-07-18T00:00:00-06:00,135.47356092135112 A
2017-07-19T00:00:00-06:00,139.70164210531448 A
2017-07-20T00:00:00-06:00,138.31009256574842 A
2017-07-21T00:00:00-06:00,143.52445001449743 A
2017-07-22T00:00:00-06:00,125.69867849879795 A
2017-07-23T00:00:00-06:00,122.49752009685376 A
2017-07-24T00:00:00-06:00,121.1348386423881 A
2017-07-25T00:00:00-06:00,164.33361102244024 A
2017-07-26T00:00:00-06:00,149.46983240975274 A
2017-07-27T00:00:00-06:00,161.0347840055316 A
2017-07-28T00:00:00-06:00,150.62346891827053 A
2017-07-29T00:00:00-06:00,135.19497781929826 A
2017-07-30T00:00:00-06:00,122.40968120752564 A
2017-07-31T00:00:00-06:00,140.22893324428134 A
2017-08-01T00:00:00-06:00,152.04673266062892 A
2017-08-02T00:00:00-06:00,158.1728949599796 A
2017-08-03T00:00:00-06:00,156.58131424585977 A
2017-08-04T00:00:00-06:00,150.47933789178586 A
2017-08-05T00:00:00-06:00,129.49578698476157 A
2017-08-06T00:00:00-06:00,128.1747314506107 A
2017-08-07T00:00:00-06:00,152.2726184156206 A
2017-08-08T00:00:00-06:00,176.54970557954576 A
2017-08-09T00:00:00-06:00,142.21563846270243 A
2017-08-10T00:00:00-06:00,152.91833333651 A
2017-08-11T00:00:00-06:00,154.21099060906303 A
2017-08-12T00:00:00-06:00,130.87212800979614 A
2017-08-13T00:00:00-06:00,117.13584946028635 A
2017-08-14T00:00:00-06:00,133.93208054966397 A
2017-08-15T00:00:00-06:00,145.38985175370672 A
2017-08-16T00:00:00-06:00,144.83848308987086 A
2017-08-17T00:00:00-06:00,141.63707752757603 A
2017-08-18T00:00:00-06:00,144.34380298720467 A
2017-08-19T00:00:00-06:00,129.95674939685398 A
2017-08-20T00:00:00-06:00,128.8187394724952 A
2017-08-21T00:00:00-06:00,138.5840470208062 A
2017-08-22T00:00:00-06:00,149.20052872233921 A
2017-08-23T00:00:00-06:00,153.96692955758837 A
2017-08-24T00:00:00-06:00,160.80471294720968 A
2017-08-25T00:00:00-06:00,152.98940525584752 A
2017-08-26T00:00:00-06:00,117.29366247389052 A
2017-08-27T00:00:00-06:00,110.58442185189989 A
2017-08-28T00:00:00-06:00,174.17442792256674 A
2017-08-29T00:00:00-06:00,165.024825023913 A
2017-08-30T00:00:00-06:00,144.2907716539171 A
2017-08-31T00:00:00-06:00,150.2953114244673 A
2017-09-01T00:00:00-06:00,144.06780955526563 A
2017-09-02T00:00:00-06:00,122.57834626303779 A
2017-09-03T00:00:00-06:00,126.754663711124 A
2017-09-04T00:00:00-06:00,127.00135252740648 A
2017-09-05T00:00:00-06:00,150.838599369261 A
2017-09-06T00:00:00-06:00,142.0719548133283 A
2017-09-07T00:00:00-06:00,150.72960043052902 A
2017-09-08T00:00:00-06:00,134.46590524882723 A
2017-09-09T00:00:00-06:00,127.92899910079109 A
2017-09-10T00:00:00-06:00,116.26886829800075 A
2017-09-11T00:00:00-06:00,144.6956410937839 A
2017-09-12T00:00:00-06:00,145.4481269035843 A
2017-09-13T00:00:00-06:00,139.3327447176808 A
2017-09-14T00:00:00-06:00,141.27580590248107 A
2017-09-15T00:00:00-06:00,158.28361677709265 A
2017-09-16T00:00:00-06:00,130.26593919956824 A
2017-09-17T00:00:00-06:00,124.27626650068495 A
2017-09-18T00:00:00-06:00,145.21613762643602 A
2017-09-19T00:00:00-06:00,144.79985795011117 A
2017-09-20T00:00:00-06:00,149.30498425695632 A
2017-09-21T00:00:00-06:00,161.67458729214138 A
2017-09-22T00:00:00-06:00,147.70688548088074 A
2017-09-23T00:00:00-06:00,127.67631708780924 A
2017-09-24T00:00:00-06:00,121.13323259386775 A
2017-09-25T00:00:00-06:00,157.30860226419236 A
2017-09-26T00:00:00-06:00,168.40016859372457 A
2017-09-27T00:00:00-06:00,163.7267041259342 A
2017-09-28T00:00:00-06:00,175.71995401382446 A
2017-09-29T00:00:00-06:00,167.77214557859634 A
2017-09-30T00:00:00-06:00,154.21107120513915 A
2017-10-01T00:00:00-06:00,131.55703220539743 A
2017-10-02T00:00:00-06:00,163.2277926603953 A
2017-10-03T00:00:00-06:00,166.71924548678928 A
2017-10-04T00:00:00-06:00,170.99884167777168 A
2017-10-05T00:00:00-06:00,171.96863063176474 A
2017-10-06T00:00:00-06:00,175.5183040679868 A
2017-10-07T00:00:00-06:00,137.6066098107232 A
2017-10-08T00:00:00-06:00,131.27045681741504 A
2017-10-09T00:00:00-06:00,139.5489121914904 A
2017-10-10T00:00:00-06:00,144.47027938344397 A
2017-10-11T00:00:00-06:00,148.1465055877919 A
2017-10-12T00:00:00-06:00,160.0684402232538 A
2017-10-13T00:00:00-06:00,164.50117902755738 A
2017-10-14T00:00:00-06:00,142.90057605107626 A
2017-10-15T00:00:00-06:00,122.5993467701806 A
2017-10-16T00:00:00-06:00,138.51578702396816 A
2017-10-17T00:00:00-06:00,145.49687413109675 A
2017-10-18T00:00:00-06:00,147.24528902371725 A
2017-10-19T00:00:00-06:00,141.32008822229173 A
2017-10-20T00:00:00-06:00,135.18613690800137 A
2017-10-21T00:00:00-06:00,118.18427712652418 A
